,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Michael Bradley,21,240.0,423315.0,49
1,2,2,Brian Stuard,25,242.2,697671.0,80
2,3,3,Vijay Singh,19,243.4,744795.0,85
3,4,4,Rory Sabbatini,27,243.7,1324863.0,151
4,5,5,Andrew Svoboda,18,244.0,570983.0,65
5,6,6,Bob Estes,18,245.4,671439.0,76
6,7,7,Justin Rose,17,245.5,786659.0,89
7,8,8,Jim Herman,19,245.6,848868.0,96
8,T9,T9,Brad Fritsch,24,245.8,1097355.0,124
9,T9,T9,Luke List,24,245.8,982123.0,111
10,11,11,Will Claxton,24,246.2,726689.0,82
11,12,12,Robert Allenby,24,246.5,585607.0,66
12,T13,T13,Dustin Johnson,22,246.6,1100860.0,124
13,T13,T13,David Lingmerth,23,246.6,745595.0,84
14,T13,T13,David Toms,16,246.6,257436.0,29
15,T16,T16,Graham DeLaet,26,246.7,1412338.0,159
16,T16,T16,Steve LeBrun,21,246.7,737144.0,83
17,T16,T16,Alistair Presnell,23,246.7,586095.0,66
18,T16,T16,Darron Stiles,20,246.7,399645.0,45
19,20,20,"Ted Potter, Jr.",22,246.8,648479.0,73
20,21,21,Stuart Appleby,25,247.0,960295.0,108
21,22,22,Mark Wilson,19,247.2,596153.0,67
22,23,23,Camilo Villegas,23,247.3,952668.0,107
23,T24,T24,Scott Langley,27,247.5,623574.0,70
24,T24,T24,Y.E. Yang,19,247.5,543461.0,61
25,26,26,Morgan Hoffmann,20,247.9,874762.0,98
26,27,27,Chris Kirk,24,248.0,1285440.0,144
27,T28,T28,Sangmoon Bae,26,248.1,1053938.0,118
28,T28,T28,Ernie Els,19,248.1,803966.0,90
29,T30,T30,Justin Hicks,25,248.2,768338.0,86
30,T30,T30,Greg Owen,24,248.2,1170314.0,131
31,T32,T32,Stewart Cink,22,248.3,893881.0,100
32,T32,T32,Patrick Reed,26,248.3,1215752.0,136
33,34,34,Robert Streb,25,248.5,1010733.0,113
34,35,35,Graeme McDowell,16,248.8,465819.0,52
35,36,36,Tim Herron,15,248.9,528710.0,59
36,37,37,Justin Bolli,23,249.0,439193.0,49
37,T38,T38,Eric Meierdierks,19,249.1,726484.0,81
38,T38,T38,Tag Ridings,24,249.1,914545.0,102
39,T38,T38,Kevin Streelman,25,249.1,1192501.0,133
40,T41,T41,Jim Furyk,22,249.2,610027.0,68
41,T41,T41,Zach Johnson,24,249.2,986758.0,110
42,T43,T43,Nicolas Colsaerts,17,249.4,646503.0,72
43,T43,T43,Ben Kohles,25,249.4,664378.0,74
44,T43,T43,Doug LaBelle II,23,249.4,655536.0,73
45,T43,T43,Sean O'Hair,22,249.4,897866.0,100
46,T47,T47,Scott Gardiner,23,249.6,754697.0,84
47,T47,T47,D.J. Trahan,16,249.6,637998.0,71
48,T47,T47,Lee Williams,22,249.6,494183.0,55
49,T50,T50,David Mathis,24,249.7,790978.0,88
50,T50,T50,Kyle Stanley,24,249.7,1483079.0,165
51,T52,T52,Jason Day,21,249.8,1133077.0,126
52,T52,T52,Geoff Ogilvy,19,249.8,665445.0,74
53,T52,T52,Ryan Palmer,22,249.8,1366993.0,152
54,T55,T55,Ricky Barnes,26,249.9,944444.0,105
55,T55,T55,Kevin Chappell,24,249.9,1187393.0,132
56,T55,T55,Ryo Ishikawa,23,249.9,917598.0,102
57,T58,T58,Chad Campbell,25,250.1,1170632.0,130
58,T58,T58,Fabián Gómez,23,250.1,810265.0,90
59,T58,T58,Martin Kaymer,17,250.1,783178.0,87
60,T61,T61,Robert Karlsson,18,250.2,531410.0,59
61,T61,T61,Matt Kuchar,23,250.2,1179796.0,131
62,T61,T61,Chez Reavie,22,250.2,747566.0,83
