,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Jordan Spieth,82,"37' 11""",92836,204,7736.3330000000005,6.0
1,T2,T2,Rickie Fowler,75,"38' 10""",100630,216,8385.833,22.0
2,T2,T2,Scott Piercy,78,"38' 10""",114531,246,9544.25,18.0
3,4,4,Nicholas Thompson,99,"38' 11""",138739,297,11561.583,29.0
4,5,5,Nicolas Colsaerts,50,"39' 1""",75498,161,6291.5,25.0
5,6,6,Roberto Castro,97,"39' 6""",112742,238,9395.167,29.0
6,7,7,Kevin Stadler,83,"39' 7""",114859,242,9571.583,12.0
7,8,8,Phil Mickelson,78,"39' 8""",113736,239,9478.0,10.0
8,T9,T9,Matt Every,89,"39' 9""",145360,305,12113.333,26.0
9,T9,T9,Ian Poulter,59,"39' 9""",56312,118,4692.667,10.0
10,T11,T11,Vijay Singh,61,"39' 10""",86119,180,7176.5830000000005,35.0
11,T11,T11,Kevin Streelman,86,"39' 10""",102868,215,8572.333,15.0
12,T13,T13,Tim Clark,64,"39' 11""",61308,128,5109.0,18.0
13,T13,T13,Martin Flores,83,"39' 11""",155613,325,12967.75,18.0
14,T13,T13,Carl Pettersson,82,"39' 11""",105749,221,8812.417,36.0
15,T13,T13,Rory Sabbatini,86,"39' 11""",137980,288,11498.333,30.0
16,T13,T13,Webb Simpson,92,"39' 11""",113077,236,9423.083,5.0
17,18,18,Camilo Villegas,79,"40' 1""",116988,243,9749.0,35.0
18,19,19,Bubba Watson,76,"40' 2""",108865,226,9072.083,6.0
19,20,20,David Lynn,70,"40' 5""",107760,222,8980.0,35.0
20,T21,T21,Luke Guthrie,82,"40' 6""",121519,250,10126.583,28.0
21,T21,T21,Freddie Jacobson,63,"40' 6""",90416,186,7534.6669999999995,3.0
