,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Rory McIlroy,56,-.197
1,2,2,Sergio Garcia,65,-.082
2,3,3,Bubba Watson,76,-.057
3,4,4,Steve Stricker,51,-.048
4,5,5,Luke Donald,60,-.028
5,6,6,Jimmy Walker,84,-.021
6,7,7,Mark Wilson,56,-.019
7,T8,T8,Justin Rose,62,-.015
8,T8,T8,Kevin Stadler,83,-.015
9,10,10,Bo Van Pelt,72,-.014
10,11,11,Robert Garrigus,69,-.009
11,12,12,Chris Kirk,89,-.008
12,13,13,Freddie Jacobson,63,E
13,14,14,Charles Howell III,87,+.008
14,T15,T15,Peter Hanson,45,+.013
15,T15,T15,Patrick Reed,83,+.013
16,17,17,Padraig Harrington,52,+.018
17,18,18,Jason Dufner,78,+.019
18,19,19,Tiger Woods,61,+.021
19,20,20,Aaron Baddeley,68,+.023
20,21,21,Adam Scott,61,+.025
21,22,22,Ernie Els,63,+.029
22,23,23,Brandt Snedeker,79,+.032
23,24,24,Gary Woodland,94,+.033
24,25,25,K.J. Choi,85,+.034
25,26,26,Ian Poulter,59,+.036
26,27,27,Cameron Tringale,80,+.040
27,T28,T28,Martin Kaymer,61,+.041
28,T28,T28,Jin Park,52,+.041
29,30,30,Charley Hoffman,84,+.042
30,T31,T31,Phil Mickelson,78,+.045
31,T31,T31,"Ted Potter, Jr.",65,+.045
32,33,33,Bill Haas,85,+.046
33,T34,T34,Jim Herman,59,+.047
34,T34,T34,Chris Stroud,88,+.047
35,T34,T34,Brian Stuard,78,+.047
36,37,37,Matt Kuchar,93,+.048
37,38,38,Dustin Johnson,71,+.053
38,39,39,Charlie Wi,75,+.055
39,40,40,Brandt Jobe,62,+.059
40,41,41,Seung-Yul Noh,71,+.060
41,T42,T42,Ángel Cabrera,73,+.063
42,T42,T42,Jerry Kelly,75,+.063
43,44,44,Charl Schwartzel,69,+.065
44,T45,T45,Matt Every,89,+.066
45,T45,T45,John Rollins,77,+.066
46,47,47,James Driscoll,76,+.068
47,48,48,Chez Reavie,72,+.069
48,49,49,Sangmoon Bae,83,+.070
49,T50,T50,Ricky Barnes,74,+.071
50,T50,T50,Jason Kokrak,78,+.071
51,52,52,Daniel Summerhays,83,+.072
52,53,53,George McNeill,68,+.073
53,T54,T54,Bobby Gates,49,+.075
54,T54,T54,Morgan Hoffmann,64,+.075
55,T56,T56,Ben Crane,62,+.076
56,T56,T56,Henrik Stenson,65,+.076
57,T56,T56,Lee Westwood,70,+.076
58,59,59,D.H. Lee,65,+.077
59,60,60,Kevin Chappell,80,+.080
60,T61,T61,Stewart Cink,71,+.083
61,T61,T61,Jason Day,86,+.083
62,T63,T63,Charlie Beljan,62,+.084
63,T63,T63,Kevin Streelman,86,+.084
64,65,65,Shawn Stefani,63,+.085
65,T66,T66,Bryce Molder,82,+.088
66,T66,T66,Andres Romero,63,+.088
67,T68,T68,Martin Flores,83,+.089
68,T68,T68,Troy Matteson,68,+.089
69,T68,T68,Scott Piercy,78,+.089
70,T71,T71,Martin Laird,68,+.090
71,T71,T71,Jordan Spieth,82,+.090
72,73,73,Josh Teater,86,+.091
73,74,74,Stuart Appleby,88,+.092
74,75,75,Geoff Ogilvy,57,+.095
75,76,76,Zach Johnson,84,+.096
76,77,77,John Merrick,79,+.097
77,T78,T78,Russell Henley,80,+.098
78,T78,T78,Ryo Ishikawa,72,+.098
79,T80,T80,Robert Karlsson,56,+.099
80,T80,T80,Luke List,65,+.099
81,82,82,D.A. Points,87,+.100
82,83,83,Rory Sabbatini,86,+.101
83,84,84,Matt Jones,83,+.105
84,85,85,Brian Gay,79,+.108
85,T86,T86,Justin Leonard,86,+.109
86,T86,T86,Pat Perez,69,+.109
87,T88,T88,Chad Campbell,78,+.113
88,T88,T88,Billy Horschel,96,+.113
89,T90,T90,Tommy Gainey,84,+.115
90,T90,T90,James Hahn,78,+.115
91,92,92,Jeff Overton,78,+.116
92,93,93,Ryan Palmer,79,+.117
93,94,94,Graham DeLaet,94,+.119
94,T95,T95,Jonas Blixt,76,+.120
95,T95,T95,Greg Chalmers,77,+.120
96,97,97,Webb Simpson,92,+.121
97,98,98,Roberto Castro,97,+.122
98,99,99,Brian Davis,91,+.123
99,100,100,Nicholas Thompson,99,+.124
100,101,101,Marc Leishman,77,+.126
101,T102,T102,David Lynn,70,+.127
102,T102,T102,William McGirt,75,+.127
103,T102,T102,John Senden,79,+.127
104,105,105,David Hearn,88,+.129
105,T106,T106,David Lingmerth,68,+.132
106,T106,T106,Tag Ridings,69,+.132
107,T108,T108,Keegan Bradley,88,+.133
108,T108,T108,David Toms,49,+.133
109,110,110,Harris English,95,+.136
110,111,111,Scott Langley,79,+.138
111,112,112,Nick Watney,88,+.139
112,113,113,Fabián Gómez,65,+.141
113,T114,T114,Rickie Fowler,75,+.143
114,T114,T114,Brendan Steele,86,+.143
115,T116,T116,Brendon de Jonge,110,+.145
116,T116,T116,Johnson Wagner,64,+.145
117,T118,T118,Boo Weekley,100,+.148
118,T118,T118,Casey Wittenberg,72,+.148
119,120,120,Vijay Singh,61,+.153
120,121,121,D.J. Trahan,48,+.156
121,122,122,Jeff Maggert,63,+.157
122,T123,T123,John Huh,88,+.158
123,T123,T123,Hunter Mahan,91,+.158
124,125,125,Jim Furyk,80,+.160
125,126,126,Erik Compton,74,+.162
126,T127,T127,Will Claxton,67,+.163
127,T127,T127,Graeme McDowell,53,+.163
128,T129,T129,Steven Bowditch,67,+.165
129,T129,T129,Bud Cauley,67,+.165
130,T131,T131,Nicolas Colsaerts,50,+.167
131,T131,T131,Steve LeBrun,66,+.167
132,133,133,Tim Herron,45,+.169
133,134,134,Ben Kohles,75,+.174
134,T135,T135,Eric Meierdierks,48,+.176
