,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Keegan Bradley,88,38.61,122,316
1,2,2,Charley Hoffman,84,38.18,105,275
2,3,3,Henrik Stenson,65,37.67,84,223
3,4,4,Steve Stricker,51,37.5,57,152
4,5,5,Harris English,95,37.35,121,324
5,6,6,Steven Bowditch,67,36.64,85,232
6,7,7,Charl Schwartzel,69,36.07,79,219
7,8,8,Henrik Norlander,70,35.87,80,223
8,9,9,Daniel Summerhays,83,35.71,110,308
9,10,10,Dustin Johnson,71,35.2,69,196
10,11,11,Jim Herman,59,35.09,60,171
11,12,12,Hunter Mahan,91,34.84,100,287
12,13,13,Charles Howell III,87,34.62,108,312
13,14,14,Carl Pettersson,82,34.48,80,232
14,15,15,Brandt Snedeker,79,34.38,77,224
15,16,16,James Hahn,78,34.17,82,240
16,17,17,Tiger Woods,61,34.12,72,211
17,18,18,Rory Sabbatini,86,34.07,92,270
18,T19,T19,Matt Kuchar,93,33.96,90,265
19,T19,T19,Phil Mickelson,78,33.96,90,265
20,T21,T21,Ryan Palmer,79,33.86,86,254
21,T21,T21,Kyle Stanley,71,33.86,86,254
22,23,23,Adam Scott,61,33.83,68,201
23,24,24,Scott Stallings,79,33.76,79,234
24,25,25,Bubba Watson,76,33.58,89,265
25,26,26,Kevin Stadler,83,33.45,95,284
26,T27,T27,Martin Flores,83,33.33,93,279
27,T27,T27,Peter Hanson,45,33.33,40,120
28,T27,T27,Jason Kokrak,78,33.33,93,279
29,T27,T27,Rory McIlroy,56,33.33,59,177
30,31,31,Gary Woodland,94,33.04,112,339
31,32,32,Charlie Beljan,62,33.02,70,212
32,33,33,Lee Westwood,70,32.9,76,231
33,34,34,Sergio Garcia,65,32.88,73,222
34,35,35,Jordan Spieth,82,32.71,88,269
35,36,36,Kevin Streelman,86,32.64,94,288
36,37,37,Shawn Stefani,63,32.56,56,172
37,38,38,Andres Romero,63,32.42,71,219
38,39,39,Rod Pampling,46,32.41,47,145
39,40,40,Josh Teater,86,32.39,80,247
40,41,41,Rickie Fowler,75,32.35,77,238
41,T42,T42,Scott Brown,65,32.33,75,232
42,T42,T42,Padraig Harrington,52,32.33,43,133
43,44,44,Luke List,65,32.31,63,195
44,45,45,John Senden,79,32.28,82,254
45,46,46,Webb Simpson,92,32.2,95,295
46,47,47,Robert Garrigus,69,32.16,73,227
47,48,48,Graham DeLaet,94,32.11,105,327
48,49,49,Ernie Els,63,32.04,58,181
49,50,50,Tag Ridings,69,32.02,65,203
50,51,51,Martin Kaymer,61,31.9,52,163
51,52,52,Billy Horschel,96,31.88,102,320
52,53,53,Patrick Reed,83,31.77,88,277
