,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Camilo Villegas,79,25.2,31,123
1,2,2,Steve Stricker,51,25.0,14,56
2,3,3,Luke List,65,24.76,26,105
3,4,4,Dustin Johnson,71,23.02,29,126
4,5,5,Jordan Spieth,82,22.61,26,115
5,6,6,Webb Simpson,92,21.67,26,120
6,7,7,Andres Romero,63,21.65,21,97
7,8,8,Luke Guthrie,82,20.87,24,115
8,9,9,Shawn Stefani,63,20.22,18,89
9,10,10,Sangmoon Bae,83,19.76,33,167
10,11,11,Russell Henley,80,19.75,16,81
11,12,12,Adam Scott,61,19.72,14,71
12,13,13,Stephen Ames,49,19.54,17,87
13,14,14,Dicky Pride,71,19.27,21,109
14,15,15,Scott Piercy,78,19.23,30,156
15,16,16,Chris Stroud,88,19.2,24,125
16,17,17,Ernie Els,63,19.1,17,89
17,18,18,Harris English,95,18.82,32,170
18,19,19,Graham DeLaet,94,18.7,23,123
19,20,20,Scott Gardiner,61,18.6,24,129
20,21,21,David Lingmerth,68,18.58,21,113
21,22,22,Troy Matteson,68,18.42,21,114
22,T23,T23,Cameron Percy,68,18.35,20,109
23,T23,T23,Pat Perez,69,18.35,20,109
24,25,25,Michael Bradley,56,18.31,13,71
25,26,26,Matt Every,89,18.18,28,154
26,27,27,Phil Mickelson,78,18.1,19,105
27,28,28,Jason Day,86,17.89,22,123
28,29,29,Jason Kokrak,78,17.86,25,140
29,30,30,Josh Teater,86,17.83,23,129
30,T31,T31,Freddie Jacobson,63,17.59,19,108
31,T31,T31,Richard Lee,81,17.59,19,108
32,33,33,Graeme McDowell,53,17.39,8,46
33,34,34,Marc Leishman,77,17.33,26,150
34,35,35,Zach Johnson,84,17.02,16,94
35,36,36,Keegan Bradley,88,16.92,22,130
36,37,37,Matt Jones,83,16.91,23,136
