,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,T1,T1,Shawn Stefani,63,151.6,818646.0,150
1,T1,T1,Y.E. Yang,56,151.6,715044.0,131
2,3,3,Scott Stallings,79,152.1,1122200.0,205
3,4,4,Peter Hanson,45,152.3,537435.0,98
4,5,5,Keegan Bradley,88,154.2,954729.0,172
5,6,6,Rory McIlroy,56,155.0,647434.0,116
6,7,7,Kevin Streelman,86,155.2,983283.0,176
7,T8,T8,Nicolas Colsaerts,50,155.3,687568.0,123
8,T8,T8,Ernie Els,63,155.3,760231.0,136
9,T10,T10,Charley Hoffman,84,155.4,1275599.0,228
10,T10,T10,Ian Poulter,59,155.4,537016.0,96
11,T12,T12,Sean O'Hair,56,155.6,1064440.0,190
12,T12,T12,Greg Owen,73,155.6,1310922.0,234
13,14,14,David Toms,49,155.9,516257.0,92
14,15,15,Charlie Beljan,62,156.0,1094869.0,195
15,16,16,David Lynn,70,156.2,905264.0,161
16,17,17,Michael Thompson,66,156.3,956343.0,170
17,T18,T18,Carl Pettersson,82,156.4,1069760.0,190
18,T18,T18,Robert Streb,75,156.4,1103409.0,196
19,T18,T18,Bubba Watson,76,156.4,866868.0,154
20,T21,T21,Ben Kohles,75,156.5,1132440.0,201
21,T21,T21,Ryan Palmer,79,156.5,1109927.0,197
22,23,23,Brian Harman,89,156.6,1358294.0,241
23,24,24,Steve Stricker,51,156.7,355456.0,63
24,T25,T25,Luke Donald,60,157.0,683883.0,121
25,T25,T25,Richard Lee,81,157.0,1051181.0,186
26,T25,T25,Adam Scott,61,157.0,650039.0,115
27,28,28,Jason Day,86,157.2,916739.0,162
28,29,29,George McNeill,68,157.5,1105692.0,195
29,30,30,Brad Fritsch,81,157.9,1239312.0,218
30,31,31,Stuart Appleby,88,158.0,1166254.0,205
31,T32,T32,Harris English,95,158.1,1360535.0,239
32,T32,T32,Jordan Spieth,82,158.1,956272.0,168
33,T32,T32,Lee Westwood,70,158.1,796827.0,140
34,T35,T35,Brendon de Jonge,110,158.2,1360930.0,239
35,T35,T35,Darron Stiles,51,158.2,769056.0,135
36,T35,T35,D.J. Trahan,48,158.2,671944.0,118
37,T38,T38,Matt Every,89,158.4,1357385.0,238
38,T38,T38,Matt Kuchar,93,158.4,912391.0,160
39,40,40,Cameron Percy,68,158.5,941503.0,165
40,T41,T41,Justin Bolli,59,158.6,976381.0,171
41,T41,T41,Tag Ridings,69,158.6,976612.0,171
42,43,43,Stephen Ames,49,158.8,811885.0,142
43,T44,T44,Billy Horschel,96,158.9,1373143.0,240
