,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
152,153,153,Robert Garrigus,69,-0.037000000000000005
153,154,154,Ernie Els,63,-0.035
154,T155,T155,Michael Bradley,56,-0.034
155,T155,T155,Andrew Svoboda,46,-0.034
156,T157,T157,Stewart Cink,71,-0.033
157,T157,T157,Martin Laird,68,-0.033
158,159,159,Greg Owen,73,-0.028999999999999998
159,160,160,Henrik Norlander,70,-0.023
160,161,161,Ryo Ishikawa,72,-0.022000000000000002
161,162,162,Nicolas Colsaerts,50,-0.021
162,T163,T163,Graeme McDowell,53,-0.02
163,T163,T163,Brendan Steele,86,-0.02
164,165,165,Bo Van Pelt,72,-0.013999999999999999
165,T166,T166,Peter Hanson,45,-0.012
166,T166,T166,John Huh,88,-0.012
167,168,168,Justin Bolli,59,-0.008
168,169,169,Geoff Ogilvy,57,0.01
169,170,170,Lee Westwood,70,0.013999999999999999
170,171,171,Luke List,65,0.018000000000000002
171,172,172,Martin Kaymer,61,0.02
172,173,173,Eric Meierdierks,48,0.021
173,174,174,Brian Stuard,78,0.026000000000000002
174,175,175,Johnson Wagner,64,0.027000000000000003
175,176,176,Michael Thompson,66,0.044000000000000004
176,177,177,Charlie Beljan,62,0.048
177,178,178,Andres Romero,63,0.066
178,179,179,Padraig Harrington,52,0.071
179,180,180,Stephen Ames,49,0.07400000000000001
