,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Brian Davis,91,20
1,T2,T2,Brian Gay,79,18
2,T2,T2,John Huh,88,18
3,4,4,Scott Piercy,78,17
4,T5,T5,Brendon de Jonge,110,16
5,T5,T5,Jason Kokrak,78,16
6,T7,T7,Troy Matteson,68,15
7,T7,T7,John Merrick,79,15
8,T7,T7,Patrick Reed,83,15
9,T7,T7,Jordan Spieth,82,15
10,T7,T7,Daniel Summerhays,83,15
11,T12,T12,Stuart Appleby,88,14
12,T12,T12,Sangmoon Bae,83,14
13,T12,T12,Jason Bohn,70,14
14,T12,T12,Ángel Cabrera,73,14
15,T12,T12,Brad Fritsch,81,14
16,T12,T12,James Hahn,78,14
17,T12,T12,Chris Kirk,89,14
18,T12,T12,Justin Leonard,86,14
19,T12,T12,David Lynn,70,14
20,T12,T12,Bryce Molder,82,14
21,T12,T12,D.A. Points,87,14
22,T12,T12,Chris Stroud,88,14
23,T24,T24,Zach Johnson,84,13
24,T24,T24,Ben Kohles,75,13
25,T24,T24,William McGirt,75,13
26,T24,T24,George McNeill,68,13
27,T24,T24,Dicky Pride,71,13
28,T24,T24,Webb Simpson,92,13
29,T24,T24,Kevin Stadler,83,13
30,T24,T24,Charlie Wi,75,13
31,T32,T32,Greg Chalmers,77,12
32,T32,T32,Ken Duke,87,12
33,T32,T32,Martin Flores,83,12
34,T32,T32,Tommy Gainey,84,12
35,T32,T32,Brian Harman,89,12
36,T32,T32,Russell Henley,80,12
37,T32,T32,Jerry Kelly,75,12
38,T32,T32,Martin Laird,68,12
39,T32,T32,Sean O'Hair,56,12
40,T32,T32,Chez Reavie,72,12
41,T32,T32,Rory Sabbatini,86,12
42,T32,T32,Nicholas Thompson,99,12
43,T32,T32,Gary Woodland,94,12
44,T45,T45,Aaron Baddeley,68,11
45,T45,T45,Jonas Blixt,76,11
46,T45,T45,Steven Bowditch,67,11
47,T45,T45,Keegan Bradley,88,11
48,T45,T45,Scott Brown,65,11
49,T45,T45,Chad Campbell,78,11
50,T45,T45,Roberto Castro,97,11
51,T45,T45,James Driscoll,76,11
52,T45,T45,Morgan Hoffmann,64,11
53,T45,T45,Billy Horschel,96,11
54,T45,T45,David Lingmerth,68,11
55,T45,T45,Hunter Mahan,91,11
56,T45,T45,Cameron Tringale,80,11
57,T45,T45,Lee Williams,62,11
58,T59,T59,Erik Compton,74,10
59,T59,T59,Rickie Fowler,75,10
60,T59,T59,Scott Gardiner,61,10
61,T59,T59,Luke Guthrie,82,10
62,T59,T59,Bill Haas,85,10
63,T59,T59,Charley Hoffman,84,10
64,T59,T59,Charles Howell III,87,10
65,T59,T59,Colt Knost,69,10
66,T59,T59,Doug LaBelle II,72,10
67,T59,T59,Ryan Moore,72,10
68,T59,T59,Pat Perez,69,10
69,T59,T59,"Ted Potter, Jr.",65,10
70,T59,T59,John Rollins,77,10
71,T59,T59,Andres Romero,63,10
72,T59,T59,Brendan Steele,86,10
73,T59,T59,Shawn Stefani,63,10
