,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Steve Stricker,51,72.31,47,65,-50,-29.00
1,2,2,Jin Park,52,70.21,33,47,-36,-7.00
2,3,3,D.H. Lee,65,68.89,62,90,-67,-1.00
3,4,4,Colt Knost,69,68.42,39,57,-42,-17.00
4,5,5,Brandt Snedeker,79,67.01,65,97,-71,-23.00
5,6,6,Harris English,95,66.26,108,163,-113,+7.00
6,7,7,Daniel Summerhays,83,65.44,89,136,-97,-11.00
7,8,8,Keegan Bradley,88,65.43,123,188,-132,-4.00
8,9,9,Graeme McDowell,53,65.38,34,52,-37,-4.00
9,10,10,Tiger Woods,61,65.26,62,95,-69,-12.00
10,11,11,Justin Rose,62,65.17,58,89,-61,-5.00
11,12,12,Vaughn Taylor,50,64.52,40,62,-41,-12.00
12,13,13,Billy Horschel,96,64.43,96,149,-97,-18.00
13,14,14,Ryan Moore,72,64.42,67,104,-71,-9.00
14,T15,T15,Jason Day,86,64.29,81,126,-88,-9.00
15,T15,T15,Phil Mickelson,78,64.29,81,126,-86,-14.00
16,17,17,Henrik Norlander,70,64.22,70,109,-73,+4.00
17,18,18,Luke Donald,60,64.18,43,67,-44,-19.00
18,19,19,Roberto Castro,97,63.97,87,136,-94,-32.00
19,20,20,Charl Schwartzel,69,63.78,81,127,-82,-6.00
20,21,21,James Hahn,78,63.64,77,121,-86,-11.00
21,22,22,Rory Sabbatini,86,63.58,96,151,-104,+1.00
22,23,23,Sergio Garcia,65,63.46,66,104,-74,-11.00
23,24,24,Adam Scott,61,63.21,67,106,-71,-6.00
24,25,25,David Lingmerth,68,63.1,53,84,-57,-1.00
25,26,26,Charley Hoffman,84,62.66,99,158,-108,-6.00
26,T27,T27,Martin Flores,83,62.41,88,141,-94,-8.00
27,T27,T27,Brendan Steele,86,62.41,83,133,-87,-11.00
28,29,29,Tim Clark,64,62.3,38,61,-41,-15.00
29,30,30,Andres Romero,63,62.28,71,114,-74,+14.00
30,31,31,Ernie Els,63,62.22,56,90,-59,-4.00
31,32,32,Henrik Stenson,65,62.16,69,111,-76,+7.00
32,33,33,Bryce Molder,82,62.12,41,66,-44,-34.00
33,34,34,Rod Pampling,46,61.9,39,63,-39,+4.00
34,35,35,Matt Kuchar,93,61.83,81,131,-88,-27.00
35,36,36,Brendon de Jonge,110,61.8,110,178,-115,-23.00
36,T37,T37,Jim Furyk,80,61.76,42,68,-44,-36.00
37,T37,T37,Patrick Reed,83,61.76,84,136,-93,-9.00
38,T37,T37,Aaron Watkins,46,61.76,21,34,-22,-18.00
39,40,40,Russell Henley,80,61.74,71,115,-76,-4.00
40,41,41,Peter Hanson,45,61.67,37,60,-39,-4.00
41,42,42,Kevin Streelman,86,61.65,82,133,-88,-9.00
42,43,43,Doug LaBelle II,72,61.64,45,73,-48,-17.00
43,44,44,William McGirt,75,61.4,70,114,-75,-1.00
44,45,45,Stephen Ames,49,61.11,33,54,-36,-11.00
45,46,46,Steven Bowditch,67,60.9,81,133,-83,E
46,47,47,John Senden,79,60.8,76,125,-78,-2.00
47,48,48,Bud Cauley,67,60.64,57,94,-60,-9.00
48,49,49,Jim Herman,59,60.42,58,96,-60,+5.00
49,T50,T50,Rickie Fowler,75,60.0,69,115,-75,-19.00
50,T50,T50,Scott Langley,79,60.0,42,70,-46,-23.00
51,T50,T50,Brian Stuard,78,60.0,48,80,-50,-10.00
52,53,53,Tag Ridings,69,59.8,61,102,-64,+16.00
53,54,54,Dustin Johnson,71,59.68,74,124,-81,-2.00
54,55,55,Luke List,65,59.46,66,111,-70,+3.00
55,T56,T56,Chris Stroud,88,59.38,76,128,-78,-17.00
56,T56,T56,Jimmy Walker,84,59.38,95,160,-100,-14.00
57,58,58,Robert Karlsson,56,59.32,35,59,-38,+6.00
58,59,59,Michael Thompson,66,59.21,45,76,-51,-7.00
59,60,60,Carl Pettersson,82,59.13,68,115,-71,-2.00
60,61,61,Graham DeLaet,94,59.12,94,159,-99,-15.00
61,T62,T62,Kevin Chappell,80,59.09,78,132,-85,E
62,T62,T62,Alistair Presnell,59,59.09,39,66,-44,-7.00
63,64,64,Y.E. Yang,56,59.02,36,61,-37,+1.00
64,65,65,Josh Teater,86,58.91,76,129,-79,-7.00
65,66,66,Fabián Gómez,65,58.89,53,90,-55,-5.00
66,67,67,Jason Kokrak,78,58.75,94,160,-103,-10.00
67,68,68,Scott Stallings,79,58.57,82,140,-86,+2.00
68,69,69,Aaron Baddeley,68,58.41,66,113,-74,-18.00
69,70,70,Scott Gardiner,61,58.33,49,84,-53,+8.00
70,71,71,Brad Fritsch,81,58.06,72,124,-78,+2.00
71,72,72,Greg Chalmers,77,58.04,65,112,-69,-11.00
72,73,73,Stewart Cink,71,58.0,58,100,-60,-10.00
73,74,74,Cameron Tringale,80,57.98,69,119,-74,-25.00
74,75,75,Lee Westwood,70,57.85,70,121,-71,+12.00
75,76,76,Shawn Stefani,63,57.78,52,90,-55,-5.00
76,77,77,David Lynn,70,57.75,41,71,-44,-20.00
77,78,78,Tim Herron,45,57.63,34,59,-37,-6.00
78,T79,T79,Brandt Jobe,62,57.47,50,87,-54,-4.00
79,T79,T79,Martin Kaymer,61,57.47,50,87,-52,-6.00
80,81,81,Gary Woodland,94,57.45,108,188,-116,+6.00
81,T82,T82,Luke Guthrie,82,57.43,58,101,-60,-24.00
82,T82,T82,George McNeill,68,57.43,58,101,-65,E
83,T84,T84,Will Claxton,67,57.32,47,82,-50,E
84,T84,T84,Boo Weekley,100,57.32,94,164,-98,-11.00
85,86,86,Charles Howell III,87,57.3,102,178,-108,-5.00
86,87,87,Jonas Blixt,76,57.26,67,117,-70,-9.00
87,T88,T88,Matt Jones,83,57.25,79,138,-84,-3.00
88,T88,T88,Greg Owen,73,57.25,75,131,-82,+6.00
89,90,90,Ryan Palmer,79,57.24,87,152,-91,-9.00
90,T91,T91,Ben Crane,62,57.14,36,63,-39,-19.00
91,T91,T91,D.A. Points,87,57.14,64,112,-65,-11.00
92,T91,T91,Bo Van Pelt,72,57.14,56,98,-60,+1.00
93,T91,T91,Bubba Watson,76,57.14,96,168,-101,+2.00
94,95,95,Scott Brown,65,57.01,61,107,-66,E
95,96,96,Tom Gillis,69,56.96,45,79,-47,-8.00
96,97,97,Webb Simpson,92,56.94,82,144,-86,-19.00
97,98,98,Chad Campbell,78,56.92,74,130,-80,-15.00
98,99,99,Richard Lee,81,56.84,54,95,-56,-29.00
99,100,100,John Rollins,77,56.82,75,132,-78,-3.00
100,101,101,Charlie Wi,75,56.63,47,83,-51,-7.00
101,102,102,Bob Estes,66,56.58,43,76,-46,-27.00
102,103,103,Troy Matteson,68,56.57,56,99,-61,-2.00
103,104,104,Zach Johnson,84,56.36,62,110,-65,-21.00
104,105,105,Martin Laird,68,56.31,58,103,-65,-1.00
105,106,106,Chris Kirk,89,56.25,81,144,-94,-6.00
106,107,107,Morgan Hoffmann,64,56.12,55,98,-59,-6.00
107,108,108,Brian Gay,79,55.88,38,68,-38,-14.00
108,T109,T109,Rory McIlroy,56,55.56,60,108,-65,+5.00
109,T109,T109,Jordan Spieth,82,55.56,75,135,-85,-3.00
110,T109,T109,Darron Stiles,51,55.56,25,45,-28,-11.00
111,112,112,Hunter Mahan,91,55.49,91,164,-94,-13.00
112,113,113,Scott Piercy,78,55.48,81,146,-87,-2.00
113,114,114,Steve LeBrun,66,55.42,46,83,-49,-10.00
114,115,115,Andrew Svoboda,46,55.38,36,65,-40,-2.00
115,T116,T116,Charlie Beljan,62,55.37,67,121,-70,+12.00
116,T116,T116,Pat Perez,69,55.37,67,121,-70,E
117,118,118,Mike Weir,60,55.36,31,56,-31,-18.00
118,119,119,Kyle Stanley,71,55.15,91,165,-101,+8.00
119,120,120,Michael Bradley,56,55.1,27,49,-27,-4.00
120,T121,T121,Sangmoon Bae,83,55.08,65,118,-67,+1.00
121,T121,T121,Lucas Glover,65,55.08,65,118,-70,-4.00
122,123,123,Jerry Kelly,75,55.06,49,89,-53,-16.00
123,124,124,Nick Watney,88,54.97,83,151,-89,-20.00
124,T125,T125,James Driscoll,76,54.55,54,99,-55,-3.00
125,T125,T125,Freddie Jacobson,63,54.55,42,77,-47,-18.00
126,T125,T125,Lee Williams,62,54.55,30,55,-31,-20.00
127,128,128,Seung-Yul Noh,71,54.47,67,123,-69,+18.00
128,129,129,John Merrick,79,54.21,58,107,-66,-26.00
129,130,130,Tommy Gainey,84,54.2,71,131,-73,-3.00
130,131,131,J.J. Henry,83,54.05,60,111,-65,-11.00
131,132,132,Brian Harman,89,53.96,75,139,-82,+1.00
132,133,133,Kevin Stadler,83,53.85,84,156,-91,-9.00
133,134,134,Mark Wilson,56,53.73,36,67,-38,-21.00
134,135,135,John Huh,88,53.52,76,142,-81,-2.00
135,136,136,Padraig Harrington,52,53.25,41,77,-44,E
136,137,137,Matt Every,89,53.04,96,181,-103,+7.00
137,138,138,Vijay Singh,61,52.94,45,85,-46,E
138,139,139,Ian Poulter,59,52.86,37,70,-39,-11.00
139,140,140,Nicolas Colsaerts,50,52.78,38,72,-41,+1.00
140,T141,T141,Robert Garrigus,69,52.7,78,148,-81,+9.00
141,T141,T141,Justin Leonard,86,52.7,39,74,-43,-39.00
142,143,143,K.J. Choi,85,52.56,41,78,-43,-38.00
143,144,144,Trevor Immelman,73,52.5,42,80,-42,-8.00
144,145,145,Ken Duke,87,52.44,43,82,-45,-19.00
145,146,146,Ángel Cabrera,73,52.31,68,130,-70,+4.00
146,147,147,Robert Streb,75,52.21,59,113,-61,+1.00
147,148,148,D.J. Trahan,48,52.11,37,71,-39,-2.00
148,149,149,Derek Ernst,58,52.08,50,96,-53,+1.00
149,150,150,Casey Wittenberg,72,51.9,41,79,-42,+2.00
150,151,151,Stuart Appleby,88,51.85,56,108,-59,-20.00
151,152,152,Nicholas Thompson,99,51.57,82,159,-89,-3.00
152,153,153,Ben Kohles,75,51.35,38,74,-43,-4.00
153,154,154,Jason Bohn,70,51.32,39,76,-39,-26.00
154,155,155,Marc Leishman,77,51.13,68,133,-71,+1.00
155,156,156,Sean O'Hair,56,51.0,51,100,-56,+3.00
156,157,157,David Hearn,88,50.55,46,91,-46,-22.00
157,158,158,Camilo Villegas,79,50.47,54,107,-59,-21.00
158,159,159,Cameron Percy,68,50.45,56,111,-58,+3.00
159,T160,T160,Brian Davis,91,50.0,50,100,-54,-35.00
160,T160,T160,Jeff Maggert,63,50.0,40,80,-42,-11.00
161,162,162,"Ted Potter, Jr.",65,49.32,36,73,-40,-10.00
162,T163,T163,Ben Curtis,59,49.02,25,51,-26,+1.00
163,T163,T163,Jason Dufner,78,49.02,50,102,-51,-20.00
164,T163,T163,Jeff Overton,78,49.02,75,153,-79,-7.00
165,166,166,Bill Haas,85,48.85,64,131,-69,-16.00
166,167,167,Geoff Ogilvy,57,48.65,36,74,-37,+18.00
167,168,168,Eric Meierdierks,48,48.15,39,81,-39,+2.00
168,T169,T169,Justin Hicks,79,47.67,41,86,-45,-8.00
169,T169,T169,Johnson Wagner,64,47.67,41,86,-43,+8.00
170,171,171,Chez Reavie,72,46.99,39,83,-42,-11.00
