,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,T1,T1,Jim Furyk,80,"28' 2""",929,26188.917,-110.0
1,T1,T1,Jeff Maggert,63,"28' 2""",785,22106.833,-53.0
2,T3,T3,Ryan Palmer,79,"28' 3""",878,24839.083,-120.0
3,T3,T3,Tiger Woods,61,"28' 3""",589,16656.25,-104.0
4,5,5,Justin Rose,62,"28' 6""",619,17662.0,-90.0
5,T6,T6,Dustin Johnson,71,"28' 8""",597,17117.25,-64.0
6,T6,T6,Chris Kirk,89,"28' 8""",1079,30950.25,-145.0
7,8,8,Chez Reavie,72,"28' 9""",946,27225.333,-62.0
8,9,9,Brad Fritsch,81,"28' 10""",874,25233.833,-68.0
9,10,10,Camilo Villegas,79,"29' 0""",835,24226.583,-73.0
10,11,11,Charl Schwartzel,69,"29' 1""",696,20268.75,-88.0
11,12,12,Darron Stiles,51,"29' 2""",597,17432.333,-6.0
12,T13,T13,Kevin Chappell,80,"29' 3""",893,26106.333,-70.0
13,T13,T13,David Toms,49,"29' 3""",439,12849.75,-26.0
14,T15,T15,Rory Sabbatini,86,"29' 4""",915,26827.25,-116.0
15,T15,T15,Vijay Singh,61,"29' 4""",624,18310.417,-33.0
16,17,17,Kevin Stadler,83,"29' 5""",913,26880.25,-84.0
17,18,18,Tag Ridings,69,"29' 6""",714,21079.417,-50.0
18,19,19,Robert Garrigus,69,"29' 8""",596,17692.083,-29.0
19,T20,T20,Zach Johnson,84,"29' 9""",948,28193.25,-103.0
20,T20,T20,Ben Kohles,75,"29' 9""",853,25362.167,-38.0
21,T20,T20,Matt Kuchar,93,"29' 9""",878,26096.917,-123.0
22,T20,T20,Greg Owen,73,"29' 9""",856,25473.833,-50.0
23,T20,T20,Brandt Snedeker,79,"29' 9""",774,23003.083,-104.0
24,T25,T25,Rory McIlroy,56,"29' 10""",510,15196.0,-59.0
25,T25,T25,John Merrick,79,"29' 10""",901,26849.167,-77.0
26,T25,T25,John Rollins,77,"29' 10""",874,26083.667,-66.0
27,T28,T28,Chad Campbell,78,"29' 11""",963,28805.833,-81.0
28,T28,T28,Bud Cauley,67,"29' 11""",735,21995.167,-53.0
29,T28,T28,K.J. Choi,85,"29' 11""",888,26547.917,-75.0
30,T28,T28,James Hahn,78,"29' 11""",862,25821.333,-67.0
31,T28,T28,Steve LeBrun,66,"29' 11""",687,20545.083,-41.0
32,T33,T33,Robert Allenby,58,"30' 0""",685,20536.417,-12.0
33,T33,T33,Jason Bohn,70,"30' 0""",916,27474.167,-72.0
34,T33,T33,Graham DeLaet,94,"30' 0""",1145,34329.833,-99.0
35,T33,T33,Ken Duke,87,"30' 0""",1051,31559.917,-67.0
36,T37,T37,Brian Davis,91,"30' 1""",1161,34927.25,-114.0
37,T37,T37,Bryce Molder,82,"30' 1""",982,29549.083,-97.0
38,T37,T37,Brian Stuard,78,"30' 1""",881,26517.833,-31.0
39,T37,T37,Boo Weekley,100,"30' 1""",1138,34277.917,-99.0
40,T37,T37,Gary Woodland,94,"30' 1""",1055,31731.5,-83.0
41,T42,T42,Justin Hicks,79,"30' 2""",941,28356.583,-33.0
42,T42,T42,Scott Stallings,79,"30' 2""",859,25941.917,-58.0
43,T42,T42,Y.E. Yang,56,"30' 2""",551,16616.25,-22.0
44,T45,T45,Jason Kokrak,78,"30' 3""",893,26998.833,-72.0
45,T45,T45,Scott Langley,79,"30' 3""",879,26557.5,-41.0
46,T45,T45,Steve Stricker,51,"30' 3""",497,15021.167,-94.0
47,T45,T45,Vaughn Taylor,50,"30' 3""",540,16338.917,-31.0
48,T45,T45,Nick Watney,88,"30' 3""",980,29670.0,-113.0
49,T50,T50,Brendon de Jonge,110,"30' 4""",1338,40580.917,-153.0
50,T50,T50,Luke Donald,60,"30' 4""",619,18774.333,-70.0
51,T50,T50,Bob Estes,66,"30' 4""",867,26277.167,-80.0
52,T50,T50,David Hearn,88,"30' 4""",978,29698.833,-108.0
53,T50,T50,Graeme McDowell,53,"30' 4""",521,15803.667,-31.0
54,T55,T55,Ricky Barnes,74,"30' 5""",849,25811.667,-44.0
55,T55,T55,Michael Bradley,56,"30' 5""",554,16861.333,8.0
56,T55,T55,Nicolas Colsaerts,50,"30' 5""",434,13183.75,-12.0
57,T55,T55,Ernie Els,63,"30' 5""",634,19285.917,-27.0
58,T55,T55,George McNeill,68,"30' 5""",892,27150.417,-56.0
59,T55,T55,Kyle Stanley,71,"30' 5""",768,23334.583,-44.0
60,T55,T55,Bo Van Pelt,72,"30' 5""",754,22963.667,-24.0
61,T55,T55,Lee Westwood,70,"30' 5""",681,20691.667,-34.0
62,T63,T63,Morgan Hoffmann,64,"30' 6""",657,20023.583,-58.0
63,T63,T63,Brandt Jobe,62,"30' 6""",738,22498.583,-55.0
