,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,61,"28' 11""",16118.833,558,-0.18
1,2,2,Ryan Palmer,79,"29' 5""",23816.583,810,-0.13
2,3,3,Jim Furyk,80,"29' 6""",24990.417,846,-0.12
3,4,4,Justin Rose,62,"29' 7""",17004.5,574,-0.13
4,T5,T5,Jeff Maggert,63,"29' 8""",20789.5,701,-0.06
5,T5,T5,Chez Reavie,72,"29' 8""",25734.833,867,-0.06
6,7,7,Dustin Johnson,71,"29' 10""",16393.667,550,-0.10
7,8,8,Brad Fritsch,81,"29' 11""",24325.917,813,-0.08
8,9,9,Charl Schwartzel,69,"30' 1""",19526.333,649,-0.13
9,10,10,Chris Kirk,89,"30' 3""",29328.0,969,-0.14
10,T11,T11,Rory Sabbatini,86,"30' 5""",25679.417,845,-0.13
11,T11,T11,Camilo Villegas,79,"30' 5""",22945.25,754,-0.08
12,T13,T13,Robert Garrigus,69,"30' 6""",16966.333,557,-0.07
13,T13,T13,Vijay Singh,61,"30' 6""",17499.583,573,-0.06
14,15,15,Darron Stiles,51,"30' 8""",16396.833,534,E
15,T16,T16,Tag Ridings,69,"30' 9""",19974.0,649,-0.08
16,T16,T16,Kevin Stadler,83,"30' 9""",25630.417,833,-0.09
17,18,18,Rory McIlroy,56,"30' 10""",14446.25,468,-0.11
18,T19,T19,Kevin Chappell,80,"30' 11""",24877.25,804,-0.08
19,T19,T19,Justin Hicks,79,"30' 11""",26634.167,861,-0.04
20,21,21,David Toms,49,"31' 0""",12130.75,391,-0.07
21,22,22,Ben Kohles,75,"31' 1""",24242.75,780,-0.04
22,T23,T23,Bud Cauley,67,"31' 2""",20834.167,668,-0.06
23,T23,T23,K.J. Choi,85,"31' 2""",25141.417,806,-0.07
24,T23,T23,Greg Owen,73,"31' 2""",24331.0,781,-0.07
25,T23,T23,Gary Woodland,94,"31' 2""",30351.5,973,-0.08
26,T27,T27,Chad Campbell,78,"31' 3""",27751.0,889,-0.09
27,T27,T27,Graham DeLaet,94,"31' 3""",32832.583,1050,-0.08
28,T27,T27,James Hahn,78,"31' 3""",24751.083,793,-0.08
29,T27,T27,John Rollins,77,"31' 3""",24995.583,800,-0.06
30,T27,T27,Brian Stuard,78,"31' 3""",25435.583,813,-0.05
31,T27,T27,Boo Weekley,100,"31' 3""",32777.583,1050,-0.09
32,T33,T33,Robert Allenby,58,"31' 4""",19160.417,611,-0.03
33,T33,T33,Nick Watney,88,"31' 4""",27949.5,891,-0.11
34,T33,T33,Y.E. Yang,56,"31' 4""",15961.083,509,-0.05
35,T36,T36,Brandt Jobe,62,"31' 5""",21692.5,691,-0.07
