,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Robert Garrigus,69,75.9,126,40
1,2,2,Keegan Bradley,88,72.22,156,60
2,3,3,Kyle Stanley,71,70.85,141,58
3,4,4,Henrik Stenson,65,69.85,95,41
4,5,5,Bubba Watson,76,68.56,133,61
5,6,6,Charl Schwartzel,69,67.07,110,54
6,7,7,Jim Herman,59,66.67,88,44
7,8,8,Rory Sabbatini,86,65.73,140,73
8,9,9,Adam Scott,61,65.0,91,49
9,10,10,Ryan Palmer,79,63.33,133,77
10,11,11,Dustin Johnson,71,63.29,100,58
11,12,12,Martin Kaymer,61,63.11,77,45
12,13,13,Steven Bowditch,67,62.92,112,66
13,14,14,Hunter Mahan,91,62.78,140,83
14,15,15,Eric Meierdierks,48,62.18,74,45
15,16,16,Kevin Stadler,83,62.15,133,81
16,17,17,Ángel Cabrera,73,62.07,108,66
17,18,18,Lee Westwood,70,61.59,101,63
18,19,19,Sergio Garcia,65,61.49,91,57
19,20,20,Matt Every,89,61.33,157,99
20,21,21,Rory McIlroy,56,61.27,87,55
21,22,22,Tiger Woods,61,61.03,83,53
22,23,23,Gary Woodland,94,60.31,158,104
23,24,24,Lucas Glover,65,60.12,104,69
24,25,25,Andrew Svoboda,46,60.0,63,42
25,26,26,Scott Piercy,78,59.9,115,77
26,27,27,Andres Romero,63,59.76,98,66
27,28,28,Peter Hanson,45,59.57,56,38
28,29,29,Jordan Spieth,82,59.31,121,83
29,30,30,Webb Simpson,92,59.15,126,87
30,31,31,Charles Howell III,87,58.91,152,106
31,32,32,Boo Weekley,100,58.8,147,103
32,33,33,Jason Kokrak,78,58.7,135,95
33,34,34,Cameron Percy,68,58.48,100,71
34,35,35,Charlie Beljan,62,58.43,104,74
35,36,36,Marc Leishman,77,58.33,112,80
36,37,37,Greg Owen,73,57.84,118,86
37,38,38,Matt Jones,83,57.73,127,93
38,39,39,Jeff Overton,78,57.51,134,99
39,40,40,Luke List,65,57.4,97,72
40,41,41,Kevin Streelman,86,57.21,119,89
41,T42,T42,Phil Mickelson,78,57.14,104,78
42,T42,T42,Justin Rose,62,57.14,80,60
43,44,44,Derek Ernst,58,56.95,86,65
44,45,45,John Senden,79,56.93,115,87
45,46,46,Graham DeLaet,94,56.8,142,108
46,47,47,Morgan Hoffmann,64,56.38,84,65
47,48,48,Sean O'Hair,56,56.17,91,71
48,49,49,Josh Teater,86,55.88,114,90
49,50,50,Scott Stallings,79,55.66,118,94
50,51,51,D.J. Trahan,48,55.26,63,51
51,52,52,Jimmy Walker,84,55.2,138,112
52,53,53,Jason Day,86,55.1,108,88
53,54,54,Patrick Reed,83,55.0,121,99
54,55,55,Charley Hoffman,84,54.96,133,109
55,56,56,Henrik Norlander,70,54.95,100,82
56,57,57,Nicolas Colsaerts,50,54.87,62,51
57,58,58,Shawn Stefani,63,54.73,81,67
58,59,59,Padraig Harrington,52,54.72,58,48
59,60,60,Nick Watney,88,54.58,131,109
60,T61,T61,Brad Fritsch,81,54.25,115,97
61,T61,T61,John Rollins,77,54.25,115,97
62,63,63,Vijay Singh,61,54.05,80,68
63,64,64,Robert Streb,75,53.8,99,85
64,65,65,Rickie Fowler,75,53.72,101,87
65,66,66,Ernie Els,63,53.29,81,71
66,67,67,Harris English,95,53.15,135,119
67,68,68,Bill Haas,85,52.97,116,103
68,69,69,Seung-Yul Noh,71,52.76,105,94
69,70,70,Matt Kuchar,93,52.75,115,103
70,71,71,Martin Flores,83,52.38,121,110
71,72,72,Scott Brown,65,52.15,97,89
72,73,73,Ryo Ishikawa,72,52.02,90,83
