,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Bubba Watson,76,159.2,4698756.0,820
1,2,2,Dustin Johnson,71,162.3,4072951.0,697
2,3,3,Keegan Bradley,88,165.7,5948901.0,997
3,T4,T4,Steven Bowditch,67,165.9,4689171.0,785
4,T4,T4,Morgan Hoffmann,64,165.9,4329945.0,725
5,6,6,Kyle Stanley,71,166.1,4957294.0,829
6,7,7,Scott Piercy,78,166.5,5093585.0,850
7,T8,T8,Nicolas Colsaerts,50,166.9,2979395.0,496
8,T8,T8,Robert Garrigus,69,166.9,4001126.0,666
9,T8,T8,Rory McIlroy,56,166.9,3371436.0,561
10,11,11,Rory Sabbatini,86,167.5,5934907.0,984
11,12,12,Luke List,65,167.7,4183285.0,693
12,T13,T13,Ryan Palmer,79,168.4,5747146.0,948
13,T13,T13,Scott Stallings,79,168.4,5485940.0,905
14,15,15,Gary Woodland,94,169.1,6941859.0,1140
15,16,16,Eric Meierdierks,48,170.0,3114560.0,509
16,17,17,Jason Kokrak,78,170.3,6049822.0,987
17,T18,T18,Charlie Beljan,62,170.6,4680700.0,762
18,T18,T18,Jim Herman,59,170.6,3740803.0,609
19,20,20,Jason Day,86,170.8,5176383.0,842
20,21,21,Carl Pettersson,82,170.9,5432771.0,883
21,T22,T22,Charl Schwartzel,69,171.0,4592658.0,746
22,T22,T22,Kevin Stadler,83,171.0,5849505.0,950
23,24,24,Robert Streb,75,171.1,5242377.0,851
24,25,25,Patrick Reed,83,171.4,6250933.0,1013
25,T26,T26,Jason Dufner,78,171.5,5242464.0,849
26,T26,T26,Shawn Stefani,63,171.5,4221922.0,684
27,28,28,Martin Flores,83,171.6,6437731.0,1042
28,T29,T29,Tag Ridings,69,171.8,4860521.0,786
