,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Graeme McDowell,53,19.4,36347.0,52
1,2,2,Daniel Summerhays,83,20.0,97882.0,136
2,3,3,Nicolas Colsaerts,50,20.7,53645.0,72
3,T4,T4,Harris English,95,21.3,125083.0,163
4,T4,T4,Luke List,65,21.3,85154.0,111
5,6,6,Brian Stuard,78,21.6,62267.0,80
6,T7,T7,Keegan Bradley,88,21.8,147253.0,188
7,T7,T7,Ryan Moore,72,21.8,81666.0,104
8,T7,T7,Brendan Steele,86,21.8,104578.0,133
9,T10,T10,Martin Kaymer,61,21.9,68623.0,87
10,T10,T10,Charl Schwartzel,69,21.9,100113.0,127
11,T10,T10,Boo Weekley,100,21.9,129462.0,164
12,13,13,Rory Sabbatini,86,22.0,119345.0,151
13,T14,T14,Dustin Johnson,71,22.1,98667.0,124
14,T14,T14,Kyle Stanley,71,22.1,131295.0,165
15,T16,T16,William McGirt,75,22.2,91245.0,114
16,T16,T16,Vaughn Taylor,50,22.2,49454.0,62
17,18,18,Roberto Castro,97,22.3,109075.0,136
18,T19,T19,Graham DeLaet,94,22.4,128153.0,159
19,T19,T19,Brad Fritsch,81,22.4,99898.0,124
20,T19,T19,Jim Herman,59,22.4,77567.0,96
21,T22,T22,Fabián Gómez,65,22.5,72991.0,90
22,T22,T22,D.A. Points,87,22.5,90839.0,112
23,T24,T24,Chez Reavie,72,22.6,67677.0,83
24,T24,T24,Kevin Streelman,86,22.6,107982.0,133
25,T26,T26,Phil Mickelson,78,22.7,103110.0,126
26,T26,T26,Webb Simpson,92,22.7,117465.0,144
27,T26,T26,Gary Woodland,94,22.7,153361.0,188
28,T26,T26,Tiger Woods,61,22.7,77739.0,95
29,30,30,Chad Campbell,78,22.8,106909.0,130
30,T31,T31,Jason Day,86,22.9,103680.0,126
31,T31,T31,Bubba Watson,76,22.9,138564.0,168
32,T31,T31,Lee Westwood,70,22.9,99887.0,121
33,T34,T34,Rory McIlroy,56,23.0,89285.0,108
34,T34,T34,Mark Wilson,56,23.0,55477.0,67
35,T36,T36,Trevor Immelman,73,23.1,66606.0,80
36,T36,T36,Pat Perez,69,23.1,100753.0,121
37,T38,T38,Robert Garrigus,69,23.2,123384.0,148
38,T38,T38,Justin Rose,62,23.2,74400.0,89
39,T38,T38,Adam Scott,61,23.2,88371.0,106
40,T41,T41,Dicky Pride,71,23.3,52947.0,63
41,T41,T41,Vijay Singh,61,23.3,71172.0,85
42,T41,T41,Bo Van Pelt,72,23.3,82036.0,98
43,44,44,Jim Furyk,80,23.4,57358.0,68
44,T45,T45,Matt Kuchar,93,23.5,110972.0,131
45,T45,T45,Chris Stroud,88,23.5,108468.0,128
46,T47,T47,Ben Kohles,75,23.6,62833.0,74
47,T47,T47,Martin Laird,68,23.6,87351.0,103
48,T47,T47,Henrik Norlander,70,23.6,92576.0,109
49,T47,T47,Y.E. Yang,56,23.6,51788.0,61
50,T51,T51,Will Claxton,67,23.7,69908.0,82
51,T51,T51,Scott Langley,79,23.7,59796.0,70
