,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,James Driscoll,76,23.29,51,219
1,2,2,Chez Reavie,72,22.18,59,266
2,3,3,Sangmoon Bae,83,22.14,60,271
3,4,4,Rory McIlroy,56,21.09,31,147
4,5,5,Chris Kirk,89,20.51,64,312
5,6,6,"Ted Potter, Jr.",65,20.09,44,219
6,7,7,Jason Dufner,78,19.8,39,197
7,8,8,Tiger Woods,61,19.75,32,162
8,9,9,Bo Van Pelt,72,19.53,42,215
9,10,10,Steve LeBrun,66,19.31,39,202
10,11,11,Bob Estes,66,19.25,46,239
11,12,12,Fabián Gómez,65,19.18,42,219
12,13,13,Charl Schwartzel,69,18.86,43,228
13,14,14,Jim Furyk,80,18.8,44,234
14,15,15,Martin Kaymer,61,18.75,30,160
15,16,16,Rory Sabbatini,86,18.71,52,278
16,17,17,Vaughn Taylor,50,18.66,25,134
17,18,18,Camilo Villegas,79,18.5,47,254
18,19,19,David Lingmerth,68,18.4,39,212
19,20,20,Russell Henley,80,18.37,52,283
20,21,21,Bubba Watson,76,18.14,37,204
21,22,22,Pat Perez,69,18.11,48,265
22,23,23,Jason Bohn,70,17.98,41,228
23,24,24,Justin Hicks,79,17.96,51,284
24,25,25,Phil Mickelson,78,17.89,39,218
25,26,26,Ryan Moore,72,17.83,41,230
26,27,27,Brandt Snedeker,79,17.82,36,202
27,28,28,Stewart Cink,71,17.8,42,236
28,29,29,Dustin Johnson,71,17.68,35,198
29,30,30,Brian Gay,79,17.62,46,261
30,31,31,David Toms,49,17.48,18,103
31,32,32,Henrik Stenson,65,17.44,30,172
32,33,33,Brian Davis,91,17.41,51,293
33,34,34,Peter Hanson,45,17.36,21,121
34,35,35,Luke Donald,60,17.3,32,185
35,36,36,Ángel Cabrera,73,17.21,37,215
36,37,37,Charlie Wi,75,17.2,48,279
37,38,38,D.A. Points,87,17.08,41,240
38,39,39,David Hearn,88,17.07,49,287
39,40,40,Josh Teater,86,16.96,39,230
40,41,41,Richard Lee,81,16.92,45,266
41,T42,T42,Bryce Molder,82,16.85,46,273
42,T42,T42,Kevin Stadler,83,16.85,45,267
43,T44,T44,Charlie Beljan,62,16.67,35,210
44,T44,T44,George McNeill,68,16.67,41,246
45,46,46,Zach Johnson,84,16.54,42,254
46,47,47,Harris English,95,16.52,55,333
47,48,48,Scott Piercy,78,16.46,40,243
48,49,49,Ken Duke,87,16.42,45,274
49,50,50,Jerry Kelly,75,16.38,38,232
50,51,51,Matt Every,89,16.34,50,306
51,52,52,Jimmy Walker,84,16.3,44,270
52,53,53,John Rollins,77,16.28,42,258
53,54,54,Tag Ridings,69,16.16,37,229
54,55,55,Tommy Gainey,84,16.1,43,267
55,56,56,Jordan Spieth,82,16.09,37,230
56,57,57,Y.E. Yang,56,16.0,28,175
57,58,58,Matt Kuchar,93,15.94,44,276
58,T59,T59,Aaron Baddeley,68,15.93,36,226
59,T59,T59,Mike Weir,60,15.93,29,182
60,T61,T61,Rickie Fowler,75,15.88,37,233
61,T61,T61,William McGirt,75,15.88,44,277
62,T63,T63,James Hahn,78,15.85,42,265
63,T63,T63,Ryan Palmer,79,15.85,42,265
64,65,65,Brendon de Jonge,110,15.84,61,385
65,66,66,Adam Scott,61,15.82,25,158
66,67,67,Mark Wilson,56,15.81,34,215
67,68,68,Brad Fritsch,81,15.79,45,285
68,69,69,Justin Rose,62,15.7,27,172
69,70,70,Gary Woodland,94,15.65,49,313
70,71,71,David Lynn,70,15.63,30,192
71,72,72,Justin Leonard,86,15.61,47,301
72,73,73,Stephen Ames,49,15.58,31,199
