,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Steve Stricker,51,-0.18899999999999997
1,2,2,Tiger Woods,61,-0.177
2,3,3,Phil Mickelson,78,-0.155
3,4,4,Justin Rose,62,-0.145
4,5,5,Matt Kuchar,93,-0.14
5,6,6,Keegan Bradley,88,-0.139
6,7,7,Ryan Palmer,79,-0.13699999999999998
7,8,8,Henrik Stenson,65,-0.136
8,T9,T9,Chris Kirk,89,-0.134
9,T9,T9,Brandt Snedeker,79,-0.134
10,T11,T11,Sergio Garcia,65,-0.127
11,T11,T11,Rory Sabbatini,86,-0.127
12,T11,T11,Jordan Spieth,82,-0.127
13,14,14,Charl Schwartzel,69,-0.126
14,15,15,Bill Haas,85,-0.12300000000000001
15,16,16,Charles Howell III,87,-0.121
16,T17,T17,Jim Furyk,80,-0.11800000000000001
17,T17,T17,Hunter Mahan,91,-0.11800000000000001
18,19,19,Bubba Watson,76,-0.11699999999999999
19,20,20,Rory McIlroy,56,-0.11599999999999999
20,21,21,Nick Watney,88,-0.115
21,22,22,Brendon de Jonge,110,-0.114
22,23,23,Luke Donald,60,-0.113
23,24,24,David Hearn,88,-0.11
24,25,25,Zach Johnson,84,-0.109
25,26,26,Dustin Johnson,71,-0.107
26,27,27,Webb Simpson,92,-0.10400000000000001
27,28,28,Rickie Fowler,75,-0.102
28,29,29,Matt Jones,83,-0.10099999999999999
29,T30,T30,Bryce Molder,82,-0.099
30,T30,T30,Adam Scott,61,-0.099
31,32,32,Brian Davis,91,-0.098
32,33,33,Matt Every,89,-0.09699999999999999
33,34,34,Jerry Kelly,75,-0.094
34,T35,T35,Jason Day,86,-0.092
35,T35,T35,Bob Estes,66,-0.092
36,T35,T35,Billy Horschel,96,-0.092
37,T35,T35,Kevin Stadler,83,-0.092
38,T39,T39,Morgan Hoffmann,64,-0.08800000000000001
39,T39,T39,William McGirt,75,-0.08800000000000001
40,T39,T39,Jimmy Walker,84,-0.08800000000000001
41,T42,T42,Kevin Streelman,86,-0.087
42,T42,T42,Daniel Summerhays,83,-0.087
43,T42,T42,Camilo Villegas,79,-0.087
44,T42,T42,Boo Weekley,100,-0.087
45,T46,T46,Graham DeLaet,94,-0.086
46,T46,T46,Russell Henley,80,-0.086
47,T46,T46,Jeff Overton,78,-0.086
48,T49,T49,Steven Bowditch,67,-0.085
49,T49,T49,Freddie Jacobson,63,-0.085
50,T49,T49,John Merrick,79,-0.085
51,T52,T52,Chad Campbell,78,-0.084
52,T52,T52,K.J. Choi,85,-0.084
53,T52,T52,Charley Hoffman,84,-0.084
54,55,55,Roberto Castro,97,-0.083
55,T56,T56,Harris English,95,-0.081
56,T56,T56,Jason Kokrak,78,-0.081
57,58,58,David Lynn,70,-0.08
58,T59,T59,Jason Bohn,70,-0.079
59,T59,T59,Gary Woodland,94,-0.079
60,T61,T61,Kevin Chappell,80,-0.078
61,T61,T61,Martin Flores,83,-0.078
62,T61,T61,Brad Fritsch,81,-0.078
63,T61,T61,James Hahn,78,-0.078
64,65,65,John Rollins,77,-0.076
65,T66,T66,Stuart Appleby,88,-0.075
66,T66,T66,Brandt Jobe,62,-0.075
67,T66,T66,Richard Lee,81,-0.075
68,T66,T66,Patrick Reed,83,-0.075
69,T70,T70,Bud Cauley,67,-0.07200000000000001
70,T70,T70,Jason Dufner,78,-0.07200000000000001
71,72,72,Tag Ridings,69,-0.07
72,T73,T73,Tim Clark,64,-0.069
73,T73,T73,Carl Pettersson,82,-0.069
74,T73,T73,Ian Poulter,59,-0.069
75,T73,T73,Robert Streb,75,-0.069
76,T77,T77,Jeff Maggert,63,-0.068
77,T77,T77,Scott Stallings,79,-0.068
78,79,79,Robert Karlsson,56,-0.067
79,T80,T80,Greg Chalmers,77,-0.066
80,T80,T80,James Driscoll,76,-0.066
81,T80,T80,"Ted Potter, Jr.",65,-0.066
82,T80,T80,Chez Reavie,72,-0.066
83,84,84,Josh Teater,86,-0.065
84,T85,T85,Ken Duke,87,-0.064
85,T85,T85,Jim Herman,59,-0.064
86,T85,T85,John Huh,88,-0.064
87,T85,T85,Pat Perez,69,-0.064
88,T85,T85,Shawn Stefani,63,-0.064
89,T90,T90,Fabián Gómez,65,-0.063
90,T90,T90,Martin Kaymer,61,-0.063
91,T90,T90,George McNeill,68,-0.063
92,T90,T90,Ryan Moore,72,-0.063
93,94,94,Doug LaBelle II,72,-0.062
94,95,95,Cameron Tringale,80,-0.061
95,T96,T96,Stewart Cink,71,-0.06
96,T96,T96,Brian Harman,89,-0.06
97,T96,T96,Steve LeBrun,66,-0.06
98,T96,T96,Graeme McDowell,53,-0.06
99,T96,T96,Chris Stroud,88,-0.06
100,T96,T96,Nicholas Thompson,99,-0.06
101,T102,T102,Peter Hanson,45,-0.059000000000000004
102,T102,T102,Scott Piercy,78,-0.059000000000000004
103,T102,T102,David Toms,49,-0.059000000000000004
104,105,105,Greg Owen,73,-0.057999999999999996
105,T106,T106,Lucas Glover,65,-0.057
106,T106,T106,Kyle Stanley,71,-0.057
107,T106,T106,Brendan Steele,86,-0.057
108,T106,T106,Vaughn Taylor,50,-0.057
109,T110,T110,Sangmoon Bae,83,-0.055999999999999994
110,T110,T110,Scott Brown,65,-0.055999999999999994
111,T112,T112,Marc Leishman,77,-0.054000000000000006
112,T112,T112,Justin Leonard,86,-0.054000000000000006
113,114,114,Vijay Singh,61,-0.053
114,T115,T115,Ricky Barnes,74,-0.052000000000000005
115,T115,T115,Alistair Presnell,59,-0.052000000000000005
116,117,117,Ángel Cabrera,73,-0.051
117,T118,T118,Erik Compton,74,-0.05
118,T118,T118,Lee Westwood,70,-0.05
119,120,120,Robert Garrigus,69,-0.049
120,T121,T121,J.J. Henry,83,-0.048
121,T121,T121,Cameron Percy,68,-0.048
122,T121,T121,Dicky Pride,71,-0.048
123,T121,T121,Aaron Watkins,46,-0.048
124,T121,T121,Charlie Wi,75,-0.048
125,T126,T126,Jonas Blixt,76,-0.047
126,T126,T126,Ben Crane,62,-0.047
127,T126,T126,Padraig Harrington,52,-0.047
128,T126,T126,Scott Langley,79,-0.047
129,130,130,Henrik Norlander,70,-0.046
130,131,131,Ben Kohles,75,-0.045
131,T132,T132,Ernie Els,63,-0.043
