,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Henrik Stenson,65,77.02,610,792,-162.0
1,2,2,Steve Stricker,51,76.19,480,630,-153.0
2,3,3,Graham DeLaet,94,75.65,1103,1458,-271.0
3,4,4,Bubba Watson,76,75.14,798,1062,-217.0
4,5,5,Justin Rose,62,74.76,619,828,-170.0
5,6,6,Adam Scott,61,74.49,590,792,-158.0
6,7,7,Jim Furyk,80,74.48,858,1152,-217.0
7,8,8,Ricky Barnes,74,74.27,869,1170,-160.0
8,9,9,Bill Haas,85,74.15,921,1242,-227.0
9,10,10,Sergio Garcia,65,74.0,626,846,-175.0
10,11,11,Zach Johnson,84,73.63,888,1206,-227.0
11,12,12,Hunter Mahan,91,73.45,899,1224,-235.0
12,13,13,Nick Watney,88,73.44,965,1314,-232.0
13,14,14,Justin Hicks,79,73.4,872,1188,-182.0
14,15,15,Kevin Stadler,83,73.19,909,1242,-242.0
15,16,16,Lucas Glover,65,73.18,685,936,-143.0
16,17,17,Brendon de Jonge,110,73.08,1276,1746,-312.0
17,18,18,Boo Weekley,100,73.03,1091,1494,-243.0
18,19,19,K.J. Choi,85,73.02,828,1134,-181.0
19,20,20,Keegan Bradley,88,72.99,946,1296,-277.0
20,21,21,Jim Herman,59,72.85,577,792,-123.0
21,22,22,Rory Sabbatini,86,72.84,944,1296,-259.0
22,23,23,Vijay Singh,61,72.8,629,864,-106.0
23,24,24,J.J. Henry,83,72.67,968,1332,-194.0
24,25,25,Nicholas Thompson,99,72.55,1123,1548,-258.0
25,26,26,Billy Horschel,96,72.49,1083,1494,-303.0
26,27,27,Roberto Castro,97,72.29,1093,1512,-255.0
27,T28,T28,Jason Dufner,78,72.22,793,1098,-186.0
28,T28,T28,Dustin Johnson,71,72.22,663,918,-188.0
29,30,30,John Merrick,79,72.14,883,1224,-219.0
30,31,31,John Huh,88,71.93,971,1350,-218.0
31,T32,T32,Stewart Cink,71,71.83,724,1008,-169.0
32,T32,T32,Jeff Maggert,63,71.83,737,1026,-153.0
33,34,34,Lee Westwood,70,71.79,659,918,-149.0
34,35,35,D.J. Trahan,48,71.78,491,684,-105.0
35,T36,T36,Nicolas Colsaerts,50,71.76,465,648,-91.0
36,T36,T36,Kyle Stanley,71,71.76,775,1080,-161.0
37,38,38,Matt Kuchar,93,71.74,891,1242,-260.0
38,39,39,John Rollins,77,71.73,878,1224,-208.0
39,40,40,Jordan Spieth,82,71.72,865,1206,-258.0
40,41,41,Chad Campbell,78,71.68,929,1296,-210.0
41,42,42,Webb Simpson,92,71.67,903,1260,-252.0
42,43,43,Mark Wilson,56,71.56,644,900,-123.0
43,44,44,Charles Howell III,87,71.53,1030,1440,-267.0
44,45,45,Kevin Chappell,80,71.48,862,1206,-206.0
