,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
0,1,1,Brandt Snedeker,79,-.540
1,2,2,Jordan Spieth,82,-.500
2,3,3,Steve Stricker,51,-.486
3,4,4,Robert Karlsson,56,-.476
4,T5,T5,Jason Day,86,-.472
5,T5,T5,Scott Gardiner,61,-.472
6,7,7,Matt Kuchar,93,-.424
7,8,8,Sergio Garcia,65,-.405
8,T9,T9,Henrik Norlander,70,-.395
9,T9,T9,Justin Rose,62,-.395
10,11,11,Dustin Johnson,71,-.394
11,12,12,Henrik Stenson,65,-.378
12,13,13,Tiger Woods,61,-.366
13,14,14,David Lingmerth,68,-.359
14,15,15,Martin Kaymer,61,-.356
15,16,16,Scott Stallings,79,-.350
16,17,17,Daniel Summerhays,83,-.339
17,18,18,"Ted Potter, Jr.",65,-.333
18,T19,T19,Harris English,95,-.328
19,T19,T19,Nicholas Thompson,99,-.328
20,T21,T21,Stephen Ames,49,-.323
21,T21,T21,Jim Herman,59,-.323
22,T21,T21,Gary Woodland,94,-.323
23,24,24,Zach Johnson,84,-.316
24,25,25,Brian Stuard,78,-.314
25,26,26,Bill Haas,85,-.311
26,27,27,Matt Jones,83,-.310
27,28,28,Peter Hanson,45,-.303
28,29,29,Charley Hoffman,84,-.302
29,30,30,Eric Meierdierks,48,-.300
30,31,31,Martin Laird,68,-.298
31,32,32,Graeme McDowell,53,-.296
32,33,33,Michael Thompson,66,-.295
33,34,34,Boo Weekley,100,-.292
34,35,35,Billy Horschel,96,-.288
35,36,36,Seung-Yul Noh,71,-.286
36,37,37,Nick Watney,88,-.284
37,38,38,Scott Brown,65,-.282
38,T39,T39,Freddie Jacobson,63,-.280
39,T39,T39,Bo Van Pelt,72,-.280
40,T41,T41,Derek Ernst,58,-.279
41,T41,T41,Charl Schwartzel,69,-.279
42,43,43,Y.E. Yang,56,-.278
43,44,44,Webb Simpson,92,-.277
44,45,45,Brendon de Jonge,110,-.276
45,46,46,Bubba Watson,76,-.273
46,47,47,Darron Stiles,51,-.270
47,48,48,Hunter Mahan,91,-.269
48,49,49,Jeff Overton,78,-.268
49,T50,T50,Russell Henley,80,-.267
50,T50,T50,Richard Lee,81,-.267
51,52,52,Chez Reavie,72,-.261
52,53,53,Padraig Harrington,52,-.258
53,54,54,Sean O'Hair,56,-.257
54,55,55,Brendan Steele,86,-.250
55,56,56,Lee Williams,62,-.243
56,T57,T57,James Hahn,78,-.240
57,T57,T57,Rory Sabbatini,86,-.240
58,59,59,Robert Garrigus,69,-.238
59,60,60,Tag Ridings,69,-.237
60,T61,T61,Keegan Bradley,88,-.234
61,T61,T61,George McNeill,68,-.234
62,63,63,Matt Every,89,-.230
63,64,64,Ricky Barnes,74,-.227
64,65,65,Brandt Jobe,62,-.226
65,66,66,Kevin Streelman,86,-.222
66,67,67,Greg Owen,73,-.220
67,68,68,Charles Howell III,87,-.217
68,69,69,Alistair Presnell,59,-.214
69,70,70,Jeff Maggert,63,-.213
70,71,71,Fabián Gómez,65,-.211
71,72,72,Phil Mickelson,78,-.208
72,73,73,Will Claxton,67,-.206
73,T74,T74,D.H. Lee,65,-.204
74,T74,T74,Patrick Reed,83,-.204
75,T76,T76,Chad Campbell,78,-.200
76,T76,T76,Tim Clark,64,-.200
77,T76,T76,Jerry Kelly,75,-.200
78,79,79,Ben Kohles,75,-.195
79,T80,T80,Nicolas Colsaerts,50,-.194
80,T80,T80,Tim Herron,45,-.194
81,82,82,Jason Dufner,78,-.192
82,83,83,Scott Piercy,78,-.191
83,84,84,Kevin Chappell,80,-.190
84,85,85,Steven Bowditch,67,-.189
85,T86,T86,Graham DeLaet,94,-.185
86,T86,T86,Shawn Stefani,63,-.185
87,T88,T88,Stuart Appleby,88,-.184
88,T88,T88,Marc Leishman,77,-.184
89,T88,T88,Cameron Percy,68,-.184
90,T91,T91,Bob Estes,66,-.182
91,T91,T91,John Senden,79,-.182
92,T91,T91,D.J. Trahan,48,-.182
93,94,94,Stewart Cink,71,-.180
94,95,95,Justin Bolli,59,-.179
95,96,96,Pat Perez,69,-.174
96,97,97,Luke List,65,-.172
97,98,98,Rory McIlroy,56,-.171
98,T99,T99,Tom Gillis,69,-.170
99,T99,T99,Doug LaBelle II,72,-.170
100,T101,T101,Morgan Hoffmann,64,-.167
101,T101,T101,Bryce Molder,82,-.167
102,T103,T103,Charlie Beljan,62,-.163
103,T103,T103,Scott Langley,79,-.163
104,105,105,Chris Stroud,88,-.161
105,106,106,Sangmoon Bae,83,-.157
106,107,107,John Huh,88,-.155
107,108,108,William McGirt,75,-.154
108,109,109,Josh Teater,86,-.152
109,110,110,Brad Fritsch,81,-.150
110,111,111,Robert Streb,75,-.146
111,T112,T112,K.J. Choi,85,-.143
112,T112,T112,Ryan Moore,72,-.143
113,T114,T114,David Hearn,88,-.140
114,T114,T114,Carl Pettersson,82,-.140
115,116,116,Ernie Els,63,-.139
116,117,117,Jonas Blixt,76,-.137
117,T118,T118,Ángel Cabrera,73,-.133
118,T118,T118,Chris Kirk,89,-.133
119,T120,T120,Roberto Castro,97,-.129
120,T120,T120,Brian Davis,91,-.129
121,122,122,Lee Westwood,70,-.128
122,T123,T123,Ian Poulter,59,-.125
123,T123,T123,Andrew Svoboda,46,-.125
124,125,125,Jin Park,52,-.121
125,126,126,Justin Hicks,79,-.119
126,T127,T127,Brian Harman,89,-.111
127,T127,T127,John Merrick,79,-.111
128,T127,T127,Charlie Wi,75,-.111
129,130,130,Kyle Stanley,71,-.109
130,131,131,Jason Kokrak,78,-.107
131,132,132,Kevin Stadler,83,-.106
132,T133,T133,Greg Chalmers,77,-.102
133,T133,T133,Rickie Fowler,75,-.102
134,T135,T135,Jason Bohn,70,-.100
135,T135,T135,Casey Wittenberg,72,-.100
136,T137,T137,Erik Compton,74,-.095
137,T137,T137,David Toms,49,-.095
138,T139,T139,J.J. Henry,83,-.093
139,T139,T139,Colt Knost,69,-.093
140,141,141,Rod Pampling,46,-.087
141,142,142,Troy Matteson,68,-.086
142,143,143,Geoff Ogilvy,57,-.083
143,144,144,Jim Furyk,80,-.082
144,145,145,Ben Curtis,59,-.081
145,146,146,Luke Donald,60,-.079
146,147,147,Trevor Immelman,73,-.077
147,148,148,Adam Scott,61,-.075
148,149,149,Camilo Villegas,79,-.071
149,150,150,Bud Cauley,67,-.068
150,T151,T151,Lucas Glover,65,-.067
151,T151,T151,Steve LeBrun,66,-.067
152,153,153,Jimmy Walker,84,-.061
153,T154,T154,Brian Gay,79,-.059
154,T154,T154,Justin Leonard,86,-.059
155,T156,T156,Ryan Palmer,79,-.047
156,T156,T156,Johnson Wagner,64,-.047
157,158,158,D.A. Points,87,-.039
158,159,159,Vaughn Taylor,50,-.032
159,160,160,Ryo Ishikawa,72,-.029
160,161,161,David Lynn,70,-.027
161,162,162,Aaron Baddeley,68,-.023
162,163,163,Luke Guthrie,82,-.021
163,164,164,Martin Flores,83,-.020
164,165,165,Tommy Gainey,84,-.018
165,T166,T166,David Mathis,71,E
166,T166,T166,Andres Romero,63,E
167,T166,T166,Mike Weir,60,E
168,T166,T166,Mark Wilson,56,E
169,170,170,Ben Crane,62,+.026
170,171,171,Dicky Pride,71,+.028
171,172,172,Michael Bradley,56,+.032
172,173,173,Cameron Tringale,80,+.055
173,174,174,Vijay Singh,61,+.059
174,175,175,James Driscoll,76,+.098
175,176,176,Robert Allenby,58,+.111
176,177,177,Ken Duke,87,+.114
177,178,178,John Rollins,77,+.156
178,179,179,Aaron Watkins,46,+.174
179,180,180,Bobby Gates,49,+.182
