,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Henrik Stenson,65,68.48,428,625,-0.17
1,2,2,Graham DeLaet,94,67.82,805,1187,-0.16
2,3,3,Ricky Barnes,74,67.28,654,972,-0.16
3,4,4,Steve Stricker,51,66.73,327,490,-0.21
4,T5,T5,Stewart Cink,71,66.27,552,833,-0.17
5,T5,T5,Justin Rose,62,66.27,444,670,-0.18
6,7,7,Bubba Watson,76,65.88,504,765,-0.18
7,8,8,J.J. Henry,83,65.83,734,1115,-0.15
8,9,9,Jim Furyk,80,65.8,656,997,-0.22
9,10,10,Nick Watney,88,65.78,690,1049,-0.17
10,11,11,Justin Hicks,79,65.71,665,1012,-0.17
11,12,12,Boo Weekley,100,65.48,791,1208,-0.17
12,13,13,Adam Scott,61,65.41,418,639,-0.15
13,14,14,Vijay Singh,61,65.36,466,713,-0.11
14,15,15,Brendon de Jonge,110,65.29,948,1452,-0.17
15,16,16,Bill Haas,85,65.28,643,985,-0.19
16,17,17,Hunter Mahan,91,65.2,622,954,-0.16
17,18,18,Tiger Woods,61,65.1,416,639,-0.26
18,19,19,Sergio Garcia,65,64.96,445,685,-0.19
19,20,20,Chad Campbell,78,64.62,694,1074,-0.16
20,21,21,Kevin Stadler,83,64.59,633,980,-0.2
21,22,22,Nicholas Thompson,99,64.56,807,1250,-0.16
22,23,23,Zach Johnson,84,64.51,638,989,-0.19
23,24,24,Pat Perez,69,64.35,603,937,-0.19
24,25,25,John Rollins,77,64.34,628,976,-0.17
25,26,26,Kyle Stanley,71,64.29,522,812,-0.09
26,27,27,Richard Lee,81,64.25,690,1074,-0.17
27,28,28,K.J. Choi,85,64.2,617,961,-0.15
28,29,29,Dustin Johnson,71,64.14,456,711,-0.19
29,30,30,Jason Dufner,78,64.11,577,900,-0.18
30,31,31,Brandt Jobe,62,64.06,517,807,-0.17
31,32,32,Jim Herman,59,63.96,410,641,-0.14
32,33,33,Charl Schwartzel,69,63.92,496,776,-0.21
33,34,34,Roberto Castro,97,63.89,791,1238,-0.16
34,35,35,Ryan Palmer,79,63.87,633,991,-0.21
35,36,36,Rory Sabbatini,86,63.82,658,1031,-0.19
36,37,37,Russell Henley,80,63.69,628,986,-0.19
37,38,38,D.J. Trahan,48,63.65,352,553,-0.15
38,39,39,Lucas Glover,65,63.64,476,748,-0.12
39,40,40,Andrew Svoboda,46,63.62,334,525,-0.17
40,41,41,Cameron Tringale,80,63.59,697,1096,-0.16
41,42,42,Trevor Immelman,73,63.56,593,933,-0.11
42,43,43,Camilo Villegas,79,63.54,603,949,-0.2
43,44,44,Chez Reavie,72,63.5,654,1030,-0.2
44,45,45,John Merrick,79,63.44,642,1012,-0.18
45,46,46,Billy Horschel,96,63.38,772,1218,-0.21
46,47,47,Nicolas Colsaerts,50,63.37,327,516,-0.12
47,48,48,John Huh,88,63.29,693,1095,-0.17
48,T49,T49,Harris English,95,63.2,754,1193,-0.21
49,T49,T49,Charles Howell III,87,63.2,711,1125,-0.18
50,51,51,Kevin Streelman,86,63.17,626,991,-0.17
51,52,52,Martin Kaymer,61,63.16,396,627,-0.16
52,53,53,Ryo Ishikawa,72,63.14,507,803,-0.14
53,54,54,Keegan Bradley,88,63.13,637,1009,-0.19
54,55,55,Henrik Norlander,70,63.12,558,884,-0.16
55,56,56,Lee Westwood,70,63.05,459,728,-0.15
56,57,57,Greg Owen,73,62.92,599,952,-0.12
57,58,58,Steve LeBrun,66,62.9,495,787,-0.15
58,59,59,Matt Kuchar,93,62.85,621,988,-0.21
59,60,60,Jeff Maggert,63,62.84,526,837,-0.17
60,61,61,Brad Fritsch,81,62.76,632,1007,-0.19
61,62,62,Bob Estes,66,62.61,596,952,-0.19
62,63,63,Ángel Cabrera,73,62.58,510,815,-0.15
63,64,64,Matt Every,89,62.5,705,1128,-0.2
64,65,65,Gary Woodland,94,62.48,736,1178,-0.2
65,66,66,Charley Hoffman,84,62.4,639,1024,-0.18
66,67,67,Michael Bradley,56,62.38,403,646,-0.11
67,68,68,Robert Garrigus,69,62.37,421,675,-0.21
68,69,69,Chris Kirk,89,62.22,733,1178,-0.23
69,70,70,Scott Stallings,79,62.17,572,920,-0.17
70,71,71,Martin Laird,68,62.16,478,769,-0.13
71,72,72,Mark Wilson,56,62.14,471,758,-0.13
72,73,73,Cameron Percy,68,62.13,525,845,-0.15
73,74,74,Martin Flores,83,62.11,690,1111,-0.16
74,75,75,Jordan Spieth,82,62.09,588,947,-0.23
75,76,76,Ben Kohles,75,62.07,589,949,-0.16
76,77,77,Brandt Snedeker,79,62.05,533,859,-0.2
77,78,78,Brendan Steele,86,61.97,717,1157,-0.16
78,79,79,Phil Mickelson,78,61.95,490,791,-0.25
79,80,80,Brian Stuard,78,61.9,606,979,-0.17
80,81,81,Jerry Kelly,75,61.88,591,955,-0.19
81,82,82,Jason Kokrak,78,61.83,643,1040,-0.16
82,T83,T83,Marc Leishman,77,61.8,571,924,-0.17
83,T83,T83,Rory McIlroy,56,61.8,351,568,-0.21
84,T85,T85,Matt Jones,83,61.77,635,1028,-0.18
85,T85,T85,D.H. Lee,65,61.77,530,858,-0.14
86,87,87,"Ted Potter, Jr.",65,61.72,503,815,-0.19
87,88,88,Kevin Chappell,80,61.71,598,969,-0.17
88,89,89,Webb Simpson,92,61.65,619,1004,-0.21
89,90,90,Stuart Appleby,88,61.64,723,1173,-0.16
90,91,91,Jeff Overton,78,61.62,663,1076,-0.2
