,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Morgan Hoffmann,64,21.02,37,176
1,2,2,Scott Piercy,78,19.79,37,187
2,3,3,Robert Garrigus,69,19.25,31,161
3,4,4,Dustin Johnson,71,19.08,29,152
4,5,5,Billy Horschel,96,18.98,52,274
5,6,6,Keegan Bradley,88,18.86,43,228
6,7,7,Ian Poulter,59,18.81,19,101
7,T8,T8,Ryo Ishikawa,72,17.89,34,190
8,T8,T8,Rory Sabbatini,86,17.89,39,218
9,10,10,John Huh,88,17.67,47,266
10,11,11,Ryan Palmer,79,17.62,40,227
11,12,12,Charl Schwartzel,69,17.39,32,184
12,13,13,Andres Romero,63,17.37,29,167
13,14,14,Jeff Overton,78,16.73,45,269
14,15,15,Phil Mickelson,78,16.67,30,180
15,16,16,Harris English,95,16.61,45,271
16,17,17,Jin Park,52,16.56,25,151
17,18,18,Graham DeLaet,94,16.49,48,291
18,19,19,Charlie Wi,75,16.4,41,250
19,20,20,Sangmoon Bae,83,16.14,41,254
20,21,21,Nicholas Thompson,99,15.96,45,282
21,22,22,Charley Hoffman,84,15.83,41,259
22,23,23,Bubba Watson,76,15.69,24,153
23,24,24,Robert Streb,75,15.66,31,198
24,25,25,Rory McIlroy,56,15.65,18,115
25,26,26,Martin Flores,83,15.61,42,269
26,27,27,Steve Stricker,51,15.46,15,97
27,28,28,Brian Davis,91,15.41,47,305
28,29,29,Chris Kirk,89,15.3,41,268
29,30,30,Charlie Beljan,62,15.29,26,170
30,31,31,Andrew Svoboda,46,15.18,17,112
31,32,32,Luke Donald,60,15.03,26,173
32,33,33,Jason Kokrak,78,15.02,35,233
33,34,34,Bryce Molder,82,14.98,40,267
34,35,35,Alistair Presnell,59,14.94,23,154
35,36,36,Sergio Garcia,65,14.91,24,161
36,37,37,James Hahn,78,14.89,35,235
37,38,38,Zach Johnson,84,14.86,33,222
38,39,39,Scott Stallings,79,14.83,31,209
39,40,40,Russell Henley,80,14.81,32,216
40,41,41,Kyle Stanley,71,14.78,30,203
41,42,42,Cameron Percy,68,14.72,29,197
42,43,43,Bob Estes,66,14.71,35,238
43,44,44,Jim Furyk,80,14.69,36,245
44,T45,T45,Webb Simpson,92,14.47,33,228
45,T45,T45,Kevin Streelman,86,14.47,34,235
46,47,47,Matt Every,89,14.4,37,257
47,48,48,William McGirt,75,14.34,35,244
48,49,49,Josh Teater,86,14.29,29,203
49,50,50,Gary Woodland,94,14.18,40,282
50,51,51,Greg Owen,73,14.15,30,212
51,52,52,David Hearn,88,14.12,37,262
52,53,53,Martin Kaymer,61,14.09,21,149
53,54,54,Jim Herman,59,14.08,20,142
54,55,55,Bill Haas,85,14.04,32,228
55,56,56,David Lingmerth,68,14.01,29,207
56,57,57,Brendon de Jonge,110,13.93,45,323
57,58,58,Ben Kohles,75,13.92,33,237
58,59,59,Boo Weekley,100,13.9,41,295
59,60,60,Greg Chalmers,77,13.89,35,252
60,T61,T61,Tim Clark,64,13.79,20,145
61,T61,T61,Vijay Singh,61,13.79,24,174
62,63,63,Jason Day,86,13.78,27,196
63,T64,T64,Kevin Chappell,80,13.76,30,218
64,T64,T64,Nicolas Colsaerts,50,13.76,15,109
65,66,66,Ernie Els,63,13.69,23,168
66,67,67,Ken Duke,87,13.64,39,286
67,68,68,Seung-Yul Noh,71,13.59,28,206
68,69,69,Shawn Stefani,63,13.56,24,177
69,70,70,Chez Reavie,72,13.52,33,244
70,71,71,Lucas Glover,65,13.51,25,185
71,72,72,Carl Pettersson,82,13.44,25,186
72,73,73,Chad Campbell,78,13.41,33,246
73,T74,T74,Padraig Harrington,52,13.39,15,112
74,T74,T74,Pat Perez,69,13.39,32,239
75,T76,T76,Scott Langley,79,13.36,29,217
76,T76,T76,Camilo Villegas,79,13.36,29,217
77,78,78,Justin Rose,62,13.29,19,143
78,79,79,Justin Bolli,59,13.22,23,174
79,80,80,Jimmy Walker,84,13.15,33,251
80,81,81,James Driscoll,76,13.11,32,244
81,82,82,Stuart Appleby,88,13.03,37,284
82,T83,T83,Adam Scott,61,13.01,19,146
83,T83,T83,Tiger Woods,61,13.01,19,146
84,85,85,Ryan Moore,72,12.95,25,193
85,86,86,Brian Harman,89,12.94,33,255
86,87,87,Lee Westwood,70,12.88,21,163
87,88,88,"Ted Potter, Jr.",65,12.86,27,210
88,89,89,Scott Brown,65,12.78,23,180
89,90,90,Stephen Ames,49,12.74,20,157
90,91,91,Brendan Steele,86,12.64,34,269
91,92,92,Brad Fritsch,81,12.61,29,230
92,93,93,Daniel Summerhays,83,12.59,35,278
93,T94,T94,Steven Bowditch,67,12.57,23,183
94,T94,T94,Luke List,65,12.57,21,167
95,96,96,David Lynn,70,12.56,25,199
96,T97,T97,Jerry Kelly,75,12.55,30,239
97,T97,T97,D.A. Points,87,12.55,31,247
98,T99,T99,Justin Hicks,79,12.5,28,224
99,T99,T99,Sean O'Hair,56,12.5,22,176
100,101,101,David Mathis,71,12.39,29,234
101,102,102,Casey Wittenberg,72,12.33,27,219
102,103,103,Peter Hanson,45,12.28,14,114
103,104,104,Stewart Cink,71,12.26,26,212
104,105,105,John Senden,79,12.16,27,222
105,T106,T106,Robert Allenby,58,12.12,24,198
106,T106,T106,Brian Stuard,78,12.12,28,231
107,108,108,Erik Compton,74,12.07,28,232
108,109,109,Aaron Baddeley,68,12.02,25,208
109,110,110,Ángel Cabrera,73,12.0,21,175
110,111,111,Kevin Stadler,83,11.98,26,217
111,112,112,Hunter Mahan,91,11.96,25,209
112,T113,T113,Ricky Barnes,74,11.89,29,244
113,T113,T113,Roberto Castro,97,11.89,34,286
114,115,115,Marc Leishman,77,11.84,27,228
115,116,116,Bud Cauley,67,11.82,24,203
116,117,117,Nick Watney,88,11.74,27,230
117,118,118,Patrick Reed,83,11.65,29,249
118,119,119,Matt Jones,83,11.56,26,225
119,120,120,Tommy Gainey,84,11.5,26,226
120,121,121,George McNeill,68,11.49,27,235
121,122,122,Brandt Jobe,62,11.46,22,192
122,123,123,Brian Gay,79,11.43,28,245
123,124,124,Fabián Gómez,65,11.35,21,185
124,125,125,Ben Curtis,59,11.24,20,178
125,126,126,Tom Gillis,69,11.21,26,232
126,127,127,J.J. Henry,83,11.2,29,259
127,T128,T128,Justin Leonard,86,11.11,31,279
128,T128,T128,Y.E. Yang,56,11.11,17,153
129,130,130,K.J. Choi,85,11.06,24,217
