,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Bo Van Pelt,72,"34' 7""",71,2457.833,-1.00
1,2,2,Padraig Harrington,52,"35' 0""",57,1992.6670000000001,+1.00
2,3,3,Jin Park,52,"36' 4""",73,2653.417,+3.00
3,4,4,Nick Watney,88,"36' 9""",108,3970.583,+15.00
4,5,5,D.A. Points,87,"37' 2""",120,4457.167,+12.00
5,6,6,Ricky Barnes,74,"37' 3""",113,4210.333,+8.00
6,7,7,Ian Poulter,59,"37' 6""",56,2099.417,+2.00
7,T8,T8,Vijay Singh,61,"37' 10""",85,3214.083,+13.00
8,T8,T8,Camilo Villegas,79,"37' 10""",120,4539.417,+31.00
9,10,10,Chris Kirk,89,"37' 11""",120,4547.0,-1.00
10,11,11,Roberto Castro,97,"38' 4""",115,4410.0,+14.00
11,12,12,Scott Piercy,78,"38' 5""",90,3455.333,+8.00
12,13,13,Sergio Garcia,65,"38' 7""",98,3781.25,-8.00
13,T14,T14,Stewart Cink,71,"38' 8""",96,3715.833,+8.00
14,T14,T14,Charley Hoffman,84,"38' 8""",118,4559.25,+5.00
15,T16,T16,Brian Harman,89,"38' 9""",151,5855.0830000000005,+32.00
16,T16,T16,Henrik Stenson,65,"38' 9""",66,2556.917,+5.00
17,T16,T16,Tiger Woods,61,"38' 9""",47,1822.9170000000001,+1.00
18,T19,T19,Rory McIlroy,56,"38' 10""",71,2757.583,-14.00
19,T19,T19,Kevin Stadler,83,"38' 10""",134,5205.0,-2.00
20,T21,T21,Martin Flores,83,"38' 11""",179,6960.0830000000005,+16.00
21,T21,T21,Webb Simpson,92,"38' 11""",116,4515.75,+14.00
22,23,23,Rickie Fowler,75,"39' 0""",112,4365.417,+16.00
