,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Jim Furyk,80,"31' 3""",35953.333,1150,14
1,2,2,Justin Rose,62,"32' 2""",26497.583,823,9
2,3,3,Jeff Maggert,63,"32' 3""",32858.667,1020,47
3,4,4,Camilo Villegas,79,"32' 8""",37338.917,1144,40
4,5,5,Chez Reavie,72,"32' 9""",39213.167,1198,40
5,6,6,Chris Kirk,89,"32' 11""",47732.417,1451,69
6,T7,T7,Rory Sabbatini,86,"33' 0""",42458.833,1288,23
7,T7,T7,Jordan Spieth,82,"33' 0""",39397.833,1194,37
8,T9,T9,Ken Duke,87,"33' 1""",44379.167,1343,141
9,T9,T9,Vijay Singh,61,"33' 1""",28449.75,861,7
10,T9,T9,David Toms,49,"33' 1""",18902.333,572,130
11,T12,T12,K.J. Choi,85,"33' 2""",37490.417,1130,71
12,T12,T12,Brandt Snedeker,79,"33' 2""",34182.917,1030,79
13,T12,T12,Kevin Stadler,83,"33' 2""",40776.917,1231,8
14,15,15,Darron Stiles,51,"33' 3""",25026.583,753,153
15,T16,T16,Graham DeLaet,94,"33' 4""",48457.75,1455,3
16,T16,T16,Kevin Streelman,86,"33' 4""",40676.25,1220,54
17,T18,T18,Brad Fritsch,81,"33' 6""",40763.083,1216,46
18,T18,T18,Zach Johnson,84,"33' 6""",40141.667,1198,15
19,T18,T18,Nicholas Thompson,99,"33' 6""",51734.417,1543,20
20,T18,T18,Y.E. Yang,56,"33' 6""",24576.0,733,144
21,T22,T22,Ben Kohles,75,"33' 7""",37286.083,1109,90
22,T22,T22,Graeme McDowell,53,"33' 7""",22177.083,661,144
23,T22,T22,Brian Stuard,78,"33' 7""",37986.0,1132,75
24,T22,T22,Bo Van Pelt,72,"33' 7""",32440.583,966,81
25,T26,T26,Brian Davis,91,"33' 8""",50189.083,1489,157
26,T26,T26,Justin Hicks,79,"33' 8""",39860.417,1183,12
27,T26,T26,David Lingmerth,68,"33' 8""",34295.75,1019,138
28,T26,T26,Ryan Palmer,79,"33' 8""",41702.667,1240,56
29,30,30,Brendon de Jonge,110,"33' 9""",58731.333,1739,10
30,T31,T31,Tim Clark,64,"33' 10""",26083.333,771,159
31,T31,T31,Bob Estes,66,"33' 10""",37612.0,1113,97
32,T31,T31,George McNeill,68,"33' 10""",38872.333,1148,89
33,T31,T31,Steve Stricker,51,"33' 10""",21180.083,626,2
34,T31,T31,Nick Watney,88,"33' 10""",44302.667,1308,13
35,T36,T36,Roberto Castro,97,"33' 11""",50986.083,1504,33
36,T36,T36,Scott Langley,79,"33' 11""",38950.167,1147,120
37,T36,T36,Tiger Woods,61,"33' 11""",26169.167,771,24
38,T39,T39,Jason Bohn,70,"34' 0""",40121.583,1181,109
39,T39,T39,Bud Cauley,67,"34' 0""",34009.667,1001,126
40,T39,T39,Kevin Chappell,80,"34' 0""",40764.417,1199,60
41,T39,T39,Stewart Cink,71,"34' 0""",34198.75,1006,22
42,T39,T39,Matt Kuchar,93,"34' 0""",42074.667,1238,73
43,T44,T44,Chad Campbell,78,"34' 1""",44036.417,1292,34
44,T44,T44,Matt Every,89,"34' 1""",48590.333,1426,83
45,T44,T44,James Hahn,78,"34' 1""",40725.167,1196,101
46,T44,T44,Webb Simpson,92,"34' 1""",42598.333,1251,43
47,T44,T44,Boo Weekley,100,"34' 1""",50604.333,1483,6
48,T49,T49,Ricky Barnes,74,"34' 2""",39771.917,1165,4
49,T49,T49,Luke Donald,60,"34' 2""",28245.5,827,156
50,T49,T49,Jerry Kelly,75,"34' 2""",39163.083,1146,87
51,T49,T49,Bryce Molder,82,"34' 2""",43442.083,1271,128
52,T49,T49,Charl Schwartzel,69,"34' 2""",33093.833,969,72
53,T49,T49,Adam Scott,61,"34' 2""",26990.083,790,11
54,T55,T55,Robert Allenby,58,"34' 3""",31887.917,932,148
55,T55,T55,Nicolas Colsaerts,50,"34' 3""",22109.0,646,38
56,T55,T55,Jason Dufner,78,"34' 3""",37455.083,1094,26
57,T55,T55,Brian Gay,79,"34' 3""",43547.833,1272,180
58,T55,T55,Dustin Johnson,71,"34' 3""",31143.333,910,39
59,T55,T55,Steve LeBrun,66,"34' 3""",32513.75,949,28
60,T55,T55,John Merrick,79,"34' 3""",41772.583,1219,50
61,T55,T55,Lee Westwood,70,"34' 3""",31164.917,910,91
62,T55,T55,Mark Wilson,56,"34' 3""",30737.083,898,56
63,T64,T64,Brandt Jobe,62,"34' 4""",32522.0,948,64
64,T64,T64,Ian Poulter,59,"34' 4""",23957.417,698,136
65,T66,T66,Ernie Els,63,"34' 5""",29652.917,861,163
66,T66,T66,Vaughn Taylor,50,"34' 5""",24610.25,715,135
67,T68,T68,Fabián Gómez,65,"34' 6""",34602.5,1002,118
68,T68,T68,David Hearn,88,"34' 6""",45200.583,1309,101
69,T68,T68,D.J. Trahan,48,"34' 6""",23410.333,679,18
70,T71,T71,Russell Henley,80,"34' 7""",40794.083,1180,116
71,T71,T71,Charley Hoffman,84,"34' 7""",45198.917,1307,85
72,T71,T71,Freddie Jacobson,63,"34' 7""",28513.083,825,165
73,T71,T71,Greg Owen,73,"34' 7""",40951.833,1185,77
74,T71,T71,Pat Perez,69,"34' 7""",39640.083,1146,18
75,T71,T71,Daniel Summerhays,83,"34' 7""",48290.667,1398,108
76,T77,T77,Stuart Appleby,88,"34' 8""",48986.583,1414,92
77,T77,T77,Carl Pettersson,82,"34' 8""",39597.25,1141,154
78,T77,T77,Gary Woodland,94,"34' 8""",51558.833,1487,36
79,T80,T80,Rickie Fowler,75,"34' 9""",36520.917,1052,134
80,T80,T80,Luke Guthrie,82,"34' 9""",40527.0,1165,132
81,T80,T80,"Ted Potter, Jr.",65,"34' 9""",34238.583,986,107
82,T83,T83,Morgan Hoffmann,64,"34' 10""",33068.333,949,103
83,T83,T83,Richard Lee,81,"34' 10""",44953.5,1289,52
84,T83,T83,John Rollins,77,"34' 10""",42212.25,1213,30
85,T86,T86,Michael Bradley,56,"34' 11""",26947.917,772,59
86,T86,T86,Robert Karlsson,56,"34' 11""",23039.417,660,139
87,T86,T86,Dicky Pride,71,"34' 11""",36900.167,1058,110
88,T89,T89,Robert Garrigus,69,"35' 0""",30595.75,875,58
89,T89,T89,Lucas Glover,65,"35' 0""",32655.167,932,54
90,T89,T89,David Mathis,71,"35' 0""",38858.25,1110,133
91,T89,T89,Ryan Moore,72,"35' 0""",35768.083,1023,114
92,T89,T89,Lee Williams,62,"35' 0""",32035.833,916,165
93,T94,T94,Ryo Ishikawa,72,"35' 1""",34552.083,985,62
94,T94,T94,Jason Kokrak,78,"35' 1""",45250.917,1290,80
95,T96,T96,Colt Knost,69,"35' 2""",36387.167,1035,164
96,T96,T96,Phil Mickelson,78,"35' 2""",35981.833,1023,43
97,T96,T96,Kyle Stanley,71,"35' 2""",37782.917,1074,32
98,T96,T96,Chris Stroud,88,"35' 2""",49237.0,1399,113
99,T96,T96,Josh Teater,86,"35' 2""",38525.333,1095,50
100,T101,T101,Sangmoon Bae,83,"35' 3""",45354.5,1286,127
101,T101,T101,Billy Horschel,96,"35' 3""",52448.0,1488,27
102,T101,T101,Bubba Watson,76,"35' 3""",37273.75,1058,5
103,T104,T104,Keegan Bradley,88,"35' 4""",45643.583,1292,49
104,T104,T104,Martin Flores,83,"35' 4""",47996.833,1358,84
105,T106,T106,Bill Haas,85,"35' 5""",43765.25,1235,21
106,T106,T106,Jim Herman,59,"35' 5""",27896.75,788,16
107,T106,T106,John Huh,88,"35' 5""",47555.833,1343,45
108,T106,T106,Martin Kaymer,61,"35' 5""",26605.417,751,99
109,T106,T106,David Lynn,70,"35' 5""",35662.417,1006,147
110,T106,T106,D.A. Points,87,"35' 5""",43108.833,1216,143
111,T106,T106,Tag Ridings,69,"35' 5""",36780.0,1038,74
112,T106,T106,Brendan Steele,86,"35' 5""",48823.333,1378,66
113,T114,T114,Peter Hanson,45,"35' 6""",20939.75,590,169
114,T114,T114,Scott Stallings,79,"35' 6""",41754.75,1176,104
115,T114,T114,Jimmy Walker,84,"35' 6""",47684.167,1343,61
116,T117,T117,Will Claxton,67,"35' 7""",35733.917,1005,78
117,T117,T117,Matt Jones,83,"35' 7""",44642.75,1255,64
118,T117,T117,D.H. Lee,65,"35' 7""",36947.917,1038,67
