,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
137,T136,T136,Webb Simpson,92,164.2,4715912.0,798
138,T139,T139,Erik Compton,74,164.3,4525243.0,765
139,T139,T139,Bo Van Pelt,72,164.3,3637297.0,615
140,T141,T141,Martin Laird,68,164.4,3520994.0,595
141,T141,T141,John Senden,79,164.4,4202632.0,710
142,T141,T141,Gary Woodland,94,164.4,5414847.0,915
143,T144,T144,Bill Haas,85,164.6,4943182.0,834
144,T144,T144,Jason Kokrak,78,164.6,4739210.0,800
145,T144,T144,Kevin Streelman,86,164.6,4746583.0,801
146,T147,T147,Hunter Mahan,91,164.7,4661079.0,786
147,T147,T147,Pat Perez,69,164.7,4281367.0,722
148,T149,T149,Chad Campbell,78,164.8,4972925.0,838
149,T149,T149,Graham DeLaet,94,164.8,5551632.0,936
150,T151,T151,Bryce Molder,82,164.9,4803838.0,809
151,T151,T151,Jordan Spieth,82,164.9,4421733.0,745
152,153,153,Keegan Bradley,88,165.0,4899487.0,825
153,T154,T154,Greg Chalmers,77,165.2,4699285.0,790
154,T154,T154,Stewart Cink,71,165.2,3771623.0,634
155,T154,T154,Brandt Jobe,62,165.2,3616317.0,608
156,T157,T157,Rory McIlroy,56,165.3,2588172.0,435
157,T157,T157,Mike Weir,60,165.3,3136382.0,527
158,159,159,Y.E. Yang,56,165.4,2751297.0,462
159,T160,T160,Matt Every,89,165.5,5188544.0,871
160,T160,T160,Matt Jones,83,165.5,4824608.0,810
161,T160,T160,Johnson Wagner,64,165.5,3646554.0,612
162,163,163,Ángel Cabrera,73,165.6,3767568.0,632
163,T164,T164,Justin Rose,62,165.7,3124889.0,524
164,T164,T164,Lee Westwood,70,165.7,3508098.0,588
165,166,166,Lucas Glover,65,165.8,3479781.0,583
166,T167,T167,Luke Donald,60,166.0,3119398.0,522
167,T167,T167,Chris Stroud,88,166.0,5443968.0,911
168,T169,T169,John Huh,88,166.1,5172684.0,865
169,T169,T169,Phil Mickelson,78,166.1,3665277.0,613
170,171,171,D.A. Points,87,166.2,4510409.0,754
171,172,172,Michael Thompson,66,166.3,3705714.0,619
172,173,173,Marc Leishman,77,167.1,4420333.0,735
173,174,174,Charl Schwartzel,69,167.2,3545712.0,589
174,175,175,Dicky Pride,71,167.3,4137956.0,687
175,176,176,Sergio Garcia,65,167.4,3272521.0,543
176,177,177,Adam Scott,61,167.7,3030667.0,502
177,178,178,Robert Garrigus,69,168.0,3241981.0,536
178,179,179,Henrik Stenson,65,169.3,3102726.0,509
179,180,180,Tiger Woods,61,172.1,2911177.0,470
