,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Dicky Pride,71,151.2,1022992.0,188
1,2,2,Aaron Watkins,46,152.7,665289.0,121
2,3,3,David Toms,49,153.9,559664.0,101
3,4,4,Lee Williams,62,156.8,835566.0,148
4,5,5,Brian Gay,79,158.1,1349282.0,237
5,6,6,Ben Curtis,59,158.4,809833.0,142
6,7,7,Ben Crane,62,158.5,1009696.0,177
7,T8,T8,Justin Bolli,59,158.6,759215.0,133
8,T8,T8,Darron Stiles,51,158.6,719340.0,126
9,T10,T10,Michael Bradley,56,158.7,691362.0,121
10,T10,T10,Brian Davis,91,158.7,1845325.0,323
11,12,12,Jason Bohn,70,158.9,1412889.0,247
12,13,13,Bryce Molder,82,159.3,1490738.0,260
13,14,14,Justin Leonard,86,159.4,1497989.0,261
14,15,15,Ken Duke,87,159.9,1456643.0,253
15,16,16,David Hearn,88,160.1,1607571.0,279
16,17,17,Mike Weir,60,160.5,884085.0,153
17,T18,T18,Tim Herron,45,161.3,824503.0,142
18,T18,T18,"Ted Potter, Jr.",65,161.3,1138211.0,196
19,20,20,K.J. Choi,85,161.5,1273411.0,219
20,21,21,Stuart Appleby,88,162.1,1534610.0,263
21,22,22,Justin Hicks,79,162.2,1349030.0,231
22,23,23,Scott Langley,79,162.3,1174654.0,201
23,24,24,Morgan Hoffmann,64,163.2,1245725.0,212
24,T25,T25,Jason Dufner,78,163.4,1306247.0,222
25,T25,T25,Freddie Jacobson,63,163.4,982243.0,167
26,27,27,David Mathis,71,163.6,1166468.0,198
27,28,28,Erik Compton,74,164.0,1227795.0,208
28,T29,T29,Jeff Maggert,63,164.2,1128900.0,191
29,T29,T29,Mark Wilson,56,164.2,881026.0,149
30,31,31,Chez Reavie,72,164.3,1360201.0,230
31,T32,T32,Bobby Gates,49,164.6,604495.0,102
32,T32,T32,Luke Guthrie,82,164.6,1356799.0,229
33,34,34,Chris Kirk,89,164.7,1962530.0,331
34,T35,T35,David Lynn,70,165.3,1101008.0,185
35,T35,T35,Camilo Villegas,79,165.3,1416356.0,238
36,37,37,John Merrick,79,165.7,1437358.0,241
37,T38,T38,David Lingmerth,68,165.9,1290369.0,216
38,T38,T38,Casey Wittenberg,72,165.9,1039367.0,174
39,40,40,Colt Knost,69,166.0,1040075.0,174
40,41,41,Jim Furyk,80,166.2,1423950.0,238
41,T42,T42,Bob Estes,66,166.3,1245211.0,208
42,T42,T42,Doug LaBelle II,72,166.3,1197560.0,200
43,T44,T44,Robert Allenby,58,167.0,925738.0,154
44,T44,T44,Steve LeBrun,66,167.0,1087941.0,181
45,T44,T44,Vaughn Taylor,50,167.0,877707.0,146
46,47,47,Charlie Wi,75,167.1,1443980.0,240
47,T48,T48,James Driscoll,76,167.4,1416391.0,235
48,T48,T48,Ian Poulter,59,167.4,813663.0,135
49,50,50,Tim Clark,64,167.5,892284.0,148
50,T51,T51,Sangmoon Bae,83,167.8,1715700.0,284
51,T51,T51,Zach Johnson,84,167.8,1540405.0,255
52,53,53,Brandt Snedeker,79,167.9,1474514.0,244
53,54,54,Alistair Presnell,59,168.2,878181.0,145
54,T55,T55,Ben Kohles,75,168.5,1164745.0,192
55,T55,T55,Justin Rose,62,168.5,1164828.0,192
56,T55,T55,Cameron Tringale,80,168.5,1558705.0,257
57,T58,T58,Tommy Gainey,84,168.8,1598417.0,263
58,T58,T58,Trevor Immelman,73,168.8,1033063.0,170
59,60,60,Jerry Kelly,75,168.9,1325223.0,218
60,61,61,Ricky Barnes,74,169.2,1254585.0,206
61,62,62,Richard Lee,81,169.5,1445858.0,237
62,63,63,Tom Gillis,69,169.6,1098972.0,180
63,64,64,Bud Cauley,67,169.8,1198255.0,196
64,65,65,Nicholas Thompson,99,169.9,1926797.0,315
65,66,66,Bill Haas,85,170.0,1524201.0,249
66,T67,T67,Will Claxton,67,170.2,986711.0,161
67,T67,T67,Ryo Ishikawa,72,170.2,1066162.0,174
68,T67,T67,Matt Kuchar,93,170.2,1666799.0,272
69,T67,T67,Patrick Reed,83,170.2,1629809.0,266
70,T71,T71,Greg Chalmers,77,170.3,1538396.0,251
71,T71,T71,Robert Karlsson,56,170.3,717340.0,117
72,T71,T71,Steve Stricker,51,170.3,999407.0,163
73,74,74,Jin Park,52,170.5,798146.0,130
74,75,75,Y.E. Yang,56,170.7,860159.0,140
75,76,76,Jordan Spieth,82,170.9,1729132.0,281
76,77,77,Stephen Ames,49,171.0,898695.0,146
77,78,78,Scott Gardiner,61,171.3,1041989.0,169
78,79,79,Brad Fritsch,81,171.6,1507369.0,244
79,80,80,Matt Every,89,171.7,1959295.0,317
80,81,81,Billy Horschel,96,171.8,2102222.0,340
81,82,82,Rory Sabbatini,86,172.0,1869872.0,302
82,T83,T83,Roberto Castro,97,172.2,1866129.0,301
83,T83,T83,Brandt Jobe,62,172.2,1121937.0,181
84,T83,T83,Robert Streb,75,172.2,1258148.0,203
85,T83,T83,Chris Stroud,88,172.2,1729913.0,279
86,T87,T87,Brian Stuard,78,172.3,1203271.0,194
87,T87,T87,Bo Van Pelt,72,172.3,1159765.0,187
88,89,89,Fabián Gómez,65,172.4,1191713.0,192
89,90,90,J.J. Henry,83,172.5,1422072.0,229
90,91,91,Luke Donald,60,172.6,1143414.0,184
91,92,92,Carl Pettersson,82,172.7,1429729.0,230
92,93,93,Russell Henley,80,173.0,1587801.0,255
93,94,94,Nicolas Colsaerts,50,173.1,710501.0,114
94,95,95,Ryan Palmer,79,173.2,1758134.0,282
95,96,96,Nick Watney,88,173.3,1703671.0,273
96,97,97,William McGirt,75,173.4,1554267.0,249
97,T98,T98,John Rollins,77,173.6,1506422.0,241
98,T98,T98,Webb Simpson,92,173.6,1724623.0,276
99,T100,T100,Kevin Chappell,80,173.7,1544125.0,247
100,T100,T100,Troy Matteson,68,173.7,1144152.0,183
101,T100,T100,D.J. Trahan,48,173.7,787961.0,126
102,103,103,Jeff Overton,78,173.8,1638953.0,262
103,T104,T104,Chad Campbell,78,174.0,1528783.0,244
104,T104,T104,Graham DeLaet,94,174.0,1960864.0,313
