,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Joel Edwards,60,98.48,792,780
1,2,2,Bob Estes,92,98.2,946,929
2,3,3,Ben Crane,94,98.11,952,934
3,4,4,Brent Geiberger,51,97.98,595,583
4,5,5,Steve Allan,53,97.95,635,622
5,6,6,Tiger Woods,74,97.93,677,663
6,7,7,Brenden Pappas,105,97.84,1160,1135
7,8,8,Dan Forsman,98,97.81,1097,1073
8,T9,T9,Jim Furyk,104,97.8,999,977
9,T9,T9,Len Mattiace,94,97.8,953,932
10,11,11,Glen Day,103,97.72,1228,1200
11,12,12,Kent Jones,74,97.69,821,802
12,13,13,Retief Goosen,69,97.66,599,585
13,14,14,Rod Pampling,87,97.64,891,870
14,15,15,Loren Roberts,87,97.62,840,820
15,16,16,Arron Oberholser,80,97.6,999,975
16,T17,T17,Stewart Cink,104,97.58,1118,1091
17,T17,T17,Dicky Pride,73,97.58,785,766
18,19,19,Luke Donald,88,97.53,1012,987
19,20,20,Marco Dawson,86,97.5,919,896
20,T21,T21,Skip Kendall,110,97.48,1232,1201
21,T21,T21,Nick Price,65,97.48,635,619
22,23,23,Brian Henninger,56,97.45,667,650
23,24,24,Brad Faxon,97,97.43,934,910
24,25,25,Vijay Singh,106,97.39,1036,1009
25,T26,T26,Matt Gogel,77,97.38,802,781
26,T26,T26,Jesper Parnevik,102,97.38,1067,1039
27,28,28,Paul Stankowski,67,97.37,723,704
28,T29,T29,Jay Haas,89,97.36,870,847
29,T29,T29,Justin Leonard,80,97.36,795,774
30,31,31,Bob Tway,89,97.35,1017,990
31,32,32,Tom Byrum,97,97.34,979,953
32,33,33,Mike Weir,80,97.31,706,687
33,34,34,Phil Mickelson,87,97.29,702,683
34,T35,T35,Cliff Kresge,102,97.28,1068,1039
35,T35,T35,Bernhard Langer,65,97.28,625,608
36,37,37,Chris Riley,96,97.27,915,890
37,38,38,Chad Campbell,105,97.26,1095,1065
38,T39,T39,Jason Gore,83,97.25,909,884
39,T39,T39,Paul Goydos,86,97.25,947,921
40,T39,T39,John Rollins,89,97.25,764,743
41,T42,T42,Jason Buha,61,97.21,682,663
42,T42,T42,Dean Wilson,82,97.21,931,905
43,44,44,Chris DiMarco,98,97.19,925,899
44,T45,T45,David Frost,80,97.17,953,926
45,T45,T45,J.P. Hayes,79,97.17,849,825
46,47,47,Tim Herron,102,97.16,1125,1093
47,T48,T48,Greg Chalmers,98,97.15,1123,1091
48,T48,T48,Scott Verplank,97,97.15,1051,1021
49,50,50,Kevin Sutherland,97,97.14,909,883
50,T51,T51,Brandt Jobe,77,97.13,871,846
51,T51,T51,Carl Pettersson,80,97.13,907,881
52,53,53,Robert Damron,96,97.12,1110,1078
53,54,54,"Dave Stockton, Jr.",79,97.1,862,837
54,55,55,Hal Sutton,81,97.09,894,868
55,56,56,Jeff Maggert,81,97.08,889,863
56,57,57,Hidemichi Tanaka,112,97.06,1327,1288
57,T58,T58,Hank Kuehne,73,97.05,847,822
58,T58,T58,Jeff Sluman,106,97.05,1086,1054
59,T60,T60,Alex Cejka,98,97.04,946,918
60,T60,T60,Glen Hnatiuk,92,97.04,1150,1116
61,62,62,David Peoples,96,97.01,1137,1103
62,63,63,Tom Pernice Jr.,105,96.98,1124,1090
63,64,64,Geoff Ogilvy,86,96.97,892,865
64,T65,T65,Bob Burns,88,96.96,920,892
65,T65,T65,Brad Elder,51,96.96,559,542
66,67,67,Olin Browne,113,96.94,1240,1202
67,68,68,Darren Clarke,61,96.93,488,473
68,69,69,Todd Fischer,97,96.91,1099,1065
69,T70,T70,Andy Miller,75,96.9,839,813
70,T70,T70,Darron Stiles,93,96.9,936,907
71,72,72,Andrew Magee,91,96.88,1056,1023
72,T73,T73,Stuart Appleby,90,96.87,863,836
73,T73,T73,Aaron Baddeley,71,96.87,735,712
74,T73,T73,Tim Petrovic,108,96.87,1151,1115
75,T76,T76,Stephen Ames,91,96.86,1052,1019
76,T76,T76,Tommy Armour III,66,96.86,765,741
77,78,78,K.J. Choi,112,96.84,1108,1073
78,T79,T79,Shigeki Maruyama,87,96.83,882,854
79,T79,T79,Ty Tryon,52,96.83,568,550
80,81,81,Donnie Hammond,92,96.82,1068,1034
81,82,82,Kaname Yokoo,56,96.81,627,607
82,83,83,Craig Barlow,95,96.8,1126,1090
83,T84,T84,Fred Couples,71,96.77,558,540
84,T84,T84,Charles Howell III,120,96.77,1176,1138
85,T84,T84,Richard Johnson,89,96.77,1021,988
86,87,87,Dudley Hart,66,96.76,709,686
87,88,88,Kirk Triplett,92,96.75,954,923
88,T89,T89,Mike Grob,83,96.73,979,947
89,T89,T89,J.J. Henry,100,96.73,1225,1185
90,T91,T91,Tim Clark,79,96.7,819,792
91,T91,T91,Jay Williamson,93,96.7,1122,1085
92,T93,T93,Fred Funk,112,96.67,1201,1161
93,T93,T93,Peter Lonard,96,96.67,962,930
94,T95,T95,Jerry Kelly,108,96.65,1104,1067
95,T95,T95,Joey Sindelar,93,96.65,1135,1097
96,T95,T95,Garrett Willis,97,96.65,1136,1098
97,98,98,Rocco Mediate,80,96.64,833,805
98,T99,T99,Billy Andrade,100,96.6,1118,1080
99,T99,T99,Ernie Els,65,96.6,559,540
100,101,101,Brett Quigley,92,96.54,1012,977
101,102,102,Carlos Franco,99,96.53,1212,1170
102,103,103,Corey Pavin,88,96.52,977,943
103,T104,T104,Briny Baird,113,96.51,1291,1246
104,T104,T104,Scott McCarron,86,96.51,746,720
105,T104,T104,Shaun Micheel,97,96.51,1147,1107
106,107,107,Chris Smith,92,96.5,1030,994
107,108,108,Steve Flesch,110,96.49,1252,1208
108,T109,T109,Pat Bates,111,96.47,1303,1257
109,T109,T109,Jason Caron,74,96.47,851,821
110,T109,T109,José Coceres,62,96.47,737,711
111,112,112,John Senden,111,96.46,1270,1225
112,113,113,Adam Scott,52,96.44,478,461
113,T114,T114,Davis Love III,85,96.43,785,757
114,T114,T114,Kenny Perry,98,96.43,953,919
115,T116,T116,Mark Brooks,90,96.42,1005,969
116,T116,T116,Tom Lehman,87,96.42,839,809
117,118,118,Frank Lickliter II,94,96.41,1031,994
118,T119,T119,Michael Clark II,54,96.38,690,665
119,T119,T119,Kenichi Kuboya,91,96.38,1049,1011
120,T121,T121,Rich Beem,80,96.37,771,743
121,T121,T121,Jim Carter,95,96.37,1129,1088
122,T121,T121,Heath Slocum,101,96.37,1240,1195
123,T124,T124,Paul Gow,62,96.36,742,715
124,T124,T124,Vance Veazey,66,96.36,770,742
125,126,126,Esteban Toledo,109,96.32,1277,1230
126,127,127,Scott Laycock,71,96.31,759,731
127,T128,T128,Neal Lancaster,110,96.29,1347,1297
128,T128,T128,Ian Leggatt,71,96.29,835,804
129,T128,T128,Cameron Yancey,58,96.29,647,623
130,131,131,Matt Kuchar,63,96.28,753,725
131,132,132,Peter Jacobsen,75,96.27,858,826
132,133,133,Per-Ulrik Johansson,96,96.23,1141,1098
133,T134,T134,Aaron Barber,94,96.21,1107,1065
134,T134,T134,Jonathan Kaye,91,96.21,951,915
135,T134,T134,Deane Pappas,75,96.21,871,838
136,137,137,Mark Calcavecchia,84,96.16,885,851
137,138,138,Thomas Levet,85,96.13,982,944
138,139,139,Ben Curtis,69,96.12,799,768
139,140,140,David Toms,90,96.1,820,788
140,141,141,Jeff Brehaut,110,96.07,1272,1222
141,142,142,Steven Alker,87,96.06,990,951
142,143,143,Paul Azinger,73,96.03,856,822
143,144,144,Carl Paulson,101,96.0,1274,1223
144,145,145,Mike Sposa,72,95.97,868,833
145,146,146,John Riegger,55,95.96,644,618
146,147,147,Brian Bateman,70,95.95,814,781
147,148,148,Jay Don Blake,77,95.93,811,778
148,149,149,Kenneth Staton,59,95.92,735,705
149,150,150,Robert Gamez,114,95.91,1296,1243
150,T151,T151,Chris Anderson,96,95.89,1045,1002
