,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Mark O'Meara,26.2,262,10
1,2,2,Steve Stricker,26.5,212,8
2,3,3,Chris Riley,27.0,459,17
3,4,4,Greg Chalmers,27.24,463,17
4,5,5,Garrett Willis,27.33,492,18
5,6,6,Mark Calcavecchia,27.39,493,18
6,7,7,Billy Andrade,27.5,550,20
7,8,8,Matt Gogel,27.55,303,11
8,9,9,Brian Gay,27.56,441,16
9,10,10,Tim Petrovic,27.58,524,19
10,11,11,Tommy Armour III,27.64,304,11
11,T12,T12,Steve Flesch,27.71,582,21
12,T12,T12,Paul Goydos,27.71,471,17
13,14,14,Todd Fischer,27.75,444,16
14,15,15,Deane Pappas,27.79,389,14
15,16,16,Brent Geiberger,27.8,278,10
16,17,17,Robert Gamez,27.83,668,24
17,18,18,Ben Crane,27.84,529,19
18,T19,T19,Steven Alker,27.86,390,14
19,T19,T19,Stewart Cink,27.86,613,22
20,21,21,Corey Pavin,27.89,502,18
21,22,22,Aaron Baddeley,27.93,419,15
22,23,23,Justin Leonard,27.94,447,16
23,T24,T24,Brad Elder,28.0,168,6
24,T24,T24,Hal Sutton,28.0,420,15
25,26,26,Skip Kendall,28.04,645,23
26,27,27,Brad Faxon,28.05,561,20
27,28,28,Scott Laycock,28.09,309,11
28,29,29,Tim Herron,28.1,562,20
29,30,30,Len Mattiace,28.15,563,20
30,T31,T31,David Frost,28.2,423,15
31,T31,T31,Cameron Yancey,28.2,141,5
32,T33,T33,Stephen Ames,28.21,536,19
33,T33,T33,Jason Gore,28.21,395,14
34,35,35,Scott Verplank,28.23,621,22
35,T36,T36,Chris DiMarco,28.29,594,21
36,T36,T36,John Maginnes,28.29,396,14
37,T38,T38,J.P. Hayes,28.33,425,15
38,T38,T38,Scott McCarron,28.33,425,15
39,T38,T38,Nick Price,28.33,425,15
40,T41,T41,Stuart Appleby,28.35,482,17
41,T41,T41,Lee Janzen,28.35,482,17
42,T41,T41,Patrick Sheehan,28.35,482,17
43,44,44,Shigeki Maruyama,28.38,454,16
