,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
0,1,1,Joel Edwards,60,95.38,195,186
1,2,2,Ben Crane,94,94.81,289,274
2,3,3,Tiger Woods,74,93.63,204,191
3,4,4,Brenden Pappas,105,93.35,331,309
4,5,5,Len Mattiace,94,93.31,254,237
5,6,6,Dan Forsman,98,93.2,309,288
6,7,7,Steve Allan,53,92.94,170,158
7,8,8,Brent Geiberger,51,92.91,141,131
8,9,9,Cliff Kresge,102,92.88,295,274
9,10,10,Arron Oberholser,80,92.83,265,246
10,11,11,Jesper Parnevik,102,92.76,304,282
11,12,12,Dicky Pride,73,92.54,228,211
12,13,13,Mike Weir,80,92.45,212,196
13,14,14,Jason Gore,83,92.4,263,243
14,T15,T15,Bob Estes,92,92.38,223,206
15,T15,T15,Kent Jones,74,92.38,210,194
16,17,17,Jeff Maggert,81,92.13,267,246
17,18,18,Geoff Ogilvy,86,92.11,266,245
18,19,19,Brian Henninger,56,92.09,177,163
19,20,20,Nick Price,65,92.07,164,151
20,T21,T21,Andy Miller,75,92.05,264,243
21,T21,T21,Rod Pampling,87,92.05,239,220
22,23,23,Paul Goydos,86,91.97,274,252
23,24,24,Matt Gogel,77,91.89,222,204
24,T25,T25,Luke Donald,88,91.85,270,248
25,T25,T25,J.P. Hayes,79,91.85,233,214
26,27,27,John Rollins,89,91.82,220,202
27,28,28,Glen Day,103,91.67,300,275
28,29,29,Dean Wilson,82,91.63,263,241
29,T30,T30,Paul Stankowski,67,91.58,190,174
30,T30,T30,Cameron Yancey,58,91.58,202,185
31,32,32,Tom Byrum,97,91.57,261,239
32,33,33,Andrew Magee,91,91.5,294,269
33,34,34,Stephen Ames,91,91.45,304,278
34,35,35,Jim Furyk,104,91.36,220,201
35,36,36,Skip Kendall,110,91.35,312,285
36,T37,T37,Hank Kuehne,73,91.34,254,232
37,T37,T37,"Dave Stockton, Jr.",79,91.34,254,232
38,39,39,Darron Stiles,93,91.29,264,241
39,40,40,Stewart Cink,104,91.27,275,251
40,T41,T41,Steve Flesch,110,91.07,392,357
41,T41,T41,Jay Williamson,93,91.07,291,265
42,43,43,Marco Dawson,86,90.99,222,202
43,44,44,Aaron Baddeley,71,90.95,199,181
44,45,45,Bob Burns,88,90.94,254,231
45,T46,T46,Carl Pettersson,80,90.91,242,220
46,T46,T46,Vijay Singh,106,90.91,286,260
47,48,48,Phil Mickelson,87,90.86,175,159
48,49,49,Justin Leonard,80,90.81,185,168
49,50,50,Brad Faxon,97,90.8,261,237
50,51,51,Ty Tryon,52,90.79,152,138
51,52,52,Bob Tway,89,90.76,238,216
52,T53,T53,Mark Calcavecchia,84,90.73,248,225
53,T53,T53,Kevin Sutherland,97,90.73,259,235
54,55,55,Retief Goosen,69,90.65,139,126
55,56,56,Peter Jacobsen,75,90.56,233,211
56,57,57,Greg Chalmers,98,90.55,307,278
57,58,58,Garrett Willis,97,90.54,349,316
58,59,59,Chris Riley,96,90.53,243,220
59,60,60,Jay Haas,89,90.5,221,200
60,61,61,Tommy Armour III,66,90.48,210,190
61,62,62,Loren Roberts,87,90.45,199,180
62,T63,T63,Todd Fischer,97,90.4,302,273
63,T63,T63,Tim Herron,102,90.4,323,292
64,65,65,Stuart Appleby,90,90.38,239,216
65,66,66,Brett Quigley,92,90.37,270,244
66,67,67,Darren Clarke,61,90.34,145,131
67,68,68,Bernhard Langer,65,90.32,155,140
68,69,69,Chris DiMarco,98,90.31,227,205
69,70,70,Chad Campbell,105,90.28,288,260
70,71,71,Alex Cejka,98,90.23,256,231
71,72,72,Shigeki Maruyama,87,90.21,235,212
72,73,73,Tom Pernice Jr.,105,90.14,294,265
73,74,74,Craig Barlow,95,90.13,304,274
74,75,75,Kaname Yokoo,56,90.12,172,155
75,76,76,Hal Sutton,81,90.09,232,209
76,77,77,Donnie Hammond,92,90.04,281,253
77,78,78,Richard Johnson,89,89.97,299,269
78,79,79,David Frost,80,89.91,218,196
79,80,80,Robert Damron,96,89.9,287,258
80,81,81,Hidemichi Tanaka,112,89.86,355,319
81,T82,T82,Jim Carter,95,89.84,315,283
82,T82,T82,Mike Grob,83,89.84,256,230
83,84,84,Jason Buha,61,89.83,177,159
84,85,85,Tim Petrovic,108,89.79,284,255
85,86,86,Adam Scott,52,89.78,137,123
86,87,87,Frank Lickliter II,94,89.77,303,272
87,88,88,Peter Lonard,96,89.75,283,254
88,89,89,Tim Clark,79,89.73,263,236
89,90,90,Glen Hnatiuk,92,89.72,282,253
90,91,91,Jeff Sluman,106,89.71,272,244
91,92,92,Brandt Jobe,77,89.69,223,200
92,93,93,Rich Beem,80,89.66,203,182
93,94,94,Neal Lancaster,110,89.64,357,320
94,T95,T95,Kirk Triplett,92,89.63,270,242
95,T95,T95,Scott Verplank,97,89.63,270,242
96,97,97,Charles Howell III,120,89.61,308,276
97,T98,T98,Fred Funk,112,89.47,342,306
98,T98,T98,David Peoples,96,89.47,285,255
99,100,100,Dudley Hart,66,89.44,180,161
100,101,101,Akio Sadakata,83,89.38,292,261
101,102,102,Olin Browne,113,89.33,328,293
102,103,103,Matt Kuchar,63,89.3,215,192
103,104,104,Mike Sposa,72,89.24,251,224
104,105,105,Heath Slocum,101,89.14,350,312
105,106,106,Brad Elder,51,89.05,137,122
106,107,107,Scott McCarron,86,88.94,208,185
107,T108,T108,Pat Bates,111,88.89,333,296
108,T108,T108,Rory Sabbatini,95,88.89,333,296
109,T108,T108,Vance Veazey,66,88.89,189,168
110,111,111,K.J. Choi,112,88.73,284,252
111,112,112,J.L. Lewis,99,88.71,310,275
112,113,113,Shaun Micheel,97,88.67,300,266
113,114,114,Jason Caron,74,88.65,229,203
114,115,115,Michael Clark II,54,88.59,184,163
115,T116,T116,Jonathan Kaye,91,88.52,244,216
116,T116,T116,Rocco Mediate,80,88.52,209,185
117,118,118,Esteban Toledo,109,88.46,364,322
118,119,119,Fred Couples,71,88.44,147,130
119,120,120,Kenneth Staton,59,88.37,215,190
120,121,121,Deane Pappas,75,88.35,249,220
121,122,122,Jerry Kelly,108,88.27,307,271
122,123,123,Aaron Barber,94,88.24,289,255
123,124,124,Steven Alker,87,88.1,252,222
124,125,125,Briny Baird,113,88.08,344,303
125,126,126,Scott Laycock,71,88.06,201,177
126,127,127,David Toms,90,88.05,226,199
127,128,128,Mark Brooks,90,88.01,267,235
128,129,129,John Senden,111,88.0,350,308
129,130,130,Kenny Perry,98,87.98,258,227
130,131,131,Kenichi Kuboya,91,87.89,289,254
131,132,132,Brian Gay,100,87.85,288,253
132,133,133,Thomas Levet,85,87.81,279,245
133,134,134,Chris Anderson,96,87.74,310,272
134,135,135,Jeff Brehaut,110,87.69,325,285
135,136,136,John Riegger,55,87.65,170,149
136,137,137,Carl Paulson,101,87.61,347,304
137,138,138,Carlos Franco,99,87.59,282,247
138,139,139,Paul Gow,62,87.56,193,169
