,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Aaron Baddeley,71,8.0,536,67
1,2,2,Steve Stricker,59,7.86,440,56
2,3,3,Chris Riley,96,7.83,705,90
3,4,4,Stewart Cink,104,7.69,769,100
4,T5,T5,Greg Chalmers,98,7.67,729,95
5,T5,T5,Justin Leonard,80,7.67,575,75
6,7,7,Paul Goydos,86,7.66,636,83
7,T8,T8,Scott McCarron,86,7.63,618,81
8,T8,T8,Deane Pappas,75,7.63,557,73
9,10,10,David Frost,80,7.61,609,80
10,11,11,Geoff Ogilvy,86,7.6,623,82
11,12,12,Brian Gay,100,7.57,734,97
12,13,13,Stuart Appleby,90,7.54,641,85
13,14,14,Garrett Willis,97,7.52,722,96
14,15,15,Billy Andrade,100,7.48,748,100
15,16,16,Rod Pampling,87,7.47,620,83
16,17,17,Mike Weir,80,7.45,559,75
17,18,18,Matt Gogel,77,7.44,543,73
18,T19,T19,Jason Gore,83,7.43,617,83
19,T19,T19,Tom Pernice Jr.,105,7.43,758,102
20,21,21,Skip Kendall,110,7.42,816,110
21,T22,T22,Mark Calcavecchia,84,7.4,622,84
22,T22,T22,Tim Herron,102,7.4,740,100
23,24,24,Carl Pettersson,80,7.38,583,79
24,T25,T25,Todd Fischer,97,7.37,700,95
25,T25,T25,Vijay Singh,106,7.37,752,102
26,27,27,Brian Henninger,56,7.36,412,56
27,T28,T28,Brent Geiberger,51,7.35,375,51
28,T28,T28,Loren Roberts,87,7.35,632,86
29,30,30,Len Mattiace,94,7.33,682,93
30,T31,T31,Jonathan Byrd,101,7.32,739,101
31,T31,T31,Scott Laycock,71,7.32,505,69
32,33,33,Tiger Woods,74,7.31,497,68
33,T34,T34,Fred Couples,71,7.3,489,67
34,T34,T34,Jay Haas,89,7.3,606,83
35,36,36,Stephen Ames,91,7.29,649,89
36,T37,T37,Chris DiMarco,98,7.28,677,93
37,T37,T37,Brad Faxon,97,7.28,692,95
38,T39,T39,Scott Verplank,97,7.26,697,96
39,T39,T39,Dean Wilson,82,7.26,595,82
40,41,41,Pat Perez,95,7.25,674,93
41,42,42,Corey Pavin,88,7.24,623,86
42,T43,T43,Doug Barron,90,7.22,635,88
43,T43,T43,Anthony Painter,87,7.22,614,85
44,T45,T45,Phil Mickelson,87,7.21,577,80
