,Putting_from_4-8_RANK THIS WEEK,Putting_from_4-8_RANK LAST WEEK,Putting_from_4-8_PLAYER NAME,Putting_from_4-8_ROUNDS,Putting_from_4-8_% MADE,Putting_from_4-8_ATTEMPTS,Putting_from_4-8_PUTTS MADE
0,T1,T1,Aaron Baddeley,71,79.08,239,189
1,T1,T1,Ben Crane,94,79.08,349,276
2,3,3,Jay Haas,89,78.95,285,225
3,4,4,Kent Jones,74,77.94,272,212
4,5,5,Olin Browne,113,77.63,389,302
5,6,6,Hank Kuehne,73,77.19,285,220
6,7,7,Brian Henninger,56,76.84,190,146
7,8,8,Tim Herron,102,76.29,388,296
8,9,9,Brett Quigley,92,76.21,290,221
9,10,10,Andy Miller,75,76.05,309,235
10,11,11,Stuart Appleby,90,75.86,290,220
11,12,12,Deane Pappas,75,75.82,273,207
12,13,13,Chris Riley,96,75.42,301,227
13,14,14,Stephen Ames,91,75.36,345,260
14,15,15,Jason Buha,61,75.11,229,172
15,16,16,Chris DiMarco,98,75.08,321,241
16,17,17,Matt Gogel,77,75.0,256,192
17,18,18,Peter Lonard,96,74.93,339,254
18,19,19,Scott McCarron,86,74.9,259,194
19,20,20,Stewart Cink,104,74.62,327,244
20,21,21,David Peoples,96,74.59,307,229
21,22,22,Greg Chalmers,98,74.48,388,289
22,23,23,Geoff Ogilvy,86,74.47,282,210
23,24,24,Tom Pernice Jr.,105,74.46,368,274
24,25,25,Donnie Hammond,92,74.44,360,268
25,26,26,Paul Stankowski,67,74.42,258,192
26,27,27,Darren Clarke,61,74.39,164,122
27,28,28,Kirk Triplett,92,74.29,319,237
28,29,29,Tom Byrum,97,74.22,322,239
29,30,30,Dan Forsman,98,74.14,321,238
30,31,31,Rod Pampling,87,74.13,286,212
31,32,32,Hal Sutton,81,73.98,269,199
32,33,33,Arron Oberholser,80,73.93,326,241
33,34,34,Charles Howell III,120,73.91,345,255
34,35,35,Esteban Toledo,109,73.9,387,286
35,36,36,Loren Roberts,87,73.78,267,197
36,37,37,Matt Kuchar,63,73.71,232,171
37,38,38,David Toms,90,73.7,270,199
38,39,39,Len Mattiace,94,73.67,300,221
39,40,40,Dicky Pride,73,73.65,277,204
40,41,41,John Huston,76,73.61,269,198
41,42,42,Luke Donald,88,73.55,344,253
42,43,43,Jim Carter,95,73.45,388,285
43,44,44,Jason Gore,83,73.35,334,245
44,45,45,Robert Gamez,114,73.32,446,327
45,46,46,Brad Elder,51,73.3,176,129
46,47,47,David Frost,80,73.29,277,203
47,48,48,Nick Price,65,73.16,190,139
48,49,49,Richard Johnson,89,73.08,338,247
49,50,50,Tim Clark,79,73.0,337,246
50,51,51,Paul Goydos,86,72.89,343,250
51,52,52,Mark Brooks,90,72.76,323,235
52,53,53,Fred Funk,112,72.66,417,303
53,54,54,Brad Faxon,97,72.54,295,214
54,55,55,Cliff Kresge,102,72.49,389,282
55,56,56,Skip Kendall,110,72.46,403,292
56,57,57,Dean Wilson,82,72.45,294,213
57,T58,T58,Justin Leonard,80,72.37,257,186
58,T58,T58,Andrew Magee,91,72.37,304,220
59,60,60,Mike Heinen,89,72.35,340,246
60,T61,T61,Shigeki Maruyama,87,72.33,300,217
61,T61,T61,Jesper Parnevik,102,72.33,347,251
62,63,63,Marco Dawson,86,72.31,260,188
63,64,64,Billy Mayfair,105,72.3,361,261
64,65,65,Hidemichi Tanaka,112,72.2,428,309
65,T66,T66,Tommy Armour III,66,72.17,212,153
66,T66,T66,Harrison Frazar,88,72.17,327,236
67,T68,T68,Steven Alker,87,72.03,286,206
68,T68,T68,Kevin Sutherland,97,72.03,311,224
69,70,70,Thomas Levet,85,71.86,295,212
70,71,71,Jeff Maggert,81,71.82,330,237
71,72,72,Woody Austin,107,71.77,418,300
72,73,73,Kaname Yokoo,56,71.71,205,147
73,74,74,Brenden Pappas,105,71.57,401,287
74,75,75,Dudley Hart,66,71.49,249,178
75,76,76,Alex Cejka,98,71.47,312,223
76,77,77,Fred Couples,71,71.43,175,125
77,78,78,Darron Stiles,93,71.35,377,269
78,79,79,Todd Fischer,97,71.3,345,246
79,80,80,Neal Lancaster,110,71.28,383,273
80,81,81,John Senden,111,71.26,428,305
81,82,82,Phil Mickelson,87,71.25,240,171
82,83,83,Cameron Yancey,58,71.24,233,166
83,84,84,Jerry Kelly,108,71.23,351,250
84,85,85,Paul Azinger,73,71.22,271,193
85,86,86,J.P. Hayes,79,71.2,250,178
86,87,87,Michael Clark II,54,71.19,236,168
87,88,88,Garrett Willis,97,71.18,406,289
88,T89,T89,J.L. Lewis,99,71.17,385,274
89,T89,T89,Steve Stricker,59,71.17,222,158
