,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Vijay Singh,106,35.21,444,1261
1,2,2,Tiger Woods,74,35.05,293,836
2,3,3,Aaron Baddeley,71,34.8,253,727
3,4,4,Hank Kuehne,73,34.23,280,818
4,5,5,Phil Mickelson,87,34.2,314,918
5,6,6,John Huston,76,33.87,313,924
6,T7,T7,Geoff Ogilvy,86,33.79,323,956
7,T7,T7,Deane Pappas,75,33.79,273,808
8,T9,T9,Mark Calcavecchia,84,33.75,326,966
9,T9,T9,Chris DiMarco,98,33.75,378,1120
10,11,11,Robert Gamez,114,33.65,454,1349
11,12,12,Fred Couples,71,33.55,259,772
12,13,13,Scott McCarron,86,33.48,310,926
13,14,14,John Rollins,89,33.19,310,934
14,15,15,Justin Leonard,80,33.03,289,875
15,16,16,Stephen Ames,91,33.0,360,1091
16,17,17,Brenden Pappas,105,32.98,405,1228
17,18,18,Stewart Cink,104,32.96,386,1171
18,19,19,Darren Clarke,61,32.9,203,617
19,20,20,Retief Goosen,69,32.88,264,803
20,21,21,Rod Pampling,87,32.82,320,975
21,T22,T22,Greg Chalmers,98,32.79,344,1049
22,T22,T22,Tim Herron,102,32.79,384,1171
23,24,24,Jason Gore,83,32.74,295,901
24,25,25,Mike Weir,80,32.66,289,885
25,26,26,Davis Love III,85,32.64,313,959
26,27,27,Scott Verplank,97,32.62,379,1162
27,28,28,Craig Barlow,95,32.5,363,1117
28,29,29,Jonathan Byrd,101,32.44,375,1156
29,30,30,Stuart Appleby,90,32.43,324,999
30,31,31,Robert Allenby,87,32.23,321,996
31,32,32,Paul Goydos,86,32.22,309,959
32,33,33,Woody Austin,107,32.05,401,1251
33,34,34,Steve Flesch,110,32.04,405,1264
34,T35,T35,Carl Pettersson,80,32.01,291,909
35,T35,T35,Paul Stankowski,67,32.01,267,834
36,T37,T37,Ben Crane,94,31.86,338,1061
37,T37,T37,Chris Riley,96,31.86,317,995
38,39,39,Brent Geiberger,51,31.81,188,591
39,40,40,Billy Andrade,100,31.64,361,1141
40,41,41,Tom Pernice Jr.,105,31.54,370,1173
41,T42,T42,Tim Petrovic,108,31.46,381,1211
42,T42,T42,Garrett Willis,97,31.46,342,1087
43,44,44,Andy Miller,75,31.37,261,832
44,45,45,Todd Barranger,78,31.35,253,807
45,46,46,Mike Heinen,89,31.32,342,1092
46,47,47,Cameron Beckman,86,31.31,314,1003
47,48,48,Kent Jones,74,31.24,263,842
48,49,49,Skip Kendall,110,31.21,406,1301
49,50,50,Steve Lowery,86,31.18,290,930
50,51,51,Patrick Sheehan,101,31.17,356,1142
51,52,52,David Frost,80,31.14,279,896
52,53,53,John Daly,56,31.11,196,630
53,54,54,Jim Furyk,104,31.08,396,1274
54,T55,T55,Jerry Kelly,108,30.98,391,1262
55,T55,T55,Rory Sabbatini,95,30.98,329,1062
56,57,57,Glen Day,103,30.95,377,1218
57,58,58,Brent Schwarzrock,60,30.88,210,680
58,59,59,Todd Fischer,97,30.75,333,1083
59,60,60,Scott Laycock,71,30.71,238,775
60,61,61,J.P. Hayes,79,30.7,287,935
61,62,62,Jay Haas,89,30.66,294,959
62,63,63,Chad Campbell,105,30.6,403,1317
63,64,64,Ernie Els,65,30.53,225,737
64,65,65,Harrison Frazar,88,30.49,314,1030
65,66,66,Bob Estes,92,30.45,334,1097
66,67,67,Cameron Yancey,58,30.4,176,579
67,68,68,Duffy Waldorf,90,30.39,320,1053
68,69,69,Matt Gogel,77,30.37,249,820
