,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Ben Crane,94,"88' 1""",66572,63,"5' 2""","211' 6"""
1,T2,T2,Brad Faxon,97,"87' 8""",60996,58,"5' 0""","153' 4"""
2,T2,T2,David Frost,80,"87' 8""",64198,61,"4' 12""","185' 4"""
3,T4,T4,Matt Gogel,77,"86' 10""",52113,50,"4' 10""","165' 0"""
4,T4,T4,Geoff Ogilvy,86,"86' 10""",59385,57,"4' 10""","172' 7"""
5,6,6,Brett Quigley,92,"86' 7""",65441,63,"4' 10""","206' 5"""
6,7,7,Fred Couples,71,"86' 1""",36167,35,"4' 9""","155' 0"""
7,8,8,Paul Gow,62,"85' 11""",45357,44,"4' 9""","162' 10"""
8,9,9,David Toms,90,"85' 10""",53543,52,"4' 9""","170' 7"""
9,10,10,Akio Sadakata,83,"85' 1""",54099,53,"4' 8""","134' 3"""
10,T11,T11,Brad Elder,51,"84' 9""",30509,30,"4' 11""","178' 6"""
11,T11,T11,Paul Goydos,86,"84' 9""",63069,62,"4' 10""","126' 0"""
12,13,13,Peter Jacobsen,75,"84' 7""",53788,53,"4' 9""","149' 2"""
13,14,14,Pat Perez,95,"84' 5""",59771,59,"4' 9""","149' 6"""
14,T15,T15,Stuart Appleby,90,"84' 2""",54516,54,"4' 9""","155' 1"""
15,T15,T15,Scott McCarron,86,"84' 2""",52527,52,"4' 9""","142' 0"""
16,T17,T17,Tom Byrum,97,"83' 11""",64454,64,"4' 10""","149' 1"""
17,T17,T17,Jay Haas,89,"83' 11""",59388,59,"4' 10""","160' 11"""
18,T19,T19,Briny Baird,113,"83' 9""",78407,78,"4' 8""","156' 0"""
19,T19,T19,Anthony Painter,87,"83' 9""",56255,56,"4' 8""","160' 4"""
20,21,21,Robert Allenby,87,"83' 7""",47161,47,"4' 7""","165' 7"""
21,22,22,John Rollins,89,"83' 6""",43087,43,"4' 8""","155' 1"""
22,23,23,Tim Petrovic,108,"83' 4""",69999,70,"4' 9""","161' 8"""
23,T24,T24,Greg Chalmers,98,"83' 3""",70932,71,"4' 8""","137' 8"""
24,T24,T24,Charles Howell III,120,"83' 3""",73933,74,"4' 8""","164' 3"""
25,26,26,Loren Roberts,87,"83' 2""",51921,52,"4' 9""","156' 1"""
26,T27,T27,Billy Andrade,100,"83' 0""",72741,73,"4' 9""","139' 9"""
27,T27,T27,Jason Gore,83,"83' 0""",51816,52,"4' 8""","142' 6"""
28,29,29,Kenichi Kuboya,91,"82' 11""",63654,64,"4' 8""","189' 7"""
29,30,30,Billy Mayfair,105,"82' 10""",68584,69,"4' 8""","161' 1"""
30,T31,T31,Paul Stankowski,67,"82' 9""",47641,48,"4' 7""","182' 11"""
31,T31,T31,Kirk Triplett,92,"82' 9""",63566,64,"4' 9""","189' 4"""
32,33,33,Mike Heinen,89,"82' 7""",60466,61,"4' 8""","170' 11"""
33,34,34,Cameron Beckman,86,"82' 5""",59367,60,"4' 8""","159' 11"""
34,T35,T35,Stephen Ames,91,"82' 3""",70074,71,"4' 8""","180' 4"""
35,T35,T35,Chris DiMarco,98,"82' 3""",58235,59,"4' 8""","158' 9"""
36,T35,T35,Mike Sposa,72,"82' 3""",50349,51,"4' 8""","162' 1"""
37,T38,T38,Tim Herron,102,"82' 0""",67925,69,"4' 8""","150' 5"""
38,T38,T38,Hank Kuehne,73,"82' 0""",51166,52,"4' 7""","174' 5"""
39,T38,T38,Phil Mickelson,87,"82' 0""",48216,49,"4' 7""","175' 0"""
40,41,41,Mike Weir,80,"81' 11""",49135,50,"4' 7""","132' 9"""
41,T42,T42,Robert Damron,96,"81' 10""",66803,68,"4' 7""","160' 1"""
42,T42,T42,Richard Johnson,89,"81' 10""",57956,59,"4' 6""","141' 4"""
43,T44,T44,Darren Clarke,61,"81' 9""",35298,36,"4' 8""","126' 0"""
44,T44,T44,Jim Furyk,104,"81' 9""",58876,60,"4' 7""","173' 6"""
45,T44,T44,Brenden Pappas,105,"81' 9""",72597,74,"4' 8""","168' 10"""
46,47,47,Duffy Waldorf,90,"81' 8""",54858,56,"4' 6""","169' 1"""
47,T48,T48,Dicky Pride,73,"81' 5""",46876,48,"4' 7""","134' 3"""
48,T48,T48,Heath Slocum,101,"81' 5""",73251,75,"4' 7""","181' 5"""
49,50,50,Dean Wilson,82,"81' 2""",59391,61,"4' 8""","149' 9"""
50,51,51,Chad Campbell,105,"81' 1""",71018,73,"4' 6""","198' 9"""
51,52,52,Stewart Cink,104,"81' 0""",71893,74,"4' 6""","139' 6"""
52,53,53,J.L. Lewis,99,"80' 11""",60229,62,"4' 6""","152' 6"""
53,54,54,Chris Riley,96,"80' 10""",58214,60,"4' 7""","138' 4"""
54,T55,T55,Craig Barlow,95,"80' 9""",64956,67,"4' 6""","158' 6"""
55,T55,T55,Andrew Magee,91,"80' 9""",62989,65,"4' 6""","149' 10"""
56,T55,T55,Deane Pappas,75,"80' 9""",49405,51,"4' 7""","166' 4"""
57,T55,T55,Tom Pernice Jr.,105,"80' 9""",73619,76,"4' 7""","150' 7"""
58,T55,T55,Garrett Willis,97,"80' 9""",69755,72,"4' 7""","142' 5"""
59,60,60,Aaron Baddeley,71,"80' 8""",45478,47,"4' 7""","160' 0"""
60,T61,T61,Hal Sutton,81,"80' 6""",52168,54,"4' 6""","142' 3"""
61,T61,T61,Tiger Woods,74,"80' 6""",43461,45,"4' 7""","144' 11"""
62,63,63,Rory Sabbatini,95,"80' 5""",57903,60,"4' 8""","132' 4"""
63,T64,T64,Tommy Armour III,66,"80' 4""",43376,45,"4' 5""","176' 7"""
64,T64,T64,Woody Austin,107,"80' 4""",66509,69,"4' 7""","141' 11"""
65,T64,T64,Brian Bateman,70,"80' 4""",47235,49,"4' 5""","148' 6"""
66,67,67,Cameron Yancey,58,"80' 3""",38528,40,"4' 7""","135' 2"""
67,68,68,Jonathan Byrd,101,"80' 2""",55807,58,"4' 7""","150' 10"""
68,69,69,Michael Clark II,54,"80' 1""",42280,44,"4' 7""","133' 0"""
69,70,70,Brian Gay,100,"80' 0""",60491,63,"4' 8""","174' 9"""
70,T71,T71,Chris Anderson,96,"79' 10""",56522,59,"4' 7""","135' 3"""
71,T71,T71,Notah Begay III,92,"79' 10""",61297,64,"4' 5""","153' 9"""
72,T73,T73,Glen Day,103,"79' 9""",77510,81,"4' 6""","147' 0"""
73,T73,T73,Steve Flesch,110,"79' 9""",79396,83,"4' 7""","120' 2"""
74,T73,T73,Kent Jones,74,"79' 9""",49748,52,"4' 6""","125' 4"""
75,T73,T73,Justin Leonard,80,"79' 9""",51651,54,"4' 6""","181' 1"""
76,77,77,Robert Gamez,114,"79' 8""",78404,82,"4' 8""","138' 6"""
77,T78,T78,Ben Curtis,69,"79' 7""",47748,50,"4' 4""","131' 7"""
78,T78,T78,Todd Fischer,97,"79' 7""",60134,63,"4' 7""","156' 8"""
79,T78,T78,Vijay Singh,106,"79' 7""",63957,67,"4' 5""","144' 6"""
80,81,81,Jeff Klein,60,"79' 6""",37191,39,"4' 4""","151' 7"""
81,82,82,Jeff Maggert,81,"79' 5""",51460,54,"4' 6""","175' 9"""
82,T83,T83,Lee Janzen,83,"79' 4""",48577,51,"4' 6""","135' 8"""
83,T83,T83,Spike McRoy,103,"79' 4""",70415,74,"4' 6""","133' 6"""
84,T83,T83,Carl Paulson,101,"79' 4""",73305,77,"4' 6""","160' 4"""
85,T86,T86,Tim Clark,79,"79' 3""",49445,52,"4' 7""","143' 1"""
86,T86,T86,Andy Miller,75,"79' 3""",41844,44,"4' 7""","136' 9"""
87,T86,T86,Jesper Parnevik,102,"79' 3""",62770,66,"4' 7""","153' 9"""
88,89,89,Jerry Kelly,108,"79' 2""",63659,67,"4' 6""","151' 6"""
89,90,90,Shaun Micheel,97,"79' 1""",67388,71,"4' 5""","154' 9"""
90,91,91,Dan Forsman,98,"79' 0""",66386,70,"4' 6""","153' 1"""
91,92,92,John Huston,76,"78' 11""",49259,52,"4' 7""","133' 9"""
92,93,93,Alex Cejka,98,"78' 10""",53928,57,"4' 6""","164' 8"""
93,T94,T94,Olin Browne,113,"78' 9""",74681,79,"4' 6""","150' 5"""
94,T94,T94,Jim Carter,95,"78' 9""",64227,68,"4' 4""","168' 2"""
95,T94,T94,Fred Funk,112,"78' 9""",68024,72,"4' 6""","159' 2"""
