,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,1,Michael Clark II,54,1.86,43,8.0
1,2,2,Tim Petrovic,108,1.52,66,10.0
2,3,3,Loren Roberts,87,1.51,53,8.0
3,4,4,Jeff Sluman,106,1.48,54,8.0
4,5,5,Todd Fischer,97,1.37,73,10.0
5,T6,T6,Brad Elder,51,1.25,48,6.0
6,T6,T6,Charles Howell III,120,1.25,72,9.0
7,T6,T6,Justin Leonard,80,1.25,40,5.0
8,T6,T6,John Riegger,55,1.25,40,5.0
9,10,10,Billy Mayfair,105,1.2,83,10.0
10,11,11,Kirk Triplett,92,1.19,67,8.0
11,12,12,Phil Mickelson,87,1.16,43,5.0
12,13,13,Mike Weir,80,1.14,44,5.0
13,14,14,Kevin Sutherland,97,1.13,62,7.0
14,T15,T15,Chris Anderson,96,1.11,99,11.0
15,T15,T15,Paul Goydos,86,1.11,54,6.0
16,T17,T17,Steve Flesch,110,1.09,92,10.0
17,T17,T17,Paul Gow,62,1.09,55,6.0
18,19,19,Tom Gillis,71,1.08,37,4.0
19,20,20,Geoff Ogilvy,86,1.07,56,6.0
20,T21,T21,David Peoples,96,1.04,77,8.0
21,T21,T21,Heath Slocum,101,1.04,77,8.0
22,23,23,Carlos Franco,99,1.01,89,9.0
23,24,24,"Dave Stockton, Jr.",79,1.0,40,4.0
24,T25,T25,Billy Andrade,100,0.99,71,7.0
25,T25,T25,Briny Baird,113,0.99,101,10.0
26,T25,T25,Andrew Magee,91,0.99,71,7.0
27,T28,T28,Shigeki Maruyama,87,0.98,51,5.0
28,T28,T28,Brett Quigley,92,0.98,82,8.0
29,T30,T30,Stephen Ames,91,0.97,62,6.0
30,T30,T30,Ben Crane,94,0.97,72,7.0
31,T30,T30,Esteban Toledo,109,0.97,72,7.0
32,33,33,Mike Sposa,72,0.96,52,5.0
33,T34,T34,Steve Allan,53,0.94,32,3.0
34,T34,T34,Hank Kuehne,73,0.94,53,5.0
35,36,36,Bernhard Langer,65,0.93,43,4.0
36,37,37,J.J. Henry,100,0.92,87,8.0
37,38,38,Davis Love III,85,0.91,44,4.0
38,39,39,Luke Donald,88,0.9,67,6.0
39,40,40,Tom Lehman,87,0.89,56,5.0
40,41,41,Ben Curtis,69,0.88,57,5.0
41,42,42,Robert Damron,96,0.86,70,6.0
42,T43,T43,Brent Geiberger,51,0.82,49,4.0
43,T43,T43,Jerry Kelly,108,0.82,61,5.0
44,T43,T43,Carl Paulson,101,0.82,73,6.0
45,T46,T46,Dudley Hart,66,0.81,37,3.0
46,T46,T46,Tim Herron,102,0.81,86,7.0
47,T46,T46,Shaun Micheel,97,0.81,86,7.0
48,T49,T49,Todd Barranger,78,0.8,50,4.0
49,T49,T49,Scott McCarron,86,0.8,50,4.0
50,51,51,John Morgan,81,0.79,38,3.0
51,T52,T52,Greg Chalmers,98,0.78,64,5.0
52,T52,T52,Jeff Maggert,81,0.78,64,5.0
53,T52,T52,Patrick Sheehan,101,0.78,77,6.0
54,T55,T55,Harrison Frazar,88,0.77,65,5.0
55,T55,T55,Mark O'Meara,69,0.77,26,2.0
56,T55,T55,Duffy Waldorf,90,0.77,39,3.0
57,58,58,Chad Campbell,105,0.76,66,5.0
58,59,59,Dicky Pride,73,0.75,40,3.0
59,T60,T60,Ernie Els,65,0.74,27,2.0
60,T60,T60,Richard Johnson,89,0.74,68,5.0
61,T60,T60,Vijay Singh,106,0.74,54,4.0
62,T63,T63,Jason Caron,74,0.73,55,4.0
63,T63,T63,Brandt Jobe,77,0.73,55,4.0
64,T63,T63,Rory Sabbatini,95,0.73,41,3.0
65,T66,T66,Fred Couples,71,0.71,42,3.0
66,T66,T66,Brad Faxon,97,0.71,70,5.0
67,T66,T66,Mike Heinen,89,0.71,56,4.0
