,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,David Frost,80,1.547,2228,1440
1,2,2,Aaron Baddeley,71,1.5490000000000002,1868,1206
2,3,3,Chris Riley,96,1.55,2511,1620
3,4,4,Loren Roberts,87,1.558,2412,1548
4,T5,T5,Billy Andrade,100,1.564,2816,1800
5,T5,T5,Stewart Cink,104,1.564,2816,1800
6,T5,T5,Mike Sposa,72,1.564,1971,1260
7,T8,T8,Matt Gogel,77,1.5659999999999998,2058,1314
8,T8,T8,Paul Goydos,86,1.5659999999999998,2340,1494
9,10,10,Skip Kendall,110,1.567,3103,1980
10,T11,T11,Greg Chalmers,98,1.568,2682,1710
11,T11,T11,Brad Faxon,97,1.568,2681,1710
12,T11,T11,Rod Pampling,87,1.568,2342,1494
13,T11,T11,Deane Pappas,75,1.568,2061,1314
14,15,15,Justin Leonard,80,1.569,2118,1350
15,T16,T16,Scott Laycock,71,1.5719999999999998,1952,1242
16,T16,T16,Corey Pavin,88,1.5719999999999998,2434,1548
17,T16,T16,John Rollins,89,1.5719999999999998,2405,1530
18,19,19,Garrett Willis,97,1.5730000000000002,2719,1728
19,T20,T20,Steve Flesch,110,1.574,3059,1944
20,T20,T20,Phil Mickelson,87,1.574,2267,1440
21,T20,T20,Tim Petrovic,108,1.574,2946,1872
22,T20,T20,Steve Stricker,59,1.574,1587,1008
23,T20,T20,Mike Weir,80,1.574,2125,1350
24,T20,T20,Dean Wilson,82,1.574,2323,1476
25,T26,T26,Mark Calcavecchia,84,1.575,2381,1512
26,T26,T26,Tim Herron,102,1.575,2835,1800
27,T26,T26,Patrick Sheehan,101,1.575,2806,1782
28,29,29,Jay Haas,89,1.5759999999999998,2355,1494
29,T30,T30,Tom Pernice Jr.,105,1.577,2895,1836
30,T30,T30,Dicky Pride,73,1.577,2072,1314
31,T32,T32,Robert Gamez,114,1.578,3239,2052
