,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,David Frost,80,103.57,953,61,926
1,2,2,Brad Faxon,97,103.32,934,55,910
2,3,3,Loren Roberts,87,102.86,840,44,820
3,4,4,Ben Crane,94,102.84,952,45,934
4,5,5,Brad Elder,51,102.68,559,32,542
5,6,6,Matt Gogel,77,102.24,802,39,781
6,7,7,Tim Petrovic,108,102.17,1151,61,1115
7,8,8,Jay Haas,89,102.07,870,41,847
8,9,9,Peter Jacobsen,75,101.98,858,49,826
9,10,10,Jim Furyk,104,101.9,999,41,977
10,11,11,Joel Edwards,60,101.89,792,27,780
11,12,12,Bob Tway,89,101.87,1017,46,990
12,13,13,Brent Geiberger,51,101.85,595,23,583
13,14,14,Geoff Ogilvy,86,101.79,892,43,865
14,15,15,Chris DiMarco,98,101.73,925,42,899
15,16,16,Glen Day,103,101.71,1228,49,1200
16,17,17,Jesper Parnevik,102,101.69,1067,46,1039
17,18,18,Andrew Magee,91,101.61,1056,50,1023
18,19,19,Kent Jones,74,101.58,821,32,802
19,20,20,Chad Campbell,105,101.55,1095,47,1065
20,21,21,Jason Gore,83,101.54,909,39,884
21,22,22,Brenden Pappas,105,101.47,1160,42,1135
22,23,23,Skip Kendall,110,101.46,1232,49,1201
23,24,24,John Rollins,89,101.44,764,32,743
24,T25,T25,Tom Byrum,97,101.43,979,40,953
25,T25,T25,Fred Couples,71,101.43,558,26,540
26,27,27,Mike Weir,80,101.42,706,29,687
27,28,28,J.P. Hayes,79,101.41,849,36,825
28,29,29,Justin Leonard,80,101.38,795,32,774
29,30,30,Brett Quigley,92,101.28,1012,48,977
30,31,31,Bob Estes,92,101.27,946,29,929
31,32,32,Briny Baird,113,101.24,1291,61,1246
32,33,33,Marco Dawson,86,101.2,919,34,896
33,34,34,Charles Howell III,120,101.19,1176,52,1138
34,35,35,Dean Wilson,82,101.18,931,37,905
35,36,36,Robert Damron,96,101.17,1110,45,1078
36,37,37,Bernhard Langer,65,101.12,625,24,608
37,38,38,Steve Allan,53,101.1,635,20,622
