,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Darren Clarke,61,32.26,62,20
1,2,2,Tom Byrum,97,31.58,152,48
2,3,3,Scott McCarron,86,29.67,91,27
3,4,4,Ben Crane,94,28.38,148,42
4,T5,T5,Billy Andrade,100,28.0,150,42
5,T5,T5,Fred Couples,71,28.0,75,21
6,7,7,Brent Geiberger,51,27.4,73,20
7,8,8,Tommy Armour III,66,26.67,90,24
8,9,9,Chris DiMarco,98,26.49,151,40
9,10,10,Matt Gogel,77,26.47,102,27
10,11,11,Stewart Cink,104,26.35,148,39
11,12,12,Spike McRoy,103,26.14,153,40
12,13,13,Brian Gay,100,26.03,146,38
13,14,14,Doug Barron,90,25.87,143,37
14,15,15,Stuart Appleby,90,25.83,120,31
15,16,16,John Riegger,55,25.68,74,19
16,17,17,John Huston,76,25.56,133,34
17,18,18,Glen Day,103,24.86,185,46
18,19,19,Robert Allenby,87,24.8,125,31
19,20,20,J.P. Hayes,79,24.79,117,29
20,21,21,Brett Quigley,92,24.68,154,38
21,22,22,Craig Barlow,95,24.46,184,45
22,23,23,Sergio Garcia,62,24.44,90,22
23,24,24,Len Mattiace,94,24.29,140,34
24,25,25,Mike Heinen,89,24.24,165,40
25,26,26,Jay Haas,89,24.03,129,31
26,27,27,Jim Furyk,104,23.9,159,38
27,28,28,Tiger Woods,74,23.81,105,25
28,29,29,Paul Stankowski,67,23.73,118,28
29,30,30,Brad Faxon,97,23.65,148,35
30,T31,T31,Dan Forsman,98,23.64,165,39
31,T31,T31,Paul Goydos,86,23.64,165,39
32,33,33,Dean Wilson,82,23.45,145,34
33,34,34,Jesper Parnevik,102,23.44,128,30
34,35,35,Pat Perez,95,23.2,125,29
35,36,36,Brent Schwarzrock,60,23.16,95,22
36,37,37,Akio Sadakata,83,22.96,135,31
37,38,38,K.J. Choi,112,22.92,144,33
38,39,39,Jeff Sluman,106,22.76,145,33
39,40,40,Brian Henninger,56,22.73,110,25
40,41,41,Olin Browne,113,22.6,177,40
41,42,42,Robert Gamez,114,22.49,169,38
42,43,43,Briny Baird,113,22.47,178,40
43,44,44,Jonathan Kaye,91,22.4,125,28
44,45,45,Ernie Els,65,22.39,67,15
45,46,46,Brian Bateman,70,22.32,112,25
46,47,47,Geoff Ogilvy,86,22.3,139,31
47,T48,T48,Tom Lehman,87,22.22,108,24
48,T48,T48,Billy Mayfair,105,22.22,171,38
49,50,50,Jerry Kelly,108,22.15,149,33
50,T51,T51,Bob Estes,92,22.14,131,29
51,T51,T51,Carl Pettersson,80,22.14,140,31
52,53,53,Tim Clark,79,21.95,123,27
53,54,54,Pat Bates,111,21.91,178,39
54,55,55,Bob Tway,89,21.9,137,30
55,56,56,Aaron Baddeley,71,21.82,110,24
56,57,57,Aaron Barber,94,21.74,138,30
57,58,58,Alex Cejka,98,21.58,139,30
58,59,59,Adam Scott,52,21.57,51,11
59,T60,T60,Vijay Singh,106,21.54,130,28
60,T60,T60,Mike Sposa,72,21.54,130,28
61,62,62,Chris Smith,92,21.52,158,34
62,T63,T63,Robert Damron,96,21.43,168,36
63,T63,T63,Lee Janzen,83,21.43,112,24
64,65,65,Jonathan Byrd,101,21.37,131,28
65,66,66,Paul Azinger,73,21.28,141,30
66,67,67,Duffy Waldorf,90,21.23,146,31
67,68,68,David Toms,90,21.14,123,26
68,69,69,Scott Verplank,97,21.02,157,33
69,70,70,Fred Funk,112,20.9,177,37
70,T71,T71,Per-Ulrik Johansson,96,20.86,163,34
71,T71,T71,Neal Lancaster,110,20.86,187,39
72,T71,T71,Anthony Painter,87,20.86,139,29
73,74,74,Steve Lowery,86,20.83,120,25
74,75,75,Jason Gore,83,20.69,145,30
75,76,76,Jeff Brehaut,110,20.65,184,38
76,77,77,Vance Veazey,66,20.59,102,21
77,78,78,Hidemichi Tanaka,112,20.48,210,43
78,79,79,Corey Pavin,88,20.45,132,27
79,80,80,Skip Kendall,110,20.38,157,32
80,T81,T81,Mike Grob,83,20.29,138,28
81,T81,T81,Kenny Perry,98,20.29,138,28
82,83,83,J.L. Lewis,99,20.27,148,30
83,84,84,Chris Riley,96,20.26,153,31
84,85,85,Chad Campbell,105,20.22,183,37
85,86,86,Peter Lonard,96,20.17,119,24
86,87,87,Dicky Pride,73,20.15,134,27
87,88,88,Carlos Franco,99,20.13,159,32
88,89,89,Greg Chalmers,98,20.0,165,33
89,90,90,Richard Johnson,89,19.86,141,28
90,91,91,Darron Stiles,93,19.85,131,26
91,T92,T92,Tim Petrovic,108,19.77,172,34
92,T92,T92,Nick Price,65,19.77,86,17
93,94,94,Joel Edwards,60,19.67,122,24
94,95,95,Hal Sutton,81,19.58,143,28
95,96,96,Bernhard Langer,65,19.54,87,17
96,97,97,Luke Donald,88,19.48,154,30
97,98,98,Heath Slocum,101,19.46,185,36
98,99,99,Carl Paulson,101,19.39,196,38
99,100,100,Woody Austin,107,19.19,172,33
100,101,101,Notah Begay III,92,19.18,146,28
101,102,102,Mike Weir,80,18.95,95,18
102,103,103,David Frost,80,18.94,132,25
103,104,104,David Peoples,96,18.93,169,32
104,105,105,Harrison Frazar,88,18.9,127,24
105,106,106,Cameron Beckman,86,18.8,133,25
106,T107,T107,John Daly,56,18.52,81,15
107,T107,T107,Tom Gillis,71,18.52,135,25
108,T107,T107,Frank Lickliter II,94,18.52,135,25
109,T107,T107,Mark O'Meara,69,18.52,81,15
110,T107,T107,Mark Wilson,82,18.52,135,25
111,112,112,Esteban Toledo,109,18.29,175,32
112,113,113,Paul Gow,62,18.28,93,17
113,114,114,Shaun Micheel,97,18.18,154,28
114,115,115,Deane Pappas,75,18.1,105,19
115,116,116,Brenden Pappas,105,18.09,199,36
116,117,117,Tim Herron,102,18.07,166,30
117,118,118,Dudley Hart,66,17.98,89,16
118,119,119,Craig Perks,82,17.97,128,23
119,120,120,Matt Kuchar,63,17.86,112,20
120,121,121,Mark Calcavecchia,84,17.78,135,24
121,122,122,Steve Flesch,110,17.75,169,30
122,123,123,John Morgan,81,17.74,124,22
123,T124,T124,Jeff Maggert,81,17.6,125,22
124,T124,T124,Andy Miller,75,17.6,125,22
125,126,126,Kaname Yokoo,56,17.58,91,16
126,T127,T127,Mathew Goggin,90,17.57,148,26
127,T127,T127,Patrick Sheehan,101,17.57,148,26
128,129,129,Hank Kuehne,73,17.52,137,24
129,130,130,Garrett Willis,97,17.48,143,25
130,131,131,Tom Pernice Jr.,105,17.47,166,29
131,132,132,Andrew Magee,91,17.42,155,27
132,133,133,Arron Oberholser,80,17.36,144,25
133,134,134,Phil Mickelson,87,17.27,110,19
134,T135,T135,Chris Anderson,96,17.22,151,26
135,T135,T135,Kenichi Kuboya,91,17.22,151,26
136,137,137,Steve Allan,53,17.2,93,16
137,138,138,Ian Leggatt,71,17.09,117,20
138,T139,T139,Todd Barranger,78,17.02,141,24
139,T139,T139,Retief Goosen,69,17.02,94,16
140,141,141,Brandt Jobe,77,17.0,100,17
141,142,142,Charles Howell III,120,16.97,165,28
142,143,143,Joey Sindelar,93,16.9,142,24
143,144,144,Kirk Triplett,92,16.88,160,27
144,145,145,Davis Love III,85,16.82,107,18
145,146,146,John Rollins,89,16.81,113,19
146,T147,T147,Peter Jacobsen,75,16.67,108,18
147,T147,T147,Rod Pampling,87,16.67,114,19
148,T147,T147,Rory Sabbatini,95,16.67,150,25
149,150,150,Joe Durant,96,16.48,182,30
150,151,151,Mark Brooks,90,16.43,140,23
151,152,152,Shigeki Maruyama,87,16.41,128,21
152,153,153,Cliff Kresge,102,16.37,171,28
153,154,154,José Coceres,62,16.36,110,18
154,155,155,Michael Clark II,54,16.3,92,15
155,156,156,Jay Don Blake,77,16.24,117,19
156,157,157,Jeff Klein,60,16.16,99,16
157,T158,T158,Justin Leonard,80,16.0,100,16
158,T158,T158,John Senden,111,16.0,175,28
159,160,160,Loren Roberts,87,15.94,138,22
160,161,161,Cameron Yancey,58,15.73,89,14
161,162,162,Scott Laycock,71,15.7,121,19
162,T163,T163,Todd Fischer,97,15.58,154,24
163,T163,T163,Donnie Hammond,92,15.58,154,24
164,165,165,Kent Jones,74,15.53,103,16
165,166,166,Rocco Mediate,80,15.52,116,18
166,167,167,Stephen Ames,91,15.51,187,29
167,168,168,David Gossett,92,15.44,149,23
168,169,169,Glen Hnatiuk,92,15.38,156,24
169,170,170,Kevin Sutherland,97,15.33,137,21
170,171,171,Jay Williamson,93,15.3,183,28
171,172,172,Jason Caron,74,15.18,112,17
172,173,173,Bob Burns,88,14.89,141,21
173,174,174,Gene Sauers,87,14.84,128,19
174,T175,T175,Steven Alker,87,14.77,149,22
175,T175,T175,"Dave Stockton, Jr.",79,14.77,149,22
176,177,177,Rich Beem,80,14.55,110,16
177,178,178,Ben Curtis,69,14.14,99,14
178,179,179,Brad Elder,51,14.13,92,13
179,180,180,Thomas Levet,85,14.08,142,20
180,181,181,Jason Buha,61,13.95,86,12
181,182,182,Gavin Coles,69,13.93,122,17
182,183,183,Marco Dawson,86,13.91,151,21
183,184,184,Kenneth Staton,59,13.33,105,14
184,185,185,J.J. Henry,100,13.14,175,23
185,186,186,Jim Carter,95,12.74,157,20
186,187,187,David Sutherland,77,12.61,111,14
187,188,188,Ty Tryon,52,12.33,73,9
188,189,189,Steve Stricker,59,12.24,98,12
189,190,190,John Maginnes,87,11.94,134,16
