,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Brian Henninger,17,59.8
1,2,2,Jay Haas,25,61.0
2,3,3,Ben Crane,27,68.8
3,4,4,Geoff Ogilvy,26,72.3
4,5,5,Len Mattiace,27,73.4
5,6,6,David Frost,26,76.7
6,7,7,Scott McCarron,27,77.8
7,8,8,Aaron Baddeley,20,86.3
8,9,9,Tom Byrum,31,88.7
9,10,10,Brett Quigley,27,91.3
10,11,11,Stewart Cink,28,92.9
11,12,12,Greg Chalmers,32,93.7
12,13,13,Brent Geiberger,16,93.9
13,14,14,Darren Clarke,16,97.0
14,15,15,Fred Couples,18,100.8
15,16,16,Brenden Pappas,33,102.3
16,17,17,Olin Browne,34,106.6
17,18,18,Tim Herron,29,106.7
18,19,19,Dicky Pride,23,109.8
19,20,20,J.P. Hayes,25,110.4
20,21,21,Brad Faxon,27,112.0
21,22,22,John Huston,23,112.6
22,T23,T23,Loren Roberts,24,114.5
23,T23,T23,Dean Wilson,27,114.5
24,25,25,Stuart Appleby,27,118.8
25,26,26,Matt Gogel,25,120.0
26,27,27,Chris DiMarco,27,121.3
27,28,28,Jim Furyk,27,122.0
28,29,29,Tom Pernice Jr.,31,124.3
29,30,30,Justin Leonard,23,125.4
30,31,31,Jesper Parnevik,31,126.8
31,32,32,Stephen Ames,27,129.8
32,33,33,Dan Forsman,27,132.3
33,34,34,Tim Petrovic,32,132.8
34,35,35,Tiger Woods,18,134.8
35,36,36,Kent Jones,23,135.2
36,37,37,Carl Pettersson,26,137.8
37,38,38,Paul Goydos,25,141.3
38,39,39,Bob Tway,26,141.4
39,40,40,Bob Estes,25,142.7
40,41,41,Paul Stankowski,21,142.8
41,42,42,Bernhard Langer,21,145.3
42,43,43,Shigeki Maruyama,28,146.8
43,44,44,Deane Pappas,24,147.7
44,45,45,Andy Miller,25,148.9
45,46,46,Richard Johnson,28,149.7
46,47,47,Peter Lonard,26,150.0
47,48,48,Skip Kendall,30,150.5
48,49,49,Scott Verplank,26,152.0
49,50,50,John Rollins,27,154.4
50,51,51,Cliff Kresge,32,155.7
51,52,52,Steve Flesch,33,157.3
52,53,53,Luke Donald,27,160.0
53,54,54,Arron Oberholser,25,161.4
54,55,55,Phil Mickelson,23,161.8
55,56,56,Todd Fischer,32,163.5
56,57,57,Scott Laycock,25,164.2
57,58,58,Charles Howell III,31,164.9
58,59,59,Hal Sutton,24,165.9
59,60,60,David Toms,26,167.3
60,61,61,Joel Edwards,23,170.1
61,62,62,Rod Pampling,27,171.2
62,63,63,Pat Perez,33,171.4
63,64,64,Jason Gore,30,171.6
64,65,65,Billy Mayfair,31,172.1
65,66,66,Dudley Hart,22,174.2
66,T67,T67,Nick Price,17,177.3
67,T67,T67,Kirk Triplett,25,177.3
68,69,69,Glen Day,31,179.2
69,70,70,Chris Riley,29,180.3
70,71,71,"Dave Stockton, Jr.",31,181.7
71,72,72,Donnie Hammond,27,182.2
72,73,73,Duffy Waldorf,25,185.6
73,74,74,Billy Andrade,29,185.9
74,75,75,David Peoples,30,186.0
75,76,76,Steve Allan,18,187.2
76,77,77,Tim Clark,25,187.7
77,78,78,Mark Calcavecchia,24,188.8
78,79,79,Craig Perks,28,189.6
79,80,80,Jason Buha,25,190.3
80,81,81,Brandt Jobe,22,191.9
81,T82,T82,Spike McRoy,35,193.8
82,T82,T82,Hidemichi Tanaka,30,193.8
83,84,84,Heath Slocum,32,195.3
84,85,85,Ernie Els,17,197.4
85,86,86,Jeff Maggert,24,198.6
86,87,87,Hank Kuehne,23,200.0
87,88,88,Brad Elder,20,202.1
88,89,89,Peter Jacobsen,22,206.1
89,90,90,Andrew Magee,26,208.3
90,91,91,Kevin Sutherland,27,208.4
91,T92,T92,Aaron Barber,32,208.7
92,T92,T92,Jonathan Kaye,27,208.7
93,94,94,Mike Sposa,25,212.7
94,95,95,Kenichi Kuboya,31,212.8
95,96,96,Retief Goosen,19,214.2
96,97,97,Mike Weir,21,214.3
97,T98,T98,Jonathan Byrd,29,214.5
98,T98,T98,Vijay Singh,27,214.5
99,100,100,Frank Lickliter II,30,215.5
100,T101,T101,Tommy Armour III,23,216.6
101,T101,T101,Neal Lancaster,35,216.6
102,103,103,Esteban Toledo,35,216.8
103,104,104,Steven Alker,30,217.1
104,105,105,Kaname Yokoo,22,217.8
105,T106,T106,Brian Bateman,26,218.8
106,T106,T106,Kenny Perry,26,218.8
107,108,108,Brian Gay,34,219.3
108,109,109,Jay Williamson,31,219.8
109,110,110,Chris Anderson,31,220.6
110,111,111,Garrett Willis,32,222.5
111,112,112,Briny Baird,33,222.8
112,113,113,Lee Janzen,25,223.2
113,114,114,Mike Grob,27,223.4
114,115,115,Cameron Yancey,23,223.8
115,116,116,Alex Cejka,30,224.1
116,117,117,Pat Bates,35,225.0
117,118,118,Harrison Frazar,27,225.3
118,119,119,K.J. Choi,32,225.9
119,120,120,Chad Campbell,27,226.4
120,121,121,Fred Funk,33,227.3
121,122,122,Paul Azinger,26,229.4
122,123,123,Patrick Sheehan,32,231.2
123,124,124,Woody Austin,31,233.2
124,125,125,Steve Stricker,21,234.8
125,126,126,Mark Brooks,31,235.4
126,127,127,Corey Pavin,26,236.6
127,128,128,Paul Gow,21,238.8
128,129,129,Jeff Sluman,31,239.3
129,130,130,John Senden,33,239.8
130,131,131,Davis Love III,23,241.8
131,132,132,Ben Curtis,21,243.5
132,133,133,Robert Damron,32,243.8
133,134,134,Craig Barlow,29,244.2
134,135,135,Darron Stiles,29,244.8
135,136,136,Matt Kuchar,23,246.3
136,137,137,Robert Allenby,24,249.8
137,138,138,Mike Heinen,29,251.5
138,139,139,Jay Don Blake,27,252.1
139,140,140,Jim Carter,33,252.8
140,141,141,Shaun Micheel,28,253.3
141,142,142,Jeff Brehaut,32,254.9
142,143,143,Jerry Kelly,30,255.0
143,144,144,Robert Gamez,31,255.4
144,145,145,Joey Sindelar,29,256.4
145,146,146,Rocco Mediate,24,258.8
146,147,147,Notah Begay III,30,260.8
147,148,148,Doug Barron,32,262.2
148,149,149,Steve Lowery,29,263.5
149,150,150,J.J. Henry,31,265.2
150,151,151,Tom Gillis,25,266.4
151,152,152,Michael Clark II,21,267.7
152,153,153,John Riegger,17,269.5
153,154,154,Cameron Beckman,26,270.6
154,155,155,Glen Hnatiuk,29,272.8
155,156,156,Mark Wilson,30,273.5
156,157,157,Jason Caron,29,274.7
157,158,158,Adam Scott,14,276.9
158,159,159,Marco Dawson,31,278.3
159,160,160,John Daly,22,280.9
160,161,161,Per-Ulrik Johansson,31,282.8
161,162,162,Chris Smith,30,283.3
162,163,163,Rory Sabbatini,27,285.1
163,T164,T164,J.L. Lewis,31,285.4
164,T164,T164,Ty Tryon,21,285.4
165,166,166,Anthony Painter,31,287.3
166,167,167,Gavin Coles,28,288.1
167,T168,T168,Rich Beem,26,288.8
168,T168,T168,Akio Sadakata,29,288.8
169,170,170,Carl Paulson,32,292.2
170,T171,T171,Bob Burns,28,296.8
171,T171,T171,Thomas Levet,26,296.8
172,T171,T171,Vance Veazey,26,296.8
173,174,174,Brent Schwarzrock,20,305.8
174,175,175,John Morgan,29,310.6
175,176,176,Sergio Garcia,20,313.8
176,177,177,Carlos Franco,30,319.2
177,178,178,David Gossett,28,321.8
178,179,179,Kenneth Staton,22,325.5
179,180,180,Tom Lehman,25,325.8
180,181,181,John Maginnes,29,329.8
181,182,182,Mathew Goggin,28,333.0
182,183,183,Todd Barranger,31,340.7
183,184,184,Mark O'Meara,25,349.3
184,185,185,Ian Leggatt,26,359.2
185,186,186,David Sutherland,25,366.3
186,187,187,José Coceres,21,367.5
187,188,188,Joe Durant,28,375.6
188,189,189,Jeff Klein,25,378.4
189,190,190,Gene Sauers,30,379.1
