,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Loren Roberts,87,4.27,12,281,95.7
1,2,2,Scott Verplank,97,5.25,16,305,94.7
2,3,3,Jesper Parnevik,102,5.56,21,378,94.4
3,4,4,Len Mattiace,94,5.63,18,320,94.3
4,T5,T5,Jim Furyk,104,5.79,18,311,94.2
5,T5,T5,John Huston,76,5.79,14,242,94.2
6,T7,T7,Brent Geiberger,51,5.86,13,222,94.1
7,T7,T7,Dicky Pride,73,5.86,15,256,94.1
8,9,9,David Frost,80,5.88,20,340,94.1
9,10,10,Fred Couples,71,5.91,11,186,94.0
10,11,11,Richard Johnson,89,6.03,19,315,93.9
11,12,12,Joel Edwards,60,6.2,16,258,93.8
12,13,13,Ben Crane,94,6.33,21,332,93.6
13,14,14,Peter Lonard,96,6.35,20,315,93.6
14,15,15,Greg Chalmers,98,6.36,22,346,93.6
15,T16,T16,Peter Jacobsen,75,6.45,18,279,93.5
16,T16,T16,Tim Petrovic,108,6.45,24,372,93.5
17,18,18,Brenden Pappas,105,6.51,25,384,93.4
18,19,19,Luke Donald,88,6.62,21,317,93.3
19,20,20,Jay Haas,89,6.69,20,299,93.3
20,21,21,Brian Henninger,56,6.73,14,208,93.2
21,22,22,Bob Estes,92,6.76,19,281,93.2
22,T23,T23,Aaron Baddeley,71,6.93,16,231,93.0
23,T23,T23,Stewart Cink,104,6.93,23,332,93.0
24,25,25,Deane Pappas,75,6.95,18,259,93.0
25,26,26,J.P. Hayes,79,7.02,17,242,92.9
26,T27,T27,Aaron Barber,94,7.23,25,346,92.7
27,T27,T27,Bob Tway,89,7.23,25,346,92.7
28,29,29,Corey Pavin,88,7.27,20,275,92.7
29,T30,T30,Lee Janzen,83,7.41,18,243,92.5
30,T30,T30,Brett Quigley,92,7.41,26,351,92.5
31,32,32,Donnie Hammond,92,7.43,26,350,92.5
32,33,33,Geoff Ogilvy,86,7.44,23,309,92.5
33,34,34,Olin Browne,113,7.48,32,428,92.5
34,35,35,Scott Laycock,71,7.52,17,226,92.4
35,36,36,Chris DiMarco,98,7.53,21,279,92.4
36,37,37,Billy Mayfair,105,7.55,32,424,92.4
37,38,38,Tim Herron,102,7.59,28,369,92.4
38,39,39,Cliff Kresge,102,7.6,25,329,92.4
39,T40,T40,Davis Love III,85,7.63,18,236,92.3
40,T40,T40,Scott McCarron,86,7.63,20,262,92.3
41,42,42,Todd Fischer,97,7.65,26,340,92.3
42,43,43,Skip Kendall,110,7.69,29,377,92.3
43,T44,T44,Neal Lancaster,110,7.82,34,435,92.1
44,T44,T44,Justin Leonard,80,7.82,19,243,92.1
