,Total_3_Putts_-_15-20_RANK THIS WEEK,Total_3_Putts_-_15-20_RANK LAST WEEK,Total_3_Putts_-_15-20_PLAYER NAME,Total_3_Putts_-_15-20_ROUNDS,Total_3_Putts_-_15-20_TOTAL 3 PUTTS 15'-20',Total_3_Putts_-_15-20_TOTAL 3 PUTTS
0,T1,T1,Cliff Kresge,102,10,43
1,T1,T1,Esteban Toledo,109,10,57
2,T3,T3,Woody Austin,107,9,57
3,T3,T3,Billy Mayfair,105,9,52
4,T3,T3,Carl Paulson,101,9,54
5,6,6,Tom Gillis,71,7,39
6,T7,T7,Todd Barranger,78,6,53
7,T7,T7,Jason Buha,61,6,29
8,T7,T7,Donnie Hammond,92,6,36
9,T7,T7,Kenichi Kuboya,91,6,44
10,T7,T7,Scott Laycock,71,6,31
11,T7,T7,Pat Perez,95,6,49
12,T13,T13,Stephen Ames,91,5,43
13,T13,T13,Brian Bateman,70,5,35
14,T13,T13,John Morgan,81,5,52
15,T13,T13,Akio Sadakata,83,5,57
16,T13,T13,Patrick Sheehan,101,5,46
17,T13,T13,"Dave Stockton, Jr.",79,5,35
18,T13,T13,David Toms,90,5,35
19,T20,T20,Robert Allenby,87,4,39
20,T20,T20,Briny Baird,113,4,62
21,T20,T20,Jonathan Byrd,101,4,45
22,T20,T20,Marco Dawson,86,4,41
23,T20,T20,Fred Funk,112,4,44
24,T20,T20,Mathew Goggin,90,4,50
25,T20,T20,Tom Lehman,87,4,39
26,T20,T20,Frank Lickliter II,94,4,40
27,T20,T20,Peter Lonard,96,4,32
28,T20,T20,Steve Lowery,86,4,42
29,T20,T20,Rocco Mediate,80,4,29
30,T20,T20,Shaun Micheel,97,4,45
31,T20,T20,Anthony Painter,87,4,49
32,T20,T20,Brent Schwarzrock,60,4,42
33,T20,T20,Heath Slocum,101,4,56
34,T35,T35,Stuart Appleby,90,3,37
35,T35,T35,Paul Azinger,73,3,30
36,T35,T35,Craig Barlow,95,3,52
37,T35,T35,Doug Barron,90,3,54
38,T35,T35,Pat Bates,111,3,47
39,T35,T35,Jay Don Blake,77,3,27
40,T35,T35,K.J. Choi,112,3,46
41,T35,T35,Stewart Cink,104,3,29
42,T35,T35,Michael Clark II,54,3,31
43,T35,T35,John Daly,56,3,26
44,T35,T35,Robert Damron,96,3,41
45,T35,T35,Bob Estes,92,3,25
46,T35,T35,Sergio Garcia,62,3,26
47,T35,T35,Brent Geiberger,51,3,17
48,T35,T35,Matt Gogel,77,3,33
49,T35,T35,David Gossett,92,3,66
50,T35,T35,Paul Gow,62,3,32
51,T35,T35,J.J. Henry,100,3,46
52,T35,T35,Tim Herron,102,3,38
53,T35,T35,Glen Hnatiuk,92,3,46
54,T35,T35,Charles Howell III,120,3,42
55,T35,T35,John Huston,76,3,26
56,T35,T35,Peter Jacobsen,75,3,27
57,T35,T35,Brandt Jobe,77,3,40
58,T35,T35,Jeff Klein,60,3,44
59,T35,T35,Hank Kuehne,73,3,40
60,T35,T35,Andrew Magee,91,3,42
61,T35,T35,Spike McRoy,103,3,49
62,T35,T35,Mark O'Meara,69,3,35
63,T35,T35,Brenden Pappas,105,3,41
64,T35,T35,Tim Petrovic,108,3,34
65,T35,T35,Carl Pettersson,80,3,36
66,T35,T35,Dicky Pride,73,3,21
67,T35,T35,Rory Sabbatini,95,3,58
68,T35,T35,John Senden,111,3,62
69,T35,T35,Jeff Sluman,106,3,47
70,T35,T35,Chris Smith,92,3,45
71,T35,T35,Kenneth Staton,59,3,40
72,T35,T35,Garrett Willis,97,3,60
73,T35,T35,Mark Wilson,82,3,43
74,T75,T75,Billy Andrade,100,2,45
75,T75,T75,Aaron Barber,94,2,39
76,T75,T75,Cameron Beckman,86,2,42
77,T75,T75,Jeff Brehaut,110,2,62
78,T75,T75,Chad Campbell,105,2,37
79,T75,T75,Jason Caron,74,2,42
80,T75,T75,Jim Carter,95,2,49
81,T75,T75,Alex Cejka,98,2,44
82,T75,T75,José Coceres,62,2,35
83,T75,T75,Gavin Coles,69,2,35
84,T75,T75,Ben Curtis,69,2,34
85,T75,T75,Glen Day,103,2,35
86,T75,T75,Joe Durant,96,2,56
87,T75,T75,Carlos Franco,99,2,50
88,T75,T75,Harrison Frazar,88,2,36
89,T75,T75,Robert Gamez,114,2,52
90,T75,T75,Brian Gay,100,2,39
91,T75,T75,Jason Gore,83,2,45
92,T75,T75,Paul Goydos,86,2,38
93,T75,T75,J.P. Hayes,79,2,22
94,T75,T75,Richard Johnson,89,2,25
95,T75,T75,Kent Jones,74,2,30
96,T75,T75,Neal Lancaster,110,2,50
97,T75,T75,Bernhard Langer,65,2,19
98,T75,T75,Ian Leggatt,71,2,36
99,T75,T75,Davis Love III,85,2,22
100,T75,T75,John Maginnes,87,2,38
101,T75,T75,Phil Mickelson,87,2,26
102,T75,T75,Arron Oberholser,80,2,34
103,T75,T75,Geoff Ogilvy,86,2,33
104,T75,T75,Deane Pappas,75,2,25
105,T75,T75,Corey Pavin,88,2,26
106,T75,T75,David Peoples,96,2,44
107,T75,T75,Craig Perks,82,2,39
108,T75,T75,Chris Riley,96,2,32
109,T75,T75,Loren Roberts,87,2,16
110,T75,T75,Vijay Singh,106,2,38
111,T75,T75,Paul Stankowski,67,2,34
112,T75,T75,David Sutherland,77,2,55
113,T75,T75,Hal Sutton,81,2,29
114,T75,T75,Duffy Waldorf,90,2,40
