,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,,Jim Furyk,104,1.38,25,1818
1,2,,Loren Roberts,87,1.42,22,1548
2,3,,David Frost,80,1.74,25,1440
3,4,,Len Mattiace,94,1.79,30,1674
4,5,,Dicky Pride,73,1.83,24,1314
5,6,,Greg Chalmers,98,1.93,33,1710
6,7,,Justin Leonard,80,2.0,27,1350
7,8,,Chris DiMarco,98,2.03,34,1674
8,9,,J.P. Hayes,79,2.04,29,1422
9,T10,,Richard Johnson,89,2.06,33,1602
10,T10,,Jesper Parnevik,102,2.06,37,1800
11,T12,,Aaron Baddeley,71,2.07,25,1206
12,T12,,Jay Haas,89,2.07,31,1494
13,T12,,Skip Kendall,110,2.07,41,1980
14,15,,Brian Henninger,56,2.08,21,1008
15,16,,Dudley Hart,66,2.1,25,1188
16,17,,Bob Estes,92,2.14,35,1638
17,18,,Glen Day,103,2.15,39,1818
18,19,,Stewart Cink,104,2.17,39,1800
19,20,,Brent Geiberger,51,2.18,20,918
20,21,,Tim Petrovic,108,2.19,41,1872
21,22,,Mark Brooks,90,2.23,35,1566
22,23,,Scott Verplank,97,2.26,39,1728
23,T24,,Todd Fischer,97,2.28,39,1710
24,T24,,Deane Pappas,75,2.28,30,1314
25,26,,Rod Pampling,87,2.34,35,1494
26,27,,Ben Crane,94,2.36,39,1656
27,28,,Steve Allan,53,2.38,21,882
28,29,,Lee Janzen,83,2.43,35,1440
29,30,,Tim Herron,102,2.44,44,1800
30,31,,Corey Pavin,88,2.45,38,1548
31,32,,Olin Browne,113,2.47,49,1980
32,33,,Joel Edwards,60,2.5,27,1080
33,T34,,Luke Donald,88,2.53,40,1584
34,T34,,Hidemichi Tanaka,112,2.53,51,2016
35,T36,,Scott McCarron,86,2.54,37,1458
36,T36,,Hal Sutton,81,2.54,37,1458
37,T38,,Dean Wilson,82,2.57,38,1476
38,T38,,Kaname Yokoo,56,2.57,25,972
39,40,,Ernie Els,65,2.59,28,1080
40,T41,,Donnie Hammond,92,2.6,43,1656
41,T41,,Davis Love III,85,2.6,37,1422
42,43,,Harrison Frazar,88,2.61,40,1530
43,T44,,Brian Gay,100,2.63,46,1746
44,T44,,Joey Sindelar,93,2.63,43,1638
45,46,,Arron Oberholser,80,2.64,38,1440
46,47,,John Huston,76,2.67,36,1350
47,48,,Bob Tway,89,2.68,41,1530
48,49,,Kevin Sutherland,97,2.72,46,1692
49,T50,,Paul Azinger,73,2.74,36,1314
50,T50,,Fred Couples,71,2.74,33,1206
51,T52,,Aaron Barber,94,2.78,47,1692
52,T52,,Tim Clark,79,2.78,39,1404
53,T52,,Nick Price,65,2.78,31,1116
54,T52,,John Riegger,55,2.78,26,936
55,T52,,Tiger Woods,74,2.78,34,1224
56,T57,,Stephen Ames,91,2.81,45,1602
57,T57,,Paul Goydos,86,2.81,42,1494
58,T57,,Peter Jacobsen,75,2.81,38,1350
59,T57,,Andrew Magee,91,2.81,45,1602
60,T57,,Shigeki Maruyama,87,2.81,43,1530
61,T57,,Mike Weir,80,2.81,38,1350
62,63,,Scott Laycock,71,2.82,35,1242
63,64,,Tom Pernice Jr.,105,2.83,52,1836
64,T65,,Robert Damron,96,2.84,49,1728
65,T65,,Duffy Waldorf,90,2.84,44,1548
66,T67,,Fred Funk,112,2.85,56,1962
67,T67,,Charles Howell III,120,2.85,59,2070
68,69,,Retief Goosen,69,2.86,33,1152
69,70,,Frank Lickliter II,94,2.87,47,1638
70,T71,,Steven Alker,87,2.88,44,1530
71,T71,,Carl Pettersson,80,2.88,41,1422
72,73,,Billy Andrade,100,2.89,52,1800
73,74,,Brett Quigley,92,2.9,46,1584
74,T75,,Phil Mickelson,87,2.92,42,1440
75,T75,,Patrick Sheehan,101,2.92,52,1782
76,T77,,Cliff Kresge,102,2.94,53,1800
77,T77,,John Rollins,89,2.94,45,1530
78,79,,Mike Grob,83,2.95,43,1458
