,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Aaron Baddeley,71,27.88,1868,67,22
1,2,2,Chris Riley,96,27.9,2511,90,22
2,3,3,Stewart Cink,104,28.16,2816,100,20
3,4,4,Paul Goydos,86,28.19,2340,83,24
4,5,5,David Frost,80,28.2,2228,79,24
5,T6,T6,Greg Chalmers,98,28.23,2682,95,21
6,T6,T6,Deane Pappas,75,28.23,2061,73,23
7,8,8,Justin Leonard,80,28.24,2118,75,19
8,9,9,Mike Weir,80,28.33,2125,75,22
9,10,10,Steve Stricker,59,28.34,1587,56,25
10,11,11,Mark Calcavecchia,84,28.35,2381,84,23
11,12,12,Jay Haas,89,28.37,2355,83,20
12,T13,T13,Tom Pernice Jr.,105,28.38,2895,102,21
13,T13,T13,Loren Roberts,87,28.38,2412,85,24
14,T15,T15,Billy Andrade,100,28.44,2816,99,22
15,T15,T15,Scott McCarron,86,28.44,2304,81,23
16,17,17,Skip Kendall,110,28.47,3103,109,24
17,18,18,Brad Faxon,97,28.52,2681,94,24
18,19,19,Nick Price,65,28.53,1769,62,20
19,T20,T20,Chris DiMarco,98,28.55,2655,93,22
20,T20,T20,Brian Gay,100,28.55,2769,97,22
21,T20,T20,Brian Henninger,56,28.55,1599,56,23
22,T23,T23,Stuart Appleby,90,28.56,2428,85,22
23,T23,T23,Rod Pampling,87,28.56,2342,82,24
24,25,25,Scott Verplank,97,28.57,2743,96,23
25,T26,T26,Ben Crane,94,28.58,2629,92,21
26,T26,T26,Todd Fischer,97,28.58,2715,95,20
27,T26,T26,Matt Gogel,77,28.58,2058,72,24
28,29,29,Len Mattiace,94,28.59,2659,93,23
29,30,30,Tim Petrovic,108,28.6,2946,103,23
30,31,31,Garrett Willis,97,28.62,2719,95,24
31,T32,T32,John Rollins,89,28.63,2405,84,22
32,T32,T32,Patrick Sheehan,101,28.63,2806,98,22
33,T32,T32,Tiger Woods,74,28.63,1947,68,23
34,T35,T35,Tim Herron,102,28.64,2835,99,22
35,T35,T35,Corey Pavin,88,28.64,2434,85,23
36,37,37,Robert Gamez,114,28.66,3239,113,23
37,38,38,Dean Wilson,82,28.68,2323,81,21
38,T39,T39,Brent Geiberger,51,28.69,1463,51,21
39,T39,T39,Vijay Singh,106,28.69,2898,101,23
40,T41,T41,Phil Mickelson,87,28.7,2267,79,22
41,T41,T41,Geoff Ogilvy,86,28.7,2353,82,22
42,T43,T43,Jim Furyk,104,28.71,2900,101,21
43,T43,T43,John Huston,76,28.71,2153,75,19
44,T43,T43,Scott Laycock,71,28.71,1952,68,24
45,T43,T43,Carl Pettersson,80,28.71,2268,79,24
46,47,47,Fred Couples,71,28.72,1924,67,23
47,48,48,Jonathan Byrd,101,28.73,2902,101,24
48,49,49,Stephen Ames,91,28.74,2558,89,23
49,50,50,Jason Gore,83,28.75,2386,83,23
50,T51,T51,Mark Brooks,90,28.78,2475,86,22
51,T51,T51,Glen Day,103,28.78,2878,100,23
52,T51,T51,Dicky Pride,73,28.78,2072,72,20
53,T54,T54,Andy Miller,75,28.8,2160,75,23
54,T54,T54,Brett Quigley,92,28.8,2506,87,24
55,56,56,J.P. Hayes,79,28.81,2276,79,23
56,T57,T57,Tom Byrum,97,28.85,2770,96,19
57,T57,T57,Bob Estes,92,28.85,2625,91,22
58,T57,T57,Richard Johnson,89,28.85,2539,88,22
59,T57,T57,Arron Oberholser,80,28.85,2279,79,24
60,T57,T57,Anthony Painter,87,28.85,2423,84,22
61,T62,T62,Steve Flesch,110,28.86,3059,106,23
62,T62,T62,Shigeki Maruyama,87,28.86,2453,85,23
63,T62,T62,Pat Perez,95,28.86,2655,92,22
64,T65,T65,Steven Alker,87,28.89,2427,84,21
65,T65,T65,Hank Kuehne,73,28.89,2022,70,24
66,67,67,Frank Lickliter II,94,28.91,2602,90,21
67,T68,T68,Luke Donald,88,28.92,2545,88,22
68,T68,T68,Bernhard Langer,65,28.92,1851,64,22
69,70,70,Robert Damron,96,28.93,2777,96,23
70,71,71,Olin Browne,113,28.95,3156,109,22
71,72,72,John Maginnes,87,28.97,2491,86,22
72,73,73,Dudley Hart,66,28.98,1884,65,24
73,T74,T74,Doug Barron,90,28.99,2551,88,23
74,T74,T74,Davis Love III,85,28.99,2261,78,22
75,T74,T74,Mike Sposa,72,28.99,1971,68,23
76,T77,T77,Tim Clark,79,29.0,2233,77,24
77,T77,T77,Lee Janzen,83,29.0,2320,80,23
78,T79,T79,Paul Gow,62,29.02,1770,61,22
79,T79,T79,Jeff Maggert,81,29.02,2351,81,21
80,81,81,Woody Austin,107,29.03,2990,103,22
81,82,82,Fred Funk,112,29.04,3165,109,22
82,83,83,Jerry Kelly,108,29.05,2992,103,22
83,84,84,Carl Paulson,101,29.06,2935,101,23
84,85,85,Darren Clarke,61,29.07,1570,54,23
85,T86,T86,Notah Begay III,92,29.08,2617,90,22
86,T86,T86,Kenichi Kuboya,91,29.08,2559,88,24
87,T88,T88,Andrew Magee,91,29.09,2560,88,24
88,T88,T88,Jesper Parnevik,102,29.09,2909,100,23
89,T88,T88,Cameron Yancey,58,29.09,1600,55,24
90,91,91,Gavin Coles,69,29.12,1922,66,23
91,T92,T92,Chris Anderson,96,29.13,2767,95,23
92,T92,T92,Aaron Barber,94,29.13,2709,93,24
93,T92,T92,Paul Stankowski,67,29.13,1952,67,21
94,95,95,Brenden Pappas,105,29.14,2972,102,24
95,T96,T96,Jason Caron,74,29.15,2070,71,25
96,T96,T96,Per-Ulrik Johansson,96,29.15,2769,95,25
97,T96,T96,David Peoples,96,29.15,2769,95,21
98,T96,T96,Hidemichi Tanaka,112,29.15,3265,112,23
99,T100,T100,Todd Barranger,78,29.16,2158,74,21
100,T100,T100,Neal Lancaster,110,29.16,3091,106,22
101,T100,T100,Ty Tryon,52,29.16,1429,49,24
102,T103,T103,Tommy Armour III,66,29.17,1838,63,23
103,T103,T103,Cliff Kresge,102,29.17,2917,100,22
104,T103,T103,Adam Scott,52,29.17,1342,46,21
105,T103,T103,Kevin Sutherland,97,29.17,2713,93,25
106,T107,T107,Brad Elder,51,29.18,1430,49,23
107,T107,T107,Donnie Hammond,92,29.18,2655,91,23
108,T107,T107,Matt Kuchar,63,29.18,1751,60,25
109,T107,T107,"Dave Stockton, Jr.",79,29.18,2218,76,24
110,T111,T111,Cameron Beckman,86,29.19,2423,83,24
111,T111,T111,Jay Williamson,93,29.19,2656,91,23
112,T113,T113,Charles Howell III,120,29.2,3358,115,23
113,T113,T113,Kent Jones,74,29.2,2015,69,22
114,T113,T113,Billy Mayfair,105,29.2,3066,105,23
115,T116,T116,Jim Carter,95,29.21,2687,92,22
116,T116,T116,David Toms,90,29.21,2366,81,23
117,T118,T118,Rory Sabbatini,95,29.23,2718,93,23
118,T118,T118,Mark Wilson,82,29.23,2338,80,24
119,120,120,John Riegger,55,29.24,1491,51,24
120,T121,T121,Steve Allan,53,29.25,1404,48,26
121,T121,T121,John Morgan,81,29.25,2311,79,24
122,T123,T123,Harrison Frazar,88,29.26,2487,85,24
123,T123,T123,Brandt Jobe,77,29.26,2253,77,24
124,125,125,Esteban Toledo,109,29.27,3103,106,24
125,T126,T126,Ernie Els,65,29.28,1757,60,24
126,T126,T126,Craig Perks,82,29.28,2313,79,23
127,T128,T128,Craig Barlow,95,29.29,2724,93,23
128,T128,T128,Pat Bates,111,29.29,3134,107,22
129,T128,T128,Steve Lowery,86,29.29,2343,80,22
130,T131,T131,Jay Don Blake,77,29.31,2169,74,25
131,T131,T131,José Coceres,62,29.31,1817,62,21
132,133,133,Vance Veazey,66,29.33,1936,66,23
133,T134,T134,David Gossett,92,29.34,2670,91,24
134,T134,T134,Hal Sutton,81,29.34,2347,80,22
135,T136,T136,Alex Cejka,98,29.35,2671,91,22
136,T136,T136,Kirk Triplett,92,29.35,2612,89,22
137,T138,T138,John Daly,56,29.36,1615,55,23
138,T138,T138,Mark O'Meara,69,29.36,1938,66,19
139,T138,T138,Jeff Sluman,106,29.36,3053,104,23
140,141,141,Duffy Waldorf,90,29.37,2526,86,25
141,142,142,Kaname Yokoo,56,29.38,1557,53,24
142,T143,T143,Paul Azinger,73,29.4,2146,73,24
143,T143,T143,Peter Lonard,96,29.4,2646,90,23
144,145,145,Peter Jacobsen,75,29.41,2206,75,23
145,T146,T146,Retief Goosen,69,29.42,1883,64,24
146,T146,T146,Rocco Mediate,80,29.42,2236,76,24
147,148,148,Joel Edwards,60,29.43,1766,60,23
148,T149,T149,K.J. Choi,112,29.44,3062,104,22
149,T149,T149,Kenny Perry,98,29.44,2826,96,24
150,151,151,Bob Burns,88,29.45,2474,84,23
151,152,152,J.L. Lewis,99,29.46,2858,97,22
152,153,153,Darron Stiles,93,29.47,2593,88,23
153,154,154,Heath Slocum,101,29.48,2889,98,23
154,T155,T155,Robert Allenby,87,29.51,2361,80,24
155,T155,T155,Ben Curtis,69,29.51,2007,68,21
156,T155,T155,Dan Forsman,98,29.51,2892,98,22
157,T158,T158,Glen Hnatiuk,92,29.52,2627,89,21
158,T158,T158,Jonathan Kaye,91,29.52,2598,88,25
159,T160,T160,Jason Buha,61,29.53,1713,58,24
160,T160,T160,Brent Schwarzrock,60,29.53,1683,57,23
161,162,162,Bob Tway,89,29.54,2511,85,23
162,163,163,Rich Beem,80,29.56,2276,77,23
163,164,164,Carlos Franco,99,29.57,2868,97,24
164,165,165,Gene Sauers,87,29.58,2514,85,23
165,T166,T166,Jeff Brehaut,110,29.6,3138,106,22
166,T166,T166,Marco Dawson,86,29.6,2457,83,25
167,T168,T168,Spike McRoy,103,29.63,2993,101,23
168,T168,T168,Akio Sadakata,83,29.63,2370,80,24
169,170,170,Tom Gillis,71,29.66,2017,68,24
170,171,171,Brian Bateman,70,29.68,1959,66,24
171,172,172,Joey Sindelar,93,29.7,2703,91,24
172,T173,T173,Michael Clark II,54,29.72,1575,53,23
173,T173,T173,Jeff Klein,60,29.72,1694,57,22
174,175,175,Chad Campbell,105,29.74,3033,102,22
175,176,176,Mike Heinen,89,29.78,2591,87,24
176,T177,T177,Briny Baird,113,29.79,3247,109,24
177,T177,T177,John Senden,111,29.79,3158,106,23
178,179,179,Shaun Micheel,97,29.81,2802,94,23
179,180,180,Mike Grob,83,29.83,2416,81,23
180,181,181,Thomas Levet,85,29.89,2481,83,24
181,T182,T182,J.J. Henry,100,29.95,2875,96,23
182,T182,T182,Tom Lehman,87,29.95,2426,81,25
183,184,184,Ian Leggatt,71,29.96,2037,68,25
184,185,185,Sergio Garcia,62,30.02,1711,57,24
185,186,186,Joe Durant,96,30.13,2892,96,24
186,T187,T187,Mathew Goggin,90,30.14,2562,85,24
187,T187,T187,David Sutherland,77,30.14,2170,72,25
188,189,189,Kenneth Staton,59,30.26,1725,57,25
189,190,190,Chris Smith,92,30.3,2788,92,24
