,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Aaron Baddeley,71,44.44,536,1206
1,2,2,Steve Stricker,59,43.65,440,1008
2,3,3,Chris Riley,96,43.52,705,1620
3,4,4,Stewart Cink,104,42.72,769,1800
4,5,5,Greg Chalmers,98,42.63,729,1710
5,6,6,Justin Leonard,80,42.59,575,1350
6,7,7,Paul Goydos,86,42.57,636,1494
7,T8,T8,Scott McCarron,86,42.39,618,1458
8,T8,T8,Deane Pappas,75,42.39,557,1314
9,10,10,David Frost,80,42.29,609,1440
10,11,11,Geoff Ogilvy,86,42.21,623,1476
11,12,12,Brian Gay,100,42.04,734,1746
12,13,13,Stuart Appleby,90,41.9,641,1530
13,14,14,Garrett Willis,97,41.78,722,1728
14,15,15,Billy Andrade,100,41.56,748,1800
15,16,16,Rod Pampling,87,41.5,620,1494
16,17,17,Mike Weir,80,41.41,559,1350
17,18,18,Matt Gogel,77,41.32,543,1314
18,19,19,Jason Gore,83,41.3,617,1494
19,20,20,Tom Pernice Jr.,105,41.29,758,1836
20,21,21,Skip Kendall,110,41.21,816,1980
21,22,22,Mark Calcavecchia,84,41.14,622,1512
22,23,23,Tim Herron,102,41.11,740,1800
23,24,24,Carl Pettersson,80,41.0,583,1422
24,25,25,Vijay Singh,106,40.96,752,1836
25,26,26,Todd Fischer,97,40.94,700,1710
26,27,27,Brian Henninger,56,40.87,412,1008
27,28,28,Brent Geiberger,51,40.85,375,918
28,29,29,Loren Roberts,87,40.83,632,1548
29,30,30,Len Mattiace,94,40.74,682,1674
30,31,31,Scott Laycock,71,40.66,505,1242
31,32,32,Jonathan Byrd,101,40.65,739,1818
32,33,33,Tiger Woods,74,40.6,497,1224
33,34,34,Jay Haas,89,40.56,606,1494
34,35,35,Fred Couples,71,40.55,489,1206
35,36,36,Stephen Ames,91,40.51,649,1602
36,37,37,Brad Faxon,97,40.47,692,1710
37,38,38,Chris DiMarco,98,40.44,677,1674
38,39,39,Scott Verplank,97,40.34,697,1728
39,40,40,Dean Wilson,82,40.31,595,1476
40,41,41,Pat Perez,95,40.26,674,1674
41,42,42,Corey Pavin,88,40.25,623,1548
42,43,43,Anthony Painter,87,40.13,614,1530
43,44,44,Doug Barron,90,40.09,635,1584
44,T45,T45,Phil Mickelson,87,40.07,577,1440
45,T45,T45,Patrick Sheehan,101,40.07,714,1782
46,T47,T47,Robert Gamez,114,40.01,821,2052
47,T47,T47,J.P. Hayes,79,40.01,569,1422
48,49,49,Arron Oberholser,80,40.0,576,1440
49,50,50,John Rollins,89,39.87,610,1530
50,51,51,Ben Crane,94,39.86,660,1656
51,T52,T52,John Huston,76,39.85,538,1350
52,T52,T52,Andy Miller,75,39.85,538,1350
53,T52,T52,Tim Petrovic,108,39.85,746,1872
54,55,55,Kenichi Kuboya,91,39.83,638,1602
55,56,56,Robert Damron,96,39.81,688,1728
56,T57,T57,Jeff Maggert,81,39.78,580,1458
57,T57,T57,Cameron Yancey,58,39.78,401,1008
58,59,59,Brett Quigley,92,39.77,630,1584
59,60,60,Nick Price,65,39.61,442,1116
60,61,61,Todd Barranger,78,39.48,533,1350
61,62,62,Mark Brooks,90,39.46,618,1566
62,63,63,Glen Day,103,39.38,716,1818
63,64,64,Shigeki Maruyama,87,39.35,602,1530
64,T65,T65,Craig Barlow,95,39.31,658,1674
65,T65,T65,Craig Perks,82,39.31,559,1422
66,67,67,Tom Byrum,97,39.29,686,1746
67,68,68,Darren Clarke,61,39.2,381,972
68,69,69,Dudley Hart,66,39.14,465,1188
69,70,70,Cameron Beckman,86,39.09,584,1494
70,71,71,Luke Donald,88,39.08,619,1584
71,T72,T72,Frank Lickliter II,94,39.07,640,1638
72,T72,T72,Rory Sabbatini,95,39.07,654,1674
73,74,74,Cliff Kresge,102,39.06,703,1800
74,T75,T75,Jim Furyk,104,39.05,710,1818
75,T75,T75,Carl Paulson,101,39.05,710,1818
76,77,77,Esteban Toledo,109,38.99,744,1908
77,78,78,Gavin Coles,69,38.97,463,1188
78,79,79,Dicky Pride,73,38.96,512,1314
79,T80,T80,Bob Estes,92,38.95,638,1638
80,T80,T80,John Maginnes,87,38.95,610,1566
81,T82,T82,Jerry Kelly,108,38.89,728,1872
82,T82,T82,Hank Kuehne,73,38.89,497,1278
83,84,84,Jason Caron,74,38.81,496,1278
84,85,85,Billy Mayfair,105,38.78,733,1890
85,T86,T86,Notah Begay III,92,38.77,628,1620
86,T86,T86,Adam Scott,52,38.77,321,828
87,88,88,Mark Wilson,82,38.75,558,1440
88,89,89,Mike Sposa,72,38.73,488,1260
89,T90,T90,Woody Austin,107,38.68,724,1872
90,T90,T90,Davis Love III,85,38.68,550,1422
91,T90,T90,David Toms,90,38.68,564,1458
92,93,93,Olin Browne,113,38.64,765,1980
93,94,94,Bernhard Langer,65,38.63,445,1152
94,T95,T95,Steve Lowery,86,38.61,556,1440
95,T95,T95,John Morgan,81,38.61,549,1422
96,97,97,Chris Anderson,96,38.6,667,1728
97,98,98,Jim Carter,95,38.59,646,1674
98,99,99,Richard Johnson,89,38.58,618,1602
99,T100,T100,Per-Ulrik Johansson,96,38.54,666,1728
100,T100,T100,Hidemichi Tanaka,112,38.54,777,2016
101,102,102,Paul Gow,62,38.53,430,1116
102,T103,T103,Alex Cejka,98,38.46,630,1638
103,T103,T103,Brenden Pappas,105,38.46,713,1854
104,105,105,Andrew Magee,91,38.45,616,1602
105,106,106,Steve Flesch,110,38.43,747,1944
106,107,107,Steven Alker,87,38.37,587,1530
107,108,108,"Dave Stockton, Jr.",79,38.31,531,1386
108,109,109,Kevin Sutherland,97,38.3,648,1692
109,110,110,Tim Clark,79,38.25,537,1404
110,111,111,Brandt Jobe,77,38.24,530,1386
111,112,112,Brad Elder,51,38.21,337,882
112,T113,T113,Matt Kuchar,63,38.16,419,1098
113,T113,T113,Neal Lancaster,110,38.16,735,1926
114,115,115,Ernie Els,65,38.15,412,1080
115,116,116,Paul Stankowski,67,38.14,460,1206
116,117,117,Lee Janzen,83,38.13,549,1440
117,118,118,Kent Jones,74,38.1,480,1260
118,119,119,José Coceres,62,38.08,425,1116
119,120,120,Donnie Hammond,92,38.04,630,1656
120,121,121,Charles Howell III,120,38.02,787,2070
121,122,122,Robert Allenby,87,37.99,547,1440
122,123,123,Paul Azinger,73,37.98,499,1314
123,124,124,Jason Buha,61,37.93,396,1044
124,125,125,Jesper Parnevik,102,37.89,682,1800
125,126,126,Jeff Sluman,106,37.87,709,1872
126,127,127,Kirk Triplett,92,37.84,613,1620
127,128,128,Bob Burns,88,37.83,572,1512
128,129,129,Jay Williamson,93,37.8,626,1656
129,130,130,Ty Tryon,52,37.78,340,900
130,131,131,Glen Hnatiuk,92,37.77,605,1602
131,132,132,David Gossett,92,37.68,624,1656
132,133,133,Aaron Barber,94,37.65,637,1692
133,134,134,J.L. Lewis,99,37.63,657,1746
134,135,135,Rich Beem,80,37.59,521,1386
135,136,136,Peter Jacobsen,75,37.56,507,1350
136,137,137,Brent Schwarzrock,60,37.55,392,1044
137,138,138,Steve Allan,53,37.53,331,882
138,139,139,Ben Curtis,69,37.52,466,1242
139,T140,T140,John Daly,56,37.5,378,1008
140,T140,T140,Jonathan Kaye,91,37.5,594,1584
141,T140,T140,David Peoples,96,37.5,648,1728
142,143,143,Darron Stiles,93,37.47,607,1620
143,144,144,Harrison Frazar,88,37.45,573,1530
144,145,145,Mark O'Meara,69,37.4,451,1206
145,T146,T146,Fred Funk,112,37.36,733,1962
146,T146,T146,Heath Slocum,101,37.36,659,1764
147,148,148,Akio Sadakata,83,37.31,544,1458
148,149,149,Duffy Waldorf,90,37.27,577,1548
149,150,150,Bob Tway,89,37.25,570,1530
150,151,151,Pat Bates,111,37.24,724,1944
151,152,152,Peter Lonard,96,37.22,603,1620
152,153,153,Retief Goosen,69,37.15,428,1152
153,154,154,Tommy Armour III,66,37.07,427,1152
154,155,155,Brian Bateman,70,37.06,447,1206
155,156,156,Jay Don Blake,77,37.04,500,1350
156,157,157,John Riegger,55,36.97,346,936
157,158,158,Joel Edwards,60,36.94,399,1080
158,159,159,K.J. Choi,112,36.74,701,1908
159,160,160,Kenny Perry,98,36.66,640,1746
160,161,161,Marco Dawson,86,36.64,554,1512
161,162,162,Vance Veazey,66,36.53,434,1188
162,163,163,Dan Forsman,98,36.34,641,1764
163,164,164,Hal Sutton,81,36.28,529,1458
164,165,165,Gene Sauers,87,36.27,555,1530
165,166,166,Mike Heinen,89,36.17,573,1584
166,167,167,John Senden,111,36.09,695,1926
167,168,168,Spike McRoy,103,36.08,656,1818
168,169,169,Chad Campbell,105,36.0,661,1836
169,170,170,Jeff Brehaut,110,35.98,693,1926
170,171,171,Briny Baird,113,35.83,703,1962
171,T172,T172,Tom Gillis,71,35.78,438,1224
172,T172,T172,Joey Sindelar,93,35.78,586,1638
173,174,174,Kaname Yokoo,56,35.7,347,972
174,175,175,Carlos Franco,99,35.68,623,1746
175,176,176,Rocco Mediate,80,35.61,500,1404
176,177,177,Shaun Micheel,97,35.4,599,1692
177,T178,T178,Joe Durant,96,35.13,607,1728
178,T178,T178,Ian Leggatt,71,35.13,430,1224
179,180,180,Michael Clark II,54,35.08,341,972
180,181,181,Jeff Klein,60,34.96,365,1044
181,182,182,Thomas Levet,85,34.94,522,1494
182,183,183,Mike Grob,83,34.91,509,1458
183,184,184,Sergio Garcia,62,34.8,357,1026
184,185,185,Tom Lehman,87,34.76,513,1476
185,186,186,Mathew Goggin,90,34.56,535,1548
186,187,187,J.J. Henry,100,34.38,594,1728
187,188,188,David Sutherland,77,34.25,450,1314
188,189,189,Chris Smith,92,33.76,559,1656
189,190,190,Kenneth Staton,59,33.04,339,1026
