,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Cameron Yancey,58,0.88,91,8.0
1,2,2,Chris Riley,96,0.85,118,10.0
2,3,3,Brad Elder,51,0.84,95,8.0
3,4,4,Jim Furyk,104,0.81,149,12.0
4,5,5,John Maginnes,87,0.78,115,9.0
5,6,6,Glen Day,103,0.77,183,14.0
6,7,7,Loren Roberts,87,0.74,148,11.0
7,8,8,Bob Tway,89,0.73,151,11.0
8,9,9,David Frost,80,0.72,166,12.0
9,T10,T10,Sergio Garcia,62,0.71,70,5.0
10,T10,T10,Anthony Painter,87,0.71,141,10.0
11,12,12,Joe Durant,96,0.7,143,10.0
12,T13,T13,Greg Chalmers,98,0.68,176,12.0
13,T13,T13,Charles Howell III,120,0.68,234,16.0
14,15,15,Paul Gow,62,0.67,105,7.0
15,T16,T16,Jay Don Blake,77,0.66,121,8.0
16,T16,T16,David Toms,90,0.66,122,8.0
17,18,18,Robert Gamez,114,0.65,169,11.0
18,19,19,Carl Paulson,101,0.64,156,10.0
19,T20,T20,Marco Dawson,86,0.63,142,9.0
20,T20,T20,Brett Quigley,92,0.63,175,11.0
21,22,22,Kenichi Kuboya,91,0.62,161,10.0
22,T23,T23,John Rollins,89,0.61,114,7.0
23,T23,T23,Garrett Willis,97,0.61,165,10.0
24,25,25,Peter Jacobsen,75,0.6,134,8.0
25,T26,T26,Adam Scott,52,0.58,69,4.0
26,T26,T26,Ty Tryon,52,0.58,69,4.0
27,28,28,Brad Faxon,97,0.57,122,7.0
28,T29,T29,Stephen Ames,91,0.56,177,10.0
29,T29,T29,Aaron Baddeley,71,0.56,108,6.0
30,T29,T29,Skip Kendall,110,0.56,179,10.0
31,T29,T29,Deane Pappas,75,0.56,143,8.0
32,T29,T29,Gene Sauers,87,0.56,142,8.0
33,T34,T34,Luke Donald,88,0.54,149,8.0
34,T34,T34,Dean Wilson,82,0.54,149,8.0
35,T36,T36,Fred Funk,112,0.53,171,9.0
36,T36,T36,Matt Gogel,77,0.53,150,8.0
37,T36,T36,Dicky Pride,73,0.53,133,7.0
38,T39,T39,Billy Andrade,100,0.52,154,8.0
39,T39,T39,Craig Barlow,95,0.52,172,9.0
40,T39,T39,Mike Heinen,89,0.52,174,9.0
41,T39,T39,John Morgan,81,0.52,135,7.0
42,T39,T39,Nick Price,65,0.52,97,5.0
