,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Brad Elder,51,"13' 8""",1616.0829999999999,118,59,"5"""
1,2,2,David Frost,80,"12' 10""",3227.583,252,60,"5"""
2,3,3,Brad Faxon,97,"12' 8""",2979.5,236,74,"8"""
3,4,4,Loren Roberts,87,"12' 4""",2487.167,201,49,"5"""
4,5,5,Peter Jacobsen,75,"11' 11""",2417.417,203,65,"7"""
5,T6,T6,Jay Don Blake,77,"11' 6""",2029.4170000000001,176,70,"1"""
6,T6,T6,Tom Byrum,97,"11' 6""",2661.833,232,50,"6"""
7,8,8,Brian Gay,100,"11' 5""",2970.583,260,60,"7"""
8,T9,T9,Paul Gow,62,"11' 3""",1979.1670000000001,176,80,"3"""
9,T9,T9,Bob Tway,89,"11' 3""",2973.333,265,66,"6"""
10,T11,T11,Spike McRoy,103,"11' 2""",3169.25,283,52,"8"""
11,T11,T11,Brett Quigley,92,"11' 2""",2950.333,265,76,"3"""
12,13,13,Matt Gogel,77,"11' 1""",2045.4170000000001,184,55,"4"""
13,T14,T14,Ben Crane,94,"11' 0""",3023.25,275,66,"4"""
14,T14,T14,Robert Damron,96,"11' 0""",2783.5,253,74,"4"""
15,T14,T14,Jeff Klein,60,"11' 0""",1335.25,121,50,"5"""
16,T14,T14,Tim Petrovic,108,"11' 0""",3289.75,299,42,"3"""
17,18,18,Billy Mayfair,105,"10' 11""",3127.25,287,67,"6"""
18,T19,T19,Steven Alker,87,"10' 10""",2096.917,193,61,"6"""
19,T19,T19,Michael Clark II,54,"10' 10""",1878.25,173,46,"3"""
20,T19,T19,Paul Goydos,86,"10' 10""",2836.167,262,44,"6"""
21,T19,T19,J.P. Hayes,79,"10' 10""",2456.333,226,56,"9"""
22,T19,T19,Bernhard Langer,65,"10' 10""",1563.75,144,52,"4"""
23,T19,T19,Anthony Painter,87,"10' 10""",2299.083,212,59,"6"""
24,T19,T19,Corey Pavin,88,"10' 10""",2136.5,197,47,"1"""
25,T26,T26,Billy Andrade,100,"10' 9""",3117.083,290,57,"4"""
26,T26,T26,Paul Azinger,73,"10' 9""",1941.8329999999999,181,70,"6"""
27,T26,T26,Richard Johnson,89,"10' 9""",2530.583,236,59,"7"""
28,T26,T26,John Maginnes,87,"10' 9""",2123.417,198,63,"4"""
29,T30,T30,Briny Baird,113,"10' 8""",3618.5,340,72,"4"""
30,T30,T30,Gene Sauers,87,"10' 8""",2168.583,203,59,"4"""
31,T30,T30,Heath Slocum,101,"10' 8""",3269.75,307,56,"7"""
32,T33,T33,Ben Curtis,69,"10' 7""",1901.5,179,55,"6"""
33,T33,T33,Akio Sadakata,83,"10' 7""",2308.75,218,50,"5"""
34,T33,T33,Mike Sposa,72,"10' 7""",2215.0,209,53,"1"""
35,T36,T36,Chris Anderson,96,"10' 6""",2523.75,240,63,"4"""
36,T36,T36,Cameron Beckman,86,"10' 6""",2879.5,275,44,"2"""
37,T36,T36,J.J. Henry,100,"10' 6""",2917.5,278,58,"5"""
38,T36,T36,Thomas Levet,85,"10' 6""",2357.583,225,44,"5"""
39,T40,T40,Joel Edwards,60,"10' 5""",1776.3329999999999,170,41,"4"""
40,T40,T40,Todd Fischer,97,"10' 5""",2834.917,273,57,"5"""
41,T40,T40,Dan Forsman,98,"10' 5""",2829.25,272,46,"4"""
42,T40,T40,Carlos Franco,99,"10' 5""",3012.167,289,62,"3"""
43,T40,T40,Jason Gore,83,"10' 5""",2392.5,230,50,"4"""
44,T40,T40,Andrew Magee,91,"10' 5""",2694.417,258,46,"5"""
45,T40,T40,Jesper Parnevik,102,"10' 5""",2786.167,268,43,"6"""
46,T40,T40,Nick Price,65,"10' 5""",1639.3329999999999,158,60,"1"""
47,T40,T40,Chris Riley,96,"10' 5""",2454.917,235,59,"4"""
