,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,John Senden,111,194,612,31.7
1,T2,T2,Steve Flesch,110,180,644,28.0
2,T2,T2,Hidemichi Tanaka,112,180,668,26.9
3,4,4,Greg Chalmers,98,178,636,28.0
4,T5,T5,Cliff Kresge,102,177,563,31.4
5,T5,T5,Patrick Sheehan,101,177,640,27.7
6,T7,T7,Briny Baird,113,176,602,29.2
7,T7,T7,Jim Carter,95,176,565,31.2
8,T7,T7,Esteban Toledo,109,176,651,27.0
9,10,10,Jeff Brehaut,110,175,596,29.4
10,11,11,Skip Kendall,110,174,666,26.1
11,T12,T12,Olin Browne,113,173,648,26.7
12,T12,T12,Tim Herron,102,173,609,28.4
13,T12,T12,Brenden Pappas,105,173,606,28.5
14,15,15,Robert Gamez,114,172,674,25.5
15,T16,T16,Tom Pernice Jr.,105,170,618,27.5
16,T16,T16,Garrett Willis,97,170,630,27.0
17,T18,T18,Woody Austin,107,169,606,27.9
18,T18,T18,Pat Bates,111,169,634,26.7
19,T18,T18,Robert Damron,96,169,579,29.2
20,21,21,Doug Barron,90,166,558,29.7
21,22,22,Darron Stiles,93,165,504,32.7
22,23,23,Jeff Sluman,106,164,559,29.3
23,T24,T24,Stewart Cink,104,162,630,25.7
24,T24,T24,Charles Howell III,120,162,589,27.5
25,T24,T24,Heath Slocum,101,162,602,26.9
26,27,27,Arron Oberholser,80,160,524,30.5
27,T28,T28,Billy Andrade,100,159,621,25.6
28,T28,T28,Donnie Hammond,92,159,528,30.1
29,T28,T28,Chris Riley,96,159,554,28.7
30,T31,T31,Mark Calcavecchia,84,158,507,31.2
31,T31,T31,Glen Day,103,158,638,24.8
32,T31,T31,Neal Lancaster,110,158,634,24.9
33,34,34,Spike McRoy,103,157,565,27.8
34,T35,T35,Luke Donald,88,156,512,30.5
35,T35,T35,Carl Paulson,101,156,628,24.8
36,T35,T35,Vijay Singh,106,156,579,26.9
37,T38,T38,Todd Fischer,97,155,588,26.4
38,T38,T38,Fred Funk,112,155,599,25.9
39,T38,T38,J.L. Lewis,99,155,504,30.8
40,T41,T41,Brian Gay,100,154,598,25.8
41,T41,T41,Paul Goydos,86,154,562,27.4
42,T43,T43,Kenichi Kuboya,91,153,550,27.8
43,T43,T43,Scott Verplank,97,153,546,28.0
44,T45,T45,Ben Crane,94,152,548,27.7
45,T45,T45,Pat Perez,95,152,524,29.0
46,T47,T47,Chris DiMarco,98,151,522,28.9
47,T47,T47,Glen Hnatiuk,92,151,544,27.8
48,T47,T47,Shigeki Maruyama,87,151,471,32.1
49,T47,T47,Billy Mayfair,105,151,571,26.4
50,51,51,Dan Forsman,98,150,534,28.1
51,T52,T52,Jay Haas,89,149,506,29.4
52,T52,T52,Per-Ulrik Johansson,96,149,555,26.8
53,T52,T52,Len Mattiace,94,149,521,28.6
54,T52,T52,Carl Pettersson,80,149,504,29.6
55,T56,T56,Stephen Ames,91,148,563,26.3
56,T56,T56,Chad Campbell,105,148,530,27.9
57,T56,T56,Jerry Kelly,108,148,565,26.2
58,T59,T59,Chris Anderson,96,147,533,27.6
59,T59,T59,Craig Barlow,95,147,575,25.6
60,T59,T59,Cameron Beckman,86,147,522,28.2
61,T59,T59,Harrison Frazar,88,147,478,30.8
62,T59,T59,David Gossett,92,147,559,26.3
63,T59,T59,Kirk Triplett,92,147,499,29.5
64,T65,T65,Notah Begay III,92,146,542,26.9
65,T65,T65,J.J. Henry,100,146,537,27.2
66,67,67,Richard Johnson,89,145,523,27.7
67,68,68,Jesper Parnevik,102,144,533,27.0
68,T69,T69,Aaron Barber,94,143,535,26.7
69,T69,T69,Jonathan Byrd,101,143,548,26.1
70,T69,T69,Peter Lonard,96,143,491,29.1
71,T69,T69,Kevin Sutherland,97,143,464,30.8
72,73,73,David Frost,80,142,548,25.9
73,74,74,Rory Sabbatini,95,141,517,27.3
74,T75,T75,Stuart Appleby,90,140,499,28.1
75,T75,T75,Mark Brooks,90,140,504,27.8
76,T75,T75,Tom Byrum,97,140,547,25.6
77,T75,T75,Rod Pampling,87,140,491,28.5
78,T79,T79,K.J. Choi,112,137,541,25.3
79,T79,T79,Scott McCarron,86,137,434,31.6
80,T79,T79,Jay Williamson,93,137,555,24.7
81,T79,T79,Dean Wilson,82,137,518,26.4
82,T83,T83,Scott Laycock,71,136,410,33.2
