,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
0,1,1,Bob Estes,92,40.82,196,80
1,2,2,Tom Pernice Jr.,105,39.3,229,90
2,3,3,Steve Stricker,59,38.64,132,51
3,4,4,Paul Goydos,86,38.42,203,78
4,5,5,Carl Pettersson,80,38.25,183,70
5,6,6,Andy Miller,75,38.07,176,67
6,7,7,"Dave Stockton, Jr.",79,38.04,163,62
7,8,8,Todd Fischer,97,37.98,208,79
8,9,9,Duffy Waldorf,90,37.95,195,74
9,10,10,Paul Gow,62,37.89,161,61
10,11,11,Scott McCarron,86,37.82,156,59
11,12,12,Stephen Ames,91,37.33,217,81
12,13,13,Jay Haas,89,37.27,161,60
13,14,14,Mark Wilson,82,37.13,167,62
14,15,15,Brenden Pappas,105,36.84,228,84
15,16,16,Steve Lowery,86,36.46,181,66
16,17,17,Olin Browne,113,36.4,250,91
17,18,18,Craig Perks,82,36.36,165,60
18,19,19,Loren Roberts,87,36.24,149,54
19,20,20,Tiger Woods,74,36.17,141,51
20,21,21,Bob Tway,89,36.14,202,73
21,22,22,David Frost,80,36.06,208,75
22,23,23,Stewart Cink,104,35.95,242,87
23,24,24,Brian Henninger,56,35.92,142,51
24,25,25,Mark Calcavecchia,84,35.91,181,65
25,T26,T26,Greg Chalmers,98,35.89,248,89
26,T26,T26,Kenny Perry,98,35.89,209,75
27,28,28,Bernhard Langer,65,35.83,120,43
28,29,29,Chris Anderson,96,35.81,215,77
29,30,30,Kaname Yokoo,56,35.66,129,46
30,31,31,Pat Perez,95,35.55,211,75
31,32,32,Retief Goosen,69,35.45,110,39
32,33,33,Charles Howell III,120,35.44,237,84
33,34,34,Tim Petrovic,108,35.24,210,74
34,35,35,Billy Mayfair,105,35.23,193,68
35,36,36,Brian Bateman,70,35.06,154,54
36,37,37,Steven Alker,87,35.05,194,68
37,T38,T38,Phil Mickelson,87,35.03,157,55
38,T38,T38,Mike Weir,80,35.03,157,55
39,40,40,Brad Faxon,97,34.98,203,71
40,T41,T41,Fred Couples,71,34.74,95,33
41,T41,T41,Kirk Triplett,92,34.74,213,74
42,43,43,Tim Herron,102,34.73,239,83
