,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
0,1,1,Scott McCarron,86,84.06,69,58
1,2,2,Aaron Baddeley,71,83.87,62,52
2,3,3,Loren Roberts,87,83.08,65,54
3,4,4,Harrison Frazar,88,82.8,93,77
4,5,5,Brian Henninger,56,81.82,55,45
5,6,6,Esteban Toledo,109,81.61,87,71
6,7,7,Tom Pernice Jr.,105,81.25,112,91
7,8,8,Thomas Levet,85,80.88,68,55
8,9,9,K.J. Choi,112,80.65,93,75
9,10,10,Stuart Appleby,90,80.49,82,66
10,11,11,Matt Kuchar,63,80.36,56,45
11,T12,T12,Stewart Cink,104,80.22,91,73
12,T12,T12,Jay Haas,89,80.22,91,73
13,14,14,Skip Kendall,110,80.0,105,84
14,15,15,Jay Don Blake,77,79.37,63,50
15,16,16,Fred Funk,112,78.95,95,75
16,17,17,Deane Pappas,75,78.79,66,52
17,18,18,Shigeki Maruyama,87,78.75,80,63
18,T19,T19,Jason Gore,83,78.65,89,70
19,T19,T19,Richard Johnson,89,78.65,89,70
20,21,21,Jim Carter,95,78.64,103,81
21,22,22,Andy Miller,75,78.48,79,62
22,23,23,Chris Anderson,96,78.43,102,80
23,24,24,Davis Love III,85,78.33,60,47
24,25,25,Justin Leonard,80,78.26,69,54
25,26,26,Charles Howell III,120,78.16,87,68
26,27,27,Matt Gogel,77,77.94,68,53
27,28,28,Luke Donald,88,77.78,90,70
28,29,29,Kirk Triplett,92,77.65,85,66
29,30,30,Steven Alker,87,77.63,76,59
30,31,31,Ben Crane,94,77.53,89,69
31,T32,T32,Jason Caron,74,77.46,71,55
32,T32,T32,Dean Wilson,82,77.46,71,55
33,34,34,Kent Jones,74,77.42,62,48
34,35,35,Peter Lonard,96,77.38,84,65
35,36,36,José Coceres,62,77.36,53,41
36,37,37,Phil Mickelson,87,77.19,57,44
37,38,38,Paul Azinger,73,77.14,70,54
38,39,39,Spike McRoy,103,77.08,96,74
39,40,40,Doug Barron,90,77.0,100,77
40,41,41,John Huston,76,76.92,65,50
41,42,42,Aaron Barber,94,76.83,82,63
42,43,43,Glen Hnatiuk,92,76.71,73,56
43,44,44,Vijay Singh,106,76.47,85,65
44,45,45,Olin Browne,113,76.42,106,81
45,46,46,Dudley Hart,66,76.39,72,55
46,47,47,Patrick Sheehan,101,76.36,110,84
47,48,48,Chris DiMarco,98,76.34,93,71
48,T49,T49,Arron Oberholser,80,76.19,84,64
49,T49,T49,Mike Sposa,72,76.19,63,48
50,T49,T49,Kevin Sutherland,97,76.19,84,64
51,52,52,Rod Pampling,87,76.06,71,54
52,T53,T53,Darren Clarke,61,75.93,54,41
53,T53,T53,Ernie Els,65,75.93,54,41
54,55,55,Jonathan Byrd,101,75.86,87,66
55,T56,T56,Billy Andrade,100,75.76,99,75
56,T56,T56,Garrett Willis,97,75.76,99,75
57,58,58,Jeff Sluman,106,75.73,103,78
58,59,59,Dicky Pride,73,75.71,70,53
59,60,60,Mark Brooks,90,75.64,78,59
60,61,61,Tommy Armour III,66,75.51,49,37
61,62,62,Gavin Coles,69,75.41,61,46
62,63,63,Tom Byrum,97,75.29,85,64
63,T64,T64,David Gossett,92,75.0,84,63
64,T64,T64,Tim Herron,102,75.0,88,66
65,T64,T64,Bernhard Langer,65,75.0,40,30
66,T64,T64,David Toms,90,75.0,60,45
67,68,68,Mike Heinen,89,74.7,83,62
68,69,69,Andrew Magee,91,74.65,71,53
69,70,70,Steve Stricker,59,74.55,55,41
70,71,71,Donnie Hammond,92,74.44,90,67
71,72,72,Bob Estes,92,74.36,78,58
72,T73,T73,Len Mattiace,94,74.32,74,55
73,T73,T73,Brett Quigley,92,74.32,74,55
74,T75,T75,Joey Sindelar,93,74.12,85,63
75,T75,T75,Heath Slocum,101,74.12,85,63
76,77,77,Dan Forsman,98,74.07,81,60
77,T78,T78,Geoff Ogilvy,86,73.91,69,51
78,T78,T78,Anthony Painter,87,73.91,92,68
79,T78,T78,Nick Price,65,73.91,46,34
80,81,81,Brandt Jobe,77,73.86,88,65
81,82,82,Jason Buha,61,73.77,61,45
82,83,83,Chris Riley,96,73.75,80,59
83,84,84,Brenden Pappas,105,73.74,99,73
84,T85,T85,David Frost,80,73.68,76,56
85,T85,T85,Retief Goosen,69,73.68,57,42
86,T85,T85,Darron Stiles,93,73.68,95,70
87,88,88,Mark Calcavecchia,84,73.63,91,67
88,89,89,Carl Pettersson,80,73.61,72,53
89,90,90,Chris Smith,92,73.56,87,64
90,91,91,Billy Mayfair,105,73.47,98,72
91,92,92,Paul Goydos,86,73.42,79,58
92,93,93,Jeff Brehaut,110,73.39,124,91
93,94,94,Alex Cejka,98,73.33,90,66
94,95,95,Stephen Ames,91,73.27,101,74
95,96,96,John Rollins,89,73.21,56,41
96,T97,T97,Briny Baird,113,73.08,104,76
97,T97,T97,John Senden,111,73.08,104,76
98,99,99,Robert Gamez,114,72.97,111,81
99,100,100,Brian Bateman,70,72.86,70,51
100,101,101,Greg Chalmers,98,72.82,103,75
101,T102,T102,Joel Edwards,60,72.73,66,48
102,T102,T102,Kenny Perry,98,72.73,77,56
103,104,104,Hal Sutton,81,72.58,62,45
104,105,105,Pat Bates,111,72.55,102,74
105,106,106,Hank Kuehne,73,72.5,80,58
106,T107,T107,Per-Ulrik Johansson,96,72.22,90,65
107,T107,T107,Brent Schwarzrock,60,72.22,54,39
108,T109,T109,Glen Day,103,72.04,93,67
109,T109,T109,Frank Lickliter II,94,72.04,93,67
110,T111,T111,Steve Flesch,110,72.0,100,72
111,T111,T111,Paul Stankowski,67,72.0,75,54
112,113,113,Bob Tway,89,71.95,82,59
113,114,114,David Peoples,96,71.79,78,56
114,115,115,John Morgan,81,71.76,85,61
115,116,116,Michael Clark II,54,71.7,53,38
116,117,117,Hidemichi Tanaka,112,71.68,113,81
117,118,118,Duffy Waldorf,90,71.67,60,43
118,119,119,Craig Perks,82,71.62,74,53
119,T120,T120,Tim Clark,79,71.59,88,63
120,T120,T120,J.J. Henry,100,71.59,88,63
121,T122,T122,Robert Damron,96,71.43,98,70
122,T122,T122,Marco Dawson,86,71.43,56,40
123,T122,T122,Vance Veazey,66,71.43,56,40
124,T122,T122,Scott Verplank,97,71.43,91,65
125,126,126,Jeff Maggert,81,71.26,87,62
126,127,127,Cameron Beckman,86,71.25,80,57
127,128,128,Jim Furyk,104,71.21,66,47
128,129,129,John Daly,56,71.15,52,37
129,130,130,Notah Begay III,92,71.13,97,69
