,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Jay Haas,89,66.45,301,200
1,2,2,Olin Browne,113,66.02,359,237
2,3,3,Scott McCarron,86,65.93,270,178
3,4,4,Darren Clarke,61,65.87,167,110
4,5,5,Stephen Ames,91,64.76,332,215
5,6,6,Aaron Baddeley,71,64.44,225,145
6,7,7,John Huston,76,64.26,263,169
7,8,8,Brad Elder,51,63.98,161,103
8,T9,T9,Craig Perks,82,63.86,285,182
9,T9,T9,John Rollins,89,63.86,249,159
10,11,11,Paul Stankowski,67,63.85,260,166
11,12,12,David Frost,80,63.79,290,185
12,13,13,Matt Gogel,77,63.74,262,167
13,14,14,Tom Pernice Jr.,105,63.56,354,225
14,15,15,Kent Jones,74,63.41,276,175
15,16,16,Ben Crane,94,63.32,349,221
16,17,17,Brian Henninger,56,63.28,177,112
17,18,18,Stuart Appleby,90,63.21,299,189
18,19,19,Tim Herron,102,63.11,366,231
19,20,20,Shigeki Maruyama,87,63.04,303,191
20,21,21,Tom Byrum,97,62.99,335,211
21,T22,T22,Hank Kuehne,73,62.93,259,163
22,T22,T22,Brett Quigley,92,62.93,294,185
23,24,24,Chris DiMarco,98,62.87,307,193
24,25,25,Pat Perez,95,62.65,340,213
25,26,26,Len Mattiace,94,62.62,313,196
26,27,27,Greg Chalmers,98,62.6,369,231
27,28,28,Chris Riley,96,62.42,322,201
28,29,29,Scott Laycock,71,62.31,268,167
29,30,30,Geoff Ogilvy,86,62.22,270,168
30,31,31,Arron Oberholser,80,62.09,335,208
31,32,32,Andy Miller,75,62.08,269,167
32,33,33,Deane Pappas,75,61.96,276,171
33,34,34,Justin Leonard,80,61.92,260,161
34,35,35,Kirk Triplett,92,61.76,319,197
35,36,36,Donnie Hammond,92,61.75,366,226
36,37,37,Peter Lonard,96,61.68,321,198
37,38,38,Harrison Frazar,88,61.54,325,200
38,39,39,Matt Kuchar,63,61.5,213,131
39,40,40,Hal Sutton,81,61.45,275,169
40,41,41,Dean Wilson,82,61.32,287,176
41,42,42,Brandt Jobe,77,61.28,297,182
42,43,43,Jonathan Kaye,91,61.26,302,185
43,44,44,Heath Slocum,101,61.23,374,229
44,45,45,David Toms,90,61.15,260,159
45,46,46,Jason Buha,61,61.11,234,143
46,47,47,David Peoples,96,60.98,305,186
47,48,48,Dan Forsman,98,60.87,322,196
48,49,49,Steve Stricker,59,60.78,204,124
49,50,50,Steven Alker,87,60.71,280,170
50,51,51,Steve Flesch,110,60.68,412,250
51,52,52,Brad Faxon,97,60.63,287,174
52,53,53,Ben Curtis,69,60.61,264,160
53,54,54,Billy Andrade,100,60.58,345,209
54,55,55,Jeff Sluman,106,60.57,350,212
55,56,56,Fred Couples,71,60.47,172,104
56,57,57,John Senden,111,60.45,440,266
57,58,58,J.P. Hayes,79,60.37,270,163
58,T59,T59,Phil Mickelson,87,60.26,234,141
59,T59,T59,Kevin Sutherland,97,60.26,307,185
60,61,61,Skip Kendall,110,60.25,395,238
61,62,62,Mark Calcavecchia,84,60.24,337,203
62,63,63,Charles Howell III,120,60.23,347,209
63,64,64,Ernie Els,65,60.0,170,102
