,Putting_from_-__25_RANK THIS WEEK,Putting_from_-__25_RANK LAST WEEK,Putting_from_-__25_PLAYER NAME,Putting_from_-__25_ROUNDS,Putting_from_-__25_% MADE,Putting_from_-__25_ATTEMPTS,Putting_from_-__25_PUTTS MADE
0,1,1,Robert Damron,96,10.79,343,37
1,2,2,Loren Roberts,87,10.32,281,29
2,3,3,Ben Crane,94,10.18,334,34
3,4,4,Brad Faxon,97,9.8,306,30
4,5,5,Brad Elder,51,9.27,205,19
5,6,6,Tim Petrovic,108,9.12,373,34
6,7,7,David Frost,80,9.09,341,31
7,8,8,Peter Jacobsen,75,8.93,280,25
8,9,9,Cameron Beckman,86,8.89,315,28
9,10,10,Brett Quigley,92,8.81,352,31
10,11,11,Paul Gow,62,8.76,251,22
11,12,12,Lee Janzen,83,8.64,243,21
12,13,13,Brian Gay,100,8.55,339,29
13,14,14,Mark O'Meara,69,8.47,177,15
14,15,15,Geoff Ogilvy,86,8.39,310,26
15,16,16,Matt Gogel,77,8.36,287,24
16,17,17,Jay Haas,89,8.33,300,25
17,18,18,Carlos Franco,99,8.29,386,32
18,19,19,Mike Sposa,72,8.27,278,23
19,20,20,Todd Fischer,97,8.21,341,28
20,21,21,Briny Baird,113,8.18,489,40
21,22,22,Charles Howell III,120,8.13,418,34
22,23,23,Hidemichi Tanaka,112,8.1,420,34
23,T24,T24,Andrew Magee,91,8.09,346,28
24,T24,T24,John Rollins,89,8.09,235,19
25,26,26,Vijay Singh,106,8.07,322,26
26,T27,T27,Jim Furyk,104,8.04,311,25
27,T27,T27,Bernhard Langer,65,8.04,199,16
28,29,29,Billy Mayfair,105,8.02,424,34
29,30,30,Corey Pavin,88,7.97,276,22
30,31,31,Robert Gamez,114,7.95,365,29
31,32,32,Jeff Sluman,106,7.91,354,28
32,33,33,Carl Paulson,101,7.9,367,29
33,34,34,Skip Kendall,110,7.89,380,30
34,35,35,Anthony Painter,87,7.74,297,23
35,36,36,Chris Anderson,96,7.71,350,27
36,37,37,Jeff Klein,60,7.62,210,16
37,38,38,Patrick Sheehan,101,7.54,358,27
38,39,39,Chris Riley,96,7.47,241,18
39,40,40,J.J. Henry,100,7.44,457,34
40,41,41,Glen Day,103,7.43,350,26
41,42,42,Chad Campbell,105,7.38,325,24
42,43,43,Michael Clark II,54,7.34,218,16
43,T44,T44,Marco Dawson,86,7.27,289,21
44,T44,T44,Rory Sabbatini,95,7.27,275,20
45,46,46,John Maginnes,87,7.24,290,21
46,T47,T47,Greg Chalmers,98,7.23,346,25
47,T47,T47,Steve Flesch,110,7.23,429,31
48,T47,T47,Bob Tway,89,7.23,346,25
49,50,50,Billy Andrade,100,7.2,347,25
50,51,51,Dean Wilson,82,7.19,292,21
51,52,52,Jay Don Blake,77,7.17,265,19
52,T53,T53,Chris DiMarco,98,7.12,281,20
53,T53,T53,Mike Heinen,89,7.12,365,26
54,T53,T53,Jesper Parnevik,102,7.12,379,27
55,T53,T53,Kirk Triplett,92,7.12,323,23
56,57,57,Phil Mickelson,87,7.11,211,15
57,58,58,Stephen Ames,91,7.08,339,24
58,59,59,J.P. Hayes,79,7.02,242,17
59,60,60,Cameron Yancey,58,7.0,200,14
60,61,61,David Toms,90,6.99,272,19
61,62,62,Richard Johnson,89,6.98,315,22
62,63,63,Fred Couples,71,6.95,187,13
63,64,64,Deane Pappas,75,6.92,260,18
64,65,65,Aaron Baddeley,71,6.9,232,16
65,66,66,Matt Kuchar,63,6.83,249,17
66,67,67,Jonathan Byrd,101,6.81,323,22
67,68,68,Tom Byrum,97,6.78,354,24
68,T69,T69,Paul Goydos,86,6.76,281,19
69,T69,T69,Nick Price,65,6.76,207,14
70,71,71,Davis Love III,85,6.75,237,16
71,72,72,Jerry Kelly,108,6.74,371,25
72,73,73,Jason Gore,83,6.71,313,21
73,74,74,Kenichi Kuboya,91,6.69,314,21
74,75,75,Shaun Micheel,97,6.65,406,27
75,76,76,Tommy Armour III,66,6.61,257,17
76,77,77,Shigeki Maruyama,87,6.57,274,18
77,78,78,Justin Leonard,80,6.56,244,16
78,T79,T79,Ben Curtis,69,6.51,261,17
79,T79,T79,Ty Tryon,52,6.51,169,11
80,81,81,Brenden Pappas,105,6.49,385,25
81,T82,T82,Kent Jones,74,6.47,278,18
82,T82,T82,Mike Weir,80,6.47,232,15
83,84,84,Sergio Garcia,62,6.45,155,10
84,85,85,Joe Durant,96,6.42,327,21
85,86,86,Tom Lehman,87,6.34,268,17
86,87,87,Jim Carter,95,6.27,367,23
87,T88,T88,Jason Buha,61,6.25,240,15
88,T88,T88,Dudley Hart,66,6.25,224,14
89,90,90,Tim Herron,102,6.2,371,23
90,91,91,Gene Sauers,87,6.19,323,20
91,92,92,Tom Pernice Jr.,105,6.17,373,23
92,93,93,David Sutherland,77,6.14,293,18
93,94,94,Garrett Willis,97,6.13,359,22
94,95,95,John Morgan,81,6.12,294,18
95,96,96,Jason Caron,74,6.08,296,18
96,97,97,Tom Gillis,71,6.05,248,15
97,98,98,Heath Slocum,101,6.03,431,26
98,T99,T99,Fred Funk,112,6.01,366,22
99,T99,T99,Vance Veazey,66,6.01,233,14
100,101,101,Donnie Hammond,92,6.0,350,21
101,T102,T102,Aaron Barber,94,5.98,351,21
102,T102,T102,Mike Grob,83,5.98,351,21
103,T102,T102,Rod Pampling,87,5.98,251,15
104,T105,T105,Chris Smith,92,5.97,352,21
105,T105,T105,Esteban Toledo,109,5.97,419,25
106,107,107,Luke Donald,88,5.96,319,19
107,108,108,Spike McRoy,103,5.92,439,26
108,109,109,Akio Sadakata,83,5.86,273,16
109,110,110,Craig Barlow,95,5.83,360,21
110,111,111,Brian Bateman,70,5.8,276,16
111,112,112,Hank Kuehne,73,5.78,277,16
112,113,113,Woody Austin,107,5.76,347,20
113,T114,T114,Mark Calcavecchia,84,5.67,247,14
114,T114,T114,K.J. Choi,112,5.67,388,22
115,116,116,Steve Allan,53,5.64,195,11
116,117,117,Kevin Sutherland,97,5.61,285,16
117,118,118,Hal Sutton,81,5.59,304,17
118,119,119,Olin Browne,113,5.58,430,24
119,120,120,Retief Goosen,69,5.56,180,10
120,121,121,David Gossett,92,5.54,361,20
121,T122,T122,Ernie Els,65,5.49,182,10
122,T122,T122,Mathew Goggin,90,5.49,328,18
123,124,124,Alex Cejka,98,5.48,310,17
124,T125,T125,Brandt Jobe,77,5.47,329,18
125,T125,T125,Jonathan Kaye,91,5.47,329,18
126,T127,T127,José Coceres,62,5.45,202,11
127,T127,T127,Dicky Pride,73,5.45,257,14
128,129,129,Todd Barranger,78,5.42,240,13
129,T130,T130,Stewart Cink,104,5.41,333,18
130,T130,T130,Brent Geiberger,51,5.41,222,12
131,132,132,Pat Perez,95,5.4,315,17
132,T133,T133,Kenny Perry,98,5.38,316,17
133,T133,T133,"Dave Stockton, Jr.",79,5.38,260,14
134,135,135,Duffy Waldorf,90,5.37,298,16
135,136,136,Arron Oberholser,80,5.35,299,16
136,137,137,Paul Azinger,73,5.28,265,14
137,138,138,Scott Laycock,71,5.26,228,12
138,T139,T139,J.L. Lewis,99,5.25,324,17
139,T139,T139,Scott Verplank,97,5.25,305,16
140,141,141,Jeff Brehaut,110,5.23,459,24
141,142,142,Andy Miller,75,5.19,270,14
142,143,143,Notah Begay III,92,5.15,330,17
143,144,144,Frank Lickliter II,94,5.14,311,16
144,145,145,Paul Stankowski,67,5.13,234,12
145,146,146,David Peoples,96,5.1,392,20
146,147,147,Peter Lonard,96,5.05,317,16
147,T148,T148,Mark Brooks,90,5.04,278,14
148,T148,T148,Joel Edwards,60,5.04,258,13
149,T150,T150,John Riegger,55,5.03,179,9
150,T150,T150,Steve Stricker,59,5.03,199,10
151,152,152,Steven Alker,87,5.0,300,15
152,153,153,Scott McCarron,86,4.96,262,13
153,T154,T154,Bob Estes,92,4.95,283,14
154,T154,T154,Thomas Levet,85,4.95,323,16
155,156,156,John Huston,76,4.94,243,12
156,T157,T157,Jeff Maggert,81,4.91,265,13
157,T157,T157,Carl Pettersson,80,4.91,285,14
158,T159,T159,Rich Beem,80,4.88,246,12
159,T159,T159,Darron Stiles,93,4.88,287,14
160,161,161,Bob Burns,88,4.85,268,13
161,162,162,Tiger Woods,74,4.83,207,10
162,163,163,John Daly,56,4.82,166,8
163,164,164,Harrison Frazar,88,4.8,333,16
164,165,165,John Senden,111,4.75,463,22
165,166,166,Robert Allenby,87,4.71,255,12
166,T167,T167,Len Mattiace,94,4.69,320,15
167,T167,T167,Adam Scott,52,4.69,128,6
168,169,169,Per-Ulrik Johansson,96,4.67,364,17
169,T170,T170,Tim Clark,79,4.56,241,11
170,T170,T170,Cliff Kresge,102,4.56,329,15
171,172,172,Steve Lowery,86,4.53,265,12
172,173,173,Pat Bates,111,4.46,404,18
173,174,174,Darren Clarke,61,4.4,182,8
174,175,175,Dan Forsman,98,4.39,410,18
175,176,176,Kenneth Staton,59,4.37,252,11
176,177,177,Neal Lancaster,110,4.36,436,19
177,T178,T178,Stuart Appleby,90,4.18,263,11
178,T178,T178,Mark Wilson,82,4.18,311,13
179,180,180,Rocco Mediate,80,4.1,244,10
180,181,181,Glen Hnatiuk,92,4.09,342,14
181,T182,T182,Jay Williamson,93,4.08,319,13
182,T182,T182,Kaname Yokoo,56,4.08,196,8
183,184,184,Craig Perks,82,3.95,253,10
184,185,185,Doug Barron,90,3.62,304,11
185,186,186,Brent Schwarzrock,60,3.6,222,8
186,187,187,Joey Sindelar,93,3.42,351,12
187,188,188,Brian Henninger,56,3.35,209,7
188,189,189,Gavin Coles,69,3.27,214,7
189,190,190,Ian Leggatt,71,2.76,254,7
