,Putts_per_Round_-_Round_4_RANK THIS WEEK,Putts_per_Round_-_Round_4_RANK LAST WEEK,Putts_per_Round_-_Round_4_PLAYER NAME,Putts_per_Round_-_Round_4_AVG,Putts_per_Round_-_Round_4_TOTAL PUTTS,Putts_per_Round_-_Round_4_TOTAL ROUNDS
0,1,1,Jay Haas,27.22,490,18
1,2,2,Steve Stricker,27.38,219,8
2,3,3,Chris Riley,27.53,468,17
3,4,4,Dean Wilson,27.54,358,13
4,5,5,Kaname Yokoo,27.6,138,5
5,6,6,Deane Pappas,27.62,359,13
6,T7,T7,Jonathan Byrd,27.71,582,21
7,T7,T7,Scott McCarron,27.71,388,14
8,T9,T9,Michael Clark II,27.8,139,5
9,T9,T9,John Riegger,27.8,278,10
10,11,11,Geoff Ogilvy,27.87,418,15
11,12,12,John Rollins,27.88,446,16
12,13,13,Skip Kendall,27.92,670,24
13,14,14,Mike Weir,27.94,503,18
14,15,15,Brad Faxon,27.95,587,21
15,T16,T16,Doug Barron,28.0,336,12
16,T16,T16,Ben Crane,28.0,532,19
17,T16,T16,John Huston,28.0,448,16
18,T19,T19,Stuart Appleby,28.06,477,17
19,T19,T19,Paul Goydos,28.06,477,17
20,T19,T19,Davis Love III,28.06,505,18
21,T19,T19,Patrick Sheehan,28.06,505,18
22,23,23,John Morgan,28.09,309,11
23,T24,T24,Loren Roberts,28.1,562,20
24,T24,T24,Adam Scott,28.1,281,10
25,26,26,Todd Fischer,28.13,422,15
26,T27,T27,Jason Caron,28.14,197,7
27,T27,T27,J.P. Hayes,28.14,394,14
28,T29,T29,Ben Curtis,28.15,366,13
29,T29,T29,Tom Pernice Jr.,28.15,563,20
30,31,31,Kent Jones,28.17,338,12
31,T32,T32,Notah Begay III,28.2,423,15
32,T32,T32,Scott Laycock,28.2,282,10
33,T32,T32,Mike Sposa,28.2,282,10
34,35,35,Dicky Pride,28.23,367,13
35,T36,T36,Greg Chalmers,28.24,480,17
36,T36,T36,Chris DiMarco,28.24,593,21
37,T38,T38,Paul Stankowski,28.25,339,12
38,T38,T38,Ty Tryon,28.25,113,4
39,40,40,David Frost,28.27,424,15
40,T41,T41,Dan Forsman,28.29,594,21
41,T41,T41,Carl Pettersson,28.29,396,14
42,43,43,Mark Wilson,28.3,283,10
43,44,44,Brian Henninger,28.36,312,11
44,45,45,Stephen Ames,28.37,539,19
45,46,46,"Dave Stockton, Jr.",28.38,227,8
46,T47,T47,Rod Pampling,28.4,426,15
47,T47,T47,Vijay Singh,28.4,710,25
48,49,49,John Daly,28.43,199,7
49,T50,T50,Robert Gamez,28.44,711,25
50,T50,T50,Per-Ulrik Johansson,28.44,455,16
51,52,52,Mark Brooks,28.5,399,14
52,53,53,Tim Herron,28.52,599,21
53,54,54,Arron Oberholser,28.53,428,15
54,55,55,Glen Day,28.55,571,20
55,T56,T56,Paul Gow,28.56,257,9
56,T56,T56,Corey Pavin,28.56,514,18
57,58,58,Luke Donald,28.59,486,17
58,59,59,Mike Heinen,28.6,429,15
59,60,60,Hank Kuehne,28.62,372,13
60,T61,T61,Thomas Levet,28.63,458,16
61,T61,T61,Brenden Pappas,28.63,544,19
62,63,63,Stewart Cink,28.64,630,22
63,T64,T64,Jim Furyk,28.67,688,24
64,T64,T64,Brian Gay,28.67,430,15
65,T64,T64,Billy Mayfair,28.67,602,21
66,T67,T67,Robert Damron,28.69,459,16
67,T67,T67,Dudley Hart,28.69,373,13
68,69,69,Heath Slocum,28.72,517,18
69,T70,T70,Tim Clark,28.73,431,15
70,T70,T70,Scott Verplank,28.73,632,22
71,72,72,Neal Lancaster,28.75,575,20
72,73,73,Aaron Baddeley,28.8,432,15
73,74,74,Justin Leonard,28.81,461,16
74,T75,T75,Jason Gore,28.83,346,12
75,T75,T75,David Peoples,28.83,519,18
76,T75,T75,Brett Quigley,28.83,519,18
77,T78,T78,Steve Allan,28.86,202,7
78,T78,T78,Todd Barranger,28.86,202,7
79,T78,T78,Kenneth Staton,28.86,202,7
