,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,John Huston,76,1.713,1591,929,33.87,T20
1,2,2,Justin Leonard,80,1.7180000000000002,1508,878,33.03,100
2,T3,T3,Aaron Baddeley,71,1.723,1258,730,34.8,183
3,T3,T3,Chris DiMarco,98,1.723,1935,1123,33.75,61
4,T5,T5,Stewart Cink,104,1.7280000000000002,2029,1174,32.96,98
5,T5,T5,Paul Goydos,86,1.7280000000000002,1664,963,32.22,T114
6,T7,T7,David Frost,80,1.729,1556,900,31.14,151
7,T7,T7,Scott Verplank,97,1.729,2014,1165,32.62,T53
8,9,9,Greg Chalmers,98,1.7309999999999999,1823,1053,32.79,174
9,10,10,Tiger Woods,74,1.732,1455,840,35.05,26
10,11,11,Mike Weir,80,1.733,1541,889,32.66,85
11,T12,T12,Glen Day,103,1.735,2118,1221,30.95,46
12,T12,T12,Skip Kendall,110,1.735,2257,1301,31.21,72
13,T14,T14,Jim Furyk,104,1.736,2218,1278,31.08,6
14,T14,T14,Phil Mickelson,87,1.736,1601,922,34.2,T108
15,T16,T16,Robert Gamez,114,1.74,2359,1356,33.65,T67
16,T16,T16,J.P. Hayes,79,1.74,1630,937,30.7,83
17,T18,T18,Scott McCarron,86,1.7409999999999999,1612,926,33.48,144
18,T18,T18,Vijay Singh,106,1.7409999999999999,2199,1263,35.21,12
19,T20,T20,Rod Pampling,87,1.742,1698,975,32.82,79
20,T20,T20,Deane Pappas,75,1.742,1413,811,33.79,170
21,T22,T22,Stephen Ames,91,1.743,1905,1093,33.0,T34
22,T22,T22,Todd Fischer,97,1.743,1888,1083,30.75,148
23,T22,T22,Tim Petrovic,108,1.743,2119,1216,31.46,92
24,25,25,Chris Riley,96,1.744,1739,997,31.86,176
25,T26,T26,Fred Couples,71,1.745,1347,772,33.55,127
26,T26,T26,Jay Haas,89,1.745,1679,962,30.66,117
27,T26,T26,Tim Herron,102,1.745,2047,1173,32.79,T87
28,T26,T26,Carl Pettersson,80,1.745,1586,909,32.01,T128
29,T30,T30,Billy Andrade,100,1.7469999999999999,1995,1142,31.64,124
30,T30,T30,Mark Calcavecchia,84,1.7469999999999999,1691,968,33.75,126
31,T30,T30,Brent Geiberger,51,1.7469999999999999,1038,594,31.81,111
