,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Skip Kendall,110,347,666,52.1
1,2,2,Neal Lancaster,110,344,634,54.3
2,3,3,Robert Gamez,114,341,674,50.6
3,4,4,Carl Paulson,101,331,628,52.7
4,5,5,Esteban Toledo,109,330,651,50.7
5,6,6,Hidemichi Tanaka,112,328,668,49.1
6,7,7,Patrick Sheehan,101,326,640,50.9
7,8,8,Steve Flesch,110,322,644,50.0
8,9,9,Pat Bates,111,321,634,50.6
9,10,10,Garrett Willis,97,318,630,50.5
10,T11,T11,Olin Browne,113,317,648,48.9
11,T11,T11,Stewart Cink,104,317,630,50.3
12,T11,T11,Glen Day,103,317,638,49.7
13,14,14,Tim Petrovic,108,315,613,51.4
14,15,15,Fred Funk,112,306,599,51.1
15,T16,T16,Greg Chalmers,98,301,636,47.3
16,T16,T16,Vijay Singh,106,301,579,52.0
17,18,18,Craig Barlow,95,299,575,52.0
18,19,19,Brian Gay,100,298,598,49.8
19,T20,T20,Woody Austin,107,296,606,48.8
20,T20,T20,Tom Pernice Jr.,105,296,618,47.9
21,T22,T22,Billy Andrade,100,294,621,47.3
22,T22,T22,Todd Fischer,97,294,588,50.0
23,T24,T24,Jeff Brehaut,110,292,596,49.0
24,T24,T24,Jerry Kelly,108,292,565,51.7
25,26,26,Heath Slocum,101,291,602,48.3
26,T27,T27,David Gossett,92,290,559,51.9
27,T27,T27,Per-Ulrik Johansson,96,290,555,52.3
28,T27,T27,Jay Williamson,93,290,555,52.3
29,30,30,Tim Herron,102,289,609,47.5
30,31,31,John Senden,111,288,612,47.1
31,32,32,David Peoples,96,287,554,51.8
32,33,33,Chris Riley,96,283,554,51.1
33,34,34,Glen Hnatiuk,92,282,544,51.8
34,T35,T35,Jonathan Byrd,101,281,548,51.3
35,T35,T35,Brenden Pappas,105,281,606,46.4
36,T37,T37,Notah Begay III,92,280,542,51.7
37,T37,T37,Corey Pavin,88,280,521,53.7
38,T39,T39,Mark Brooks,90,279,504,55.4
39,T39,T39,Jim Carter,95,279,565,49.4
40,T39,T39,Robert Damron,96,279,579,48.2
41,T39,T39,Carlos Franco,99,279,553,50.5
42,43,43,Andrew Magee,91,276,525,52.6
43,T44,T44,Stephen Ames,91,275,563,48.8
44,T44,T44,Charles Howell III,120,275,589,46.7
45,T44,T44,Cliff Kresge,102,275,563,48.8
46,T44,T44,Billy Mayfair,105,275,571,48.2
47,48,48,Frank Lickliter II,94,274,528,51.9
48,49,49,Briny Baird,113,273,602,45.3
49,50,50,K.J. Choi,112,269,541,49.7
50,51,51,Aaron Barber,94,268,535,50.1
51,T52,T52,Bob Estes,92,267,500,53.4
52,T52,T52,Len Mattiace,94,267,521,51.2
53,54,54,Rory Sabbatini,95,266,517,51.5
54,T55,T55,Kenichi Kuboya,91,265,550,48.2
55,T55,T55,Arron Oberholser,80,265,524,50.6
56,T55,T55,Scott Verplank,97,265,546,48.5
57,T58,T58,Steven Alker,87,264,490,53.9
58,T58,T58,Joey Sindelar,93,264,516,51.2
59,60,60,Jeff Sluman,106,262,559,46.9
60,61,61,Mark Wilson,82,261,472,55.3
61,T62,T62,Jim Furyk,104,260,532,48.9
62,T62,T62,Paul Goydos,86,260,562,46.3
63,T64,T64,Chris Anderson,96,259,533,48.6
64,T64,T64,Anthony Painter,87,259,511,50.7
65,T64,T64,Brett Quigley,92,259,538,48.1
66,T67,T67,J.J. Henry,100,258,537,48.0
67,T67,T67,Richard Johnson,89,258,523,49.3
68,T67,T67,Gene Sauers,87,258,468,55.1
69,70,70,Dean Wilson,82,257,518,49.6
70,T71,T71,Tom Byrum,97,256,547,46.8
71,T71,T71,Donnie Hammond,92,256,528,48.5
72,T71,T71,Spike McRoy,103,256,565,45.3
73,T71,T71,Jesper Parnevik,102,256,533,48.0
74,T75,T75,Todd Barranger,78,255,465,54.8
75,T75,T75,Doug Barron,90,255,558,45.7
76,T75,T75,Alex Cejka,98,255,487,52.4
77,78,78,Ben Crane,94,252,548,46.0
78,79,79,Dan Forsman,98,250,534,46.8
79,T80,T80,David Frost,80,249,548,45.4
80,T80,T80,Shaun Micheel,97,249,509,48.9
81,82,82,Geoff Ogilvy,86,248,500,49.6
82,T83,T83,Chad Campbell,105,246,530,46.4
83,T83,T83,Chris DiMarco,98,246,522,47.1
84,T83,T83,Pat Perez,95,246,524,46.9
85,T86,T86,Mark Calcavecchia,84,245,507,48.3
86,T86,T86,Rod Pampling,87,245,491,49.9
87,T86,T86,Deane Pappas,75,245,483,50.7
88,89,89,Jason Gore,83,244,491,49.7
89,T90,T90,Luke Donald,88,243,512,47.5
90,T90,T90,Peter Lonard,96,243,491,49.5
91,T92,T92,J.L. Lewis,99,242,504,48.0
92,T92,T92,John Maginnes,87,242,464,52.2
93,T94,T94,Joe Durant,96,241,488,49.4
94,T94,T94,Bob Tway,89,241,503,47.9
95,T96,T96,Mike Heinen,89,239,503,47.5
96,T96,T96,John Morgan,81,239,469,51.0
97,T98,T98,Stuart Appleby,90,238,499,47.7
98,T98,T98,Cameron Beckman,86,238,522,45.6
99,T98,T98,Brad Faxon,97,238,526,45.2
100,T101,T101,Mathew Goggin,90,234,456,51.3
101,T101,T101,Darron Stiles,93,234,504,46.4
102,T103,T103,Marco Dawson,86,233,440,53.0
103,T103,T103,Jay Haas,89,233,506,46.0
104,105,105,Justin Leonard,80,231,454,50.9
105,T106,T106,Jason Caron,74,230,421,54.6
106,T106,T106,Carl Pettersson,80,230,504,45.6
107,T108,T108,Jonathan Kaye,91,229,457,50.1
108,T108,T108,Andy Miller,75,229,453,50.6
109,T108,T108,Duffy Waldorf,90,229,469,48.8
