,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Adam Scott,52,100.0,16,16
1,2,2,Marco Dawson,86,97.22,36,35
2,3,3,Matt Kuchar,63,96.97,33,32
3,4,4,John Rollins,89,96.67,30,29
4,5,5,Cameron Yancey,58,95.65,23,22
5,6,6,Ben Crane,94,95.45,44,42
6,7,7,Brenden Pappas,105,95.35,43,41
7,8,8,Steve Flesch,110,94.44,54,51
8,9,9,Dicky Pride,73,94.29,35,33
9,10,10,Joel Edwards,60,94.12,17,16
10,11,11,Justin Leonard,80,93.55,31,29
11,T12,T12,Mark Calcavecchia,84,93.33,30,28
12,T12,T12,Brent Geiberger,51,93.33,15,14
13,14,14,Kevin Sutherland,97,93.02,43,40
14,15,15,Rod Pampling,87,92.86,42,39
15,T16,T16,Glen Day,103,92.31,65,60
16,T16,T16,Cliff Kresge,102,92.31,39,36
17,18,18,Dan Forsman,98,92.11,38,35
18,T19,T19,Tommy Armour III,66,91.67,36,33
19,T19,T19,Jay Haas,89,91.67,36,33
20,T19,T19,Hank Kuehne,73,91.67,48,44
21,22,22,Bob Estes,92,91.49,47,43
22,23,23,Mark O'Meara,69,91.43,35,32
23,24,24,Tom Pernice Jr.,105,91.3,46,42
24,25,25,Kent Jones,74,91.18,34,31
25,T26,T26,David Peoples,96,90.91,44,40
26,T26,T26,Garrett Willis,97,90.91,44,40
27,28,28,Briny Baird,113,90.57,53,48
28,29,29,Stephen Ames,91,90.2,51,46
29,T30,T30,Peter Jacobsen,75,90.0,30,27
30,T30,T30,Darron Stiles,93,90.0,40,36
31,T30,T30,Esteban Toledo,109,90.0,60,54
32,33,33,Andy Miller,75,89.66,29,26
33,34,34,Jim Carter,95,89.47,38,34
34,35,35,Greg Chalmers,98,89.13,46,41
35,T36,T36,Darren Clarke,61,88.89,18,16
36,T36,T36,Ernie Els,65,88.89,27,24
37,T36,T36,David Frost,80,88.89,27,24
38,39,39,Mark Brooks,90,88.68,53,47
39,40,40,Tiger Woods,74,88.64,44,39
40,41,41,Len Mattiace,94,88.57,35,31
41,T42,T42,Olin Browne,113,88.46,52,46
42,T42,T42,Retief Goosen,69,88.46,26,23
43,T44,T44,Luke Donald,88,88.37,43,38
44,T44,T44,Brandt Jobe,77,88.37,43,38
45,46,46,Jesper Parnevik,102,88.24,34,30
46,T47,T47,Chad Campbell,105,88.0,50,44
47,T47,T47,Carl Pettersson,80,88.0,25,22
48,T49,T49,Tim Clark,79,87.88,33,29
49,T49,T49,Jonathan Kaye,91,87.88,33,29
50,T51,T51,Aaron Barber,94,87.8,41,36
51,T51,T51,Patrick Sheehan,101,87.8,41,36
52,T53,T53,Billy Andrade,100,87.5,48,42
53,T53,T53,Hal Sutton,81,87.5,32,28
54,T53,T53,Scott Verplank,97,87.5,48,42
55,56,56,Arron Oberholser,80,87.1,31,27
56,57,57,Phil Mickelson,87,86.67,30,26
57,T58,T58,Alex Cejka,98,86.49,37,32
58,T58,T58,Paul Goydos,86,86.49,37,32
59,T58,T58,Frank Lickliter II,94,86.49,37,32
60,61,61,Vijay Singh,106,86.44,59,51
61,62,62,Jeff Maggert,81,86.36,44,38
62,T63,T63,Stewart Cink,104,86.21,58,50
63,T63,T63,Matt Gogel,77,86.21,29,25
64,T63,T63,Brian Henninger,56,86.21,29,25
