,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Brad Faxon,97,9.86,284,28
1,2,2,Loren Roberts,87,9.63,270,26
2,3,3,Ben Crane,94,9.06,309,28
3,4,4,Brad Elder,51,8.95,190,17
4,5,5,Robert Damron,96,8.92,314,28
5,6,6,David Frost,80,8.89,315,28
6,7,7,Tim Petrovic,108,8.88,349,31
7,8,8,Brett Quigley,92,8.67,323,28
8,9,9,Paul Gow,62,8.37,227,19
9,10,10,Peter Jacobsen,75,8.33,264,22
10,T11,T11,Cameron Beckman,86,8.28,290,24
11,T11,T11,Brian Gay,100,8.28,314,26
12,T13,T13,Lee Janzen,83,8.14,221,18
13,T13,T13,John Rollins,89,8.14,221,18
14,15,15,Jim Furyk,104,8.05,298,24
15,16,16,Robert Gamez,114,7.98,326,26
16,17,17,Geoff Ogilvy,86,7.77,283,22
17,18,18,Vijay Singh,106,7.72,311,24
18,T19,T19,Todd Fischer,97,7.69,312,24
19,T19,T19,Phil Mickelson,87,7.69,195,15
20,21,21,Andrew Magee,91,7.67,326,25
21,22,22,Billy Mayfair,105,7.52,399,30
22,23,23,Carlos Franco,99,7.5,360,27
23,24,24,Charles Howell III,120,7.49,387,29
24,T25,T25,Chris Anderson,96,7.45,322,24
25,T25,T25,Bob Tway,89,7.45,322,24
26,27,27,Michael Clark II,54,7.43,202,15
27,28,28,Briny Baird,113,7.38,447,33
28,29,29,Carl Paulson,101,7.31,342,25
29,30,30,Stephen Ames,91,7.3,315,23
30,T31,T31,Skip Kendall,110,7.23,346,25
31,T31,T31,Mike Sposa,72,7.23,249,18
32,33,33,Jay Don Blake,77,7.2,236,17
33,34,34,Kenichi Kuboya,91,7.19,292,21
34,35,35,Glen Day,103,7.12,337,24
35,36,36,Richard Johnson,89,7.02,299,21
36,37,37,Rory Sabbatini,95,7.0,257,18
37,38,38,Matt Gogel,77,6.98,258,18
38,39,39,Kent Jones,74,6.95,259,18
39,40,40,John Maginnes,87,6.92,260,18
40,T41,T41,Aaron Baddeley,71,6.91,217,15
41,T41,T41,Patrick Sheehan,101,6.91,333,23
42,T41,T41,Mike Weir,80,6.91,217,15
43,44,44,Anthony Painter,87,6.9,261,18
44,45,45,Brenden Pappas,105,6.88,349,24
45,46,46,Chris Riley,96,6.85,219,15
46,T47,T47,Chad Campbell,105,6.84,307,21
47,T47,T47,Kirk Triplett,92,6.84,307,21
48,49,49,Corey Pavin,88,6.82,264,18
49,50,50,Deane Pappas,75,6.81,235,16
50,T51,T51,J.J. Henry,100,6.76,429,29
51,T51,T51,Mark O'Meara,69,6.76,148,10
52,T51,T51,Jesper Parnevik,102,6.76,355,24
53,54,54,Tom Lehman,87,6.69,254,17
54,T55,T55,Bernhard Langer,65,6.67,180,12
55,T55,T55,Jeff Sluman,106,6.67,330,22
56,57,57,Mike Heinen,89,6.63,332,22
