,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Aaron Baddeley,71,47.37,162,342
1,2,2,Justin Leonard,80,44.71,169,378
2,T3,T3,Jason Gore,83,44.44,232,522
3,T3,T3,Mike Weir,80,44.44,152,342
4,5,5,David Frost,80,43.75,189,432
5,6,6,Loren Roberts,87,43.24,179,414
6,7,7,Fred Couples,71,43.14,132,306
7,8,8,Doug Barron,90,43.01,240,558
8,9,9,Deane Pappas,75,43.0,178,414
9,10,10,John Huston,76,42.93,170,396
10,11,11,Anthony Painter,87,42.59,230,540
11,12,12,Kenichi Kuboya,91,42.41,229,540
12,13,13,Paul Goydos,86,42.36,183,432
13,14,14,Paul Azinger,73,42.22,190,450
14,15,15,Carl Paulson,101,42.11,235,558
15,T16,T16,Todd Fischer,97,41.94,234,558
16,T16,T16,Garrett Willis,97,41.94,234,558
17,18,18,Todd Barranger,78,41.85,226,540
18,19,19,Geoff Ogilvy,86,41.78,188,450
19,20,20,Billy Andrade,100,41.76,218,522
20,21,21,Tom Pernice Jr.,105,41.3,223,540
21,22,22,Phil Mickelson,87,41.27,156,378
22,23,23,Kevin Sutherland,97,41.24,193,468
23,24,24,Patrick Sheehan,101,41.22,230,558
24,25,25,Jim Carter,95,41.15,237,576
25,26,26,Bernhard Langer,65,41.11,148,360
26,27,27,Billy Mayfair,105,41.04,229,558
27,28,28,Jerry Kelly,108,41.0,214,522
28,T29,T29,Matt Gogel,77,40.97,177,432
29,T29,T29,Corey Pavin,88,40.97,177,432
30,T31,T31,Craig Perks,82,40.95,199,486
31,T31,T31,Chris Riley,96,40.95,199,486
32,33,33,Rod Pampling,87,40.81,191,468
33,34,34,José Coceres,62,40.74,154,378
34,35,35,Stephen Ames,91,40.67,183,450
35,36,36,Brad Elder,51,40.64,139,342
36,37,37,Nick Price,65,40.63,117,288
37,38,38,Charles Howell III,120,40.61,212,522
38,39,39,Olin Browne,113,40.57,241,594
39,T40,T40,Greg Chalmers,98,40.56,219,540
40,T40,T40,Pat Perez,95,40.56,219,540
41,42,42,David Toms,90,40.34,167,414
42,43,43,Stewart Cink,104,40.33,196,486
43,T44,T44,Mark Calcavecchia,84,40.28,174,432
44,T44,T44,Richard Johnson,89,40.28,203,504
45,46,46,Carl Pettersson,80,40.22,181,450
46,47,47,Brett Quigley,92,40.17,188,468
47,48,48,Cameron Yancey,58,40.15,159,396
48,49,49,Frank Lickliter II,94,40.04,209,522
49,T50,T50,Chris DiMarco,98,40.0,180,450
50,T50,T50,Scott McCarron,86,40.0,180,450
51,T50,T50,Andy Miller,75,40.0,180,450
52,T50,T50,Arron Oberholser,80,40.0,180,450
53,T54,T54,Ben Crane,94,39.96,187,468
54,T54,T54,Jim Furyk,104,39.96,187,468
55,T54,T54,Cliff Kresge,102,39.96,223,558
56,T54,T54,Rory Sabbatini,95,39.96,187,468
57,58,58,Brent Geiberger,51,39.93,115,288
58,59,59,Craig Barlow,95,39.88,201,504
59,60,60,Bob Tway,89,39.78,179,450
60,61,61,Rocco Mediate,80,39.61,164,414
61,62,62,Mike Sposa,72,39.58,171,432
62,63,63,Scott Verplank,97,39.56,178,450
63,64,64,Jeff Sluman,106,39.44,213,540
64,65,65,Kirk Triplett,92,39.35,170,432
65,66,66,Jay Williamson,93,39.26,212,540
66,67,67,Harrison Frazar,88,39.1,183,468
67,68,68,Shigeki Maruyama,87,39.09,190,486
68,69,69,Skip Kendall,110,39.07,211,540
69,T70,T70,Robert Damron,96,39.06,225,576
70,T70,T70,Brian Gay,100,39.06,232,594
71,T72,T72,Pat Bates,111,38.89,238,612
72,T72,T72,Jonathan Byrd,101,38.89,203,522
73,T72,T72,Tom Byrum,97,38.89,217,558
74,T72,T72,Retief Goosen,69,38.89,119,306
75,T72,T72,Jay Haas,89,38.89,161,414
76,T72,T72,Donnie Hammond,92,38.89,189,486
77,T72,T72,Tim Herron,102,38.89,196,504
78,T72,T72,Lee Janzen,83,38.89,168,432
79,T72,T72,Davis Love III,85,38.89,147,378
80,T72,T72,Len Mattiace,94,38.89,182,468
81,T72,T72,Darron Stiles,93,38.89,196,504
82,83,83,K.J. Choi,112,38.7,209,540
83,84,84,John Rollins,89,38.68,181,468
84,T85,T85,Scott Laycock,71,38.66,167,432
85,T85,T85,Jeff Maggert,81,38.66,167,432
86,87,87,Brian Henninger,56,38.56,118,306
87,88,88,Glen Day,103,38.52,208,540
88,89,89,Joey Sindelar,93,38.49,194,504
89,90,90,Cameron Beckman,86,38.43,166,432
90,91,91,Matt Kuchar,63,38.38,152,396
91,92,92,Chris Anderson,96,38.35,214,558
92,T93,T93,J.L. Lewis,99,38.33,207,540
93,T93,T93,Ty Tryon,52,38.33,138,360
94,95,95,Neal Lancaster,110,38.24,234,612
95,T96,T96,Brian Bateman,70,38.19,165,432
96,T96,T96,Bob Estes,92,38.19,165,432
97,T98,T98,Joel Edwards,60,38.16,158,414
98,T98,T98,Dicky Pride,73,38.16,158,414
99,100,100,Hidemichi Tanaka,112,38.15,206,540
100,101,101,Notah Begay III,92,38.12,199,522
101,T102,T102,Gavin Coles,69,38.07,185,486
102,T102,T102,Steve Lowery,86,38.07,185,486
103,T102,T102,Esteban Toledo,109,38.07,233,612
104,T102,T102,Dean Wilson,82,38.07,185,486
105,106,106,Brenden Pappas,105,38.02,219,576
106,T107,T107,Rich Beem,80,37.96,164,432
107,T107,T107,Marco Dawson,86,37.96,205,540
108,109,109,Luke Donald,88,37.86,184,486
109,110,110,John Senden,111,37.85,218,576
110,111,111,Paul Gow,62,37.83,143,378
111,112,112,Vijay Singh,106,37.82,177,468
112,113,113,Heath Slocum,101,37.81,211,558
113,114,114,Jesper Parnevik,102,37.78,204,540
114,T115,T115,Jason Caron,74,37.7,190,504
115,T115,T115,Darren Clarke,61,37.7,95,252
116,117,117,Brandt Jobe,77,37.63,149,396
117,118,118,Brad Faxon,97,37.61,176,468
118,119,119,Mark Brooks,90,37.59,203,540
119,120,120,Gene Sauers,87,37.55,196,522
120,121,121,Akio Sadakata,83,37.5,189,504
121,122,122,Fred Funk,112,37.46,209,558
122,123,123,Spike McRoy,103,37.42,229,612
123,124,124,David Peoples,96,37.41,202,540
124,125,125,John Morgan,81,37.3,188,504
125,T126,T126,Per-Ulrik Johansson,96,37.28,208,558
126,T126,T126,Tim Petrovic,108,37.28,208,558
127,128,128,Tim Clark,79,37.27,161,432
128,129,129,Tiger Woods,74,37.25,114,306
129,130,130,Steven Alker,87,37.16,194,522
130,131,131,John Daly,56,37.12,147,396
131,132,132,Andrew Magee,91,37.11,167,450
132,133,133,Glen Hnatiuk,92,37.1,187,504
