,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Tiger Woods,69,70.73,29,41
1,2,2,Len Mattiace,106,69.07,67,97
2,3,3,Ernie Els,68,66.07,37,56
3,4,4,Pat Perez,89,65.69,67,102
4,5,5,José María Olazábal,71,65.63,42,64
5,6,6,Vijay Singh,102,64.84,59,91
6,7,7,Brett Quigley,93,63.72,72,113
7,8,8,Miguel Angel Jiménez,60,63.64,42,66
8,9,9,Jeff Sluman,118,63.21,67,106
9,10,10,Davis Love III,92,62.82,49,78
10,11,11,Jim Furyk,88,62.5,40,64
11,12,12,Phil Mickelson,97,62.22,56,90
12,13,13,Cameron Beckman,87,61.9,52,84
13,14,14,Bryce Molder,65,61.54,48,78
14,15,15,Jay Haas,83,61.45,51,83
15,16,16,Craig Parry,69,61.36,54,88
16,17,17,Brian Watts,58,61.04,47,77
17,18,18,José Coceres,51,60.53,46,76
18,19,19,Scott Hoch,71,60.34,35,58
19,20,20,Paul Azinger,69,60.24,50,83
20,21,21,Tim Herron,102,60.18,68,113
21,T22,T22,Brad Faxon,93,60.0,60,100
22,T22,T22,Fred Funk,106,60.0,75,125
23,T22,T22,Dudley Hart,88,60.0,60,100
24,25,25,Grant Waite,98,59.63,65,109
25,26,26,Dan Forsman,83,59.52,50,84
26,27,27,Matt Gogel,79,59.34,54,91
27,28,28,Craig Perks,91,58.72,64,109
28,29,29,Jerry Kelly,99,58.65,61,104
29,30,30,Brian Gay,117,58.57,82,140
30,31,31,Tom Pernice Jr.,101,58.42,59,101
31,32,32,Mike Weir,94,58.25,60,103
32,33,33,David Duval,78,58.21,39,67
33,34,34,Rod Pampling,98,58.04,83,143
34,35,35,Nick Price,69,58.02,47,81
35,36,36,John Riegger,88,57.83,48,83
36,37,37,Bob Estes,93,57.69,45,78
37,38,38,Scott McCarron,106,57.66,64,111
38,39,39,Skip Kendall,103,57.5,92,160
39,40,40,Scott Simpson,61,57.32,47,82
40,41,41,Paul Gow,99,57.27,63,110
41,42,42,Stewart Cink,92,56.96,45,79
42,T43,T43,John Huston,99,56.84,54,95
43,T43,T43,Jesper Parnevik,85,56.84,54,95
44,45,45,David Peoples,105,56.64,64,113
45,46,46,Tom Byrum,77,56.58,43,76
46,47,47,David Frost,90,56.52,78,138
47,48,48,Craig Stadler,72,56.47,48,85
48,49,49,Mike Sposa,111,56.43,79,140
49,50,50,Steve Elkington,82,56.25,54,96
50,51,51,Esteban Toledo,106,56.03,79,141
51,52,52,Bob May,91,55.91,52,93
52,T53,T53,Joel Edwards,101,55.88,57,102
53,T53,T53,Shigeki Maruyama,87,55.88,57,102
54,55,55,Richard Zokol,53,55.84,43,77
55,56,56,Steve Flesch,110,55.83,67,120
56,57,57,Tripp Isenhour,68,55.7,44,79
57,T58,T58,Greg Chalmers,94,55.56,60,108
58,T58,T58,Retief Goosen,56,55.56,25,45
59,T58,T58,Rory Sabbatini,69,55.56,35,63
60,61,61,Geoff Ogilvy,90,55.22,74,134
61,62,62,Woody Austin,102,54.96,72,131
62,63,63,Michael Allen,76,54.76,46,84
63,64,64,John Cook,85,54.74,52,95
64,65,65,Mark Calcavecchia,84,54.67,41,75
65,66,66,Chris Riley,104,54.63,59,108
66,67,67,K.J. Choi,93,54.46,61,112
67,68,68,Robert Gamez,69,54.29,38,70
68,69,69,Tim Clark,76,54.17,39,72
69,70,70,Justin Leonard,97,54.12,46,85
70,71,71,Bob Heintz,68,54.0,54,100
71,72,72,Pete Jordan,78,53.92,55,102
72,73,73,Neal Lancaster,101,53.85,63,117
73,T74,T74,Per-Ulrik Johansson,87,53.76,50,93
74,T74,T74,Scott Verplank,93,53.76,50,93
75,76,76,Andrew Magee,91,53.72,65,121
76,77,77,J.P. Hayes,78,53.68,51,95
77,78,78,Sergio Garcia,79,53.41,47,88
78,79,79,Hidemichi Tanaka,104,53.13,51,96
79,80,80,Chad Campbell,111,52.99,62,117
80,81,81,Matt Kuchar,82,52.83,56,106
81,82,82,Paul Goydos,66,52.69,49,93
82,83,83,Glen Day,107,52.68,59,112
83,84,84,Kaname Yokoo,74,52.53,52,99
84,85,85,Kevin Sutherland,96,52.5,42,80
85,86,86,Peter Lonard,93,52.48,53,101
86,87,87,Chris DiMarco,111,52.44,43,82
87,88,88,Kenny Perry,98,52.38,44,84
88,89,89,Dennis Paulson,89,52.33,45,86
89,T90,T90,Bob Burns,99,52.25,58,111
90,T90,T90,Jonathan Byrd,96,52.25,58,111
91,92,92,Glen Hnatiuk,95,52.22,47,90
92,93,93,Gary Nicklaus,66,52.17,48,92
93,94,94,Tom Scherrer,98,52.14,61,117
94,95,95,Tim Petrovic,92,52.08,50,96
95,96,96,Billy Mayfair,99,52.04,51,98
96,T97,T97,Robert Allenby,96,52.0,39,75
97,T97,T97,Brandel Chamblee,85,52.0,52,100
98,99,99,Jonathan Kaye,83,51.95,40,77
99,T100,T100,Stuart Appleby,97,51.85,56,108
100,T100,T100,Steve Lowery,98,51.85,56,108
101,T100,T100,Kirk Triplett,84,51.85,42,81
102,103,103,Jay Williamson,91,51.75,59,114
103,104,104,Donnie Hammond,60,51.67,31,60
104,105,105,Brian Henninger,66,51.47,35,68
105,106,106,John Rollins,124,51.45,71,138
106,107,107,Olin Browne,107,51.39,74,144
107,108,108,Greg Kraft,86,51.28,60,117
108,109,109,Tommy Armour III,82,51.25,41,80
109,110,110,Michael Muehr,73,51.22,42,82
110,111,111,Franklin Langham,72,51.11,46,90
111,112,112,Kenneth Staton,104,51.09,47,92
112,113,113,Boo Weekley,57,50.98,26,51
113,114,114,Jim Carter,98,50.96,53,104
114,115,115,Billy Andrade,100,50.94,54,106
115,116,116,Fred Couples,64,50.72,35,69
116,117,117,Stephen Ames,89,50.54,47,93
117,118,118,Harrison Frazar,88,50.51,50,99
118,119,119,Heath Slocum,96,50.43,59,117
119,T120,T120,"David Berganio, Jr.",80,50.0,46,92
120,T120,T120,Mark Brooks,97,50.0,64,128
121,T120,T120,Carlos Franco,107,50.0,64,128
122,T120,T120,Stephen Gangluff,75,50.0,38,76
123,T120,T120,David Gossett,95,50.0,52,104
124,T120,T120,J.J. Henry,112,50.0,54,108
125,T120,T120,Bernhard Langer,55,50.0,21,42
126,T120,T120,Ian Leggatt,97,50.0,50,100
127,T120,T120,Blaine McCallister,75,50.0,41,82
128,T120,T120,Phil Tataurangi,88,50.0,44,88
129,130,130,Ben Crane,91,49.59,60,121
130,131,131,J.L. Lewis,98,49.54,54,109
131,132,132,Lee Janzen,101,49.51,51,103
132,133,133,Michael Clark II,97,49.49,49,99
133,134,134,Notah Begay III,76,49.37,39,79
134,135,135,David Toms,106,49.35,38,77
135,136,136,Mark O'Meara,68,49.28,34,69
136,137,137,Edward Fryatt,94,49.21,62,126
137,T138,T138,Jeff Brehaut,87,48.91,45,92
138,T138,T138,Bob Tway,103,48.91,45,92
139,T140,T140,Luke Donald,106,48.81,41,84
140,T140,T140,Brenden Pappas,62,48.81,41,84
141,142,142,Corey Pavin,78,48.62,53,109
142,143,143,Loren Roberts,93,48.28,42,87
143,144,144,Pat Bates,94,48.21,54,112
144,145,145,Steve Allan,93,48.11,51,106
145,146,146,Briny Baird,110,47.97,59,123
146,147,147,Rocco Mediate,79,47.76,32,67
147,148,148,Peter Jacobsen,67,47.73,42,88
148,149,149,Rich Beem,99,47.37,54,114
149,T150,T150,Brent Geiberger,95,47.32,53,112
150,T150,T150,Kent Jones,105,47.32,53,112
151,152,152,Hal Sutton,74,47.3,35,74
152,153,153,Lee Porter,91,47.2,59,125
153,154,154,Shaun Micheel,100,47.19,42,89
154,155,155,Jeff Maggert,83,47.06,48,102
155,156,156,Joey Sindelar,104,46.94,46,98
156,157,157,Frank Nobilo,94,46.67,63,135
157,158,158,Brett Wetterich,89,46.55,54,116
158,159,159,John Senden,96,46.51,40,86
159,160,160,Craig Barlow,62,46.43,26,56
160,161,161,Spike McRoy,69,46.3,25,54
161,162,162,Russ Cochran,68,46.24,43,93
162,163,163,Brandt Jobe,94,46.02,52,113
163,T164,T164,Paul Stankowski,100,45.95,51,111
164,T164,T164,Steve Stricker,68,45.95,34,74
165,166,166,Michael Long,71,45.83,33,72
166,167,167,John Daly,62,45.76,27,59
167,168,168,Mike Hulbert,55,45.61,26,57
168,169,169,Garrett Willis,80,45.38,54,119
169,170,170,Jess Daley,76,45.26,43,95
170,171,171,Robert Damron,85,45.19,61,135
171,172,172,Paul Claxton,83,44.55,45,101
172,173,173,Jay Don Blake,107,44.06,63,143
173,174,174,David Morland IV,58,43.94,29,66
174,T175,T175,Scott Dunlap,74,43.75,42,96
175,T175,T175,Steve Pate,64,43.75,28,64
176,T177,T177,Bart Bryant,69,43.66,31,71
177,T177,T177,Joe Durant,87,43.66,31,71
178,179,179,Jerry Smith,91,43.44,53,122
179,180,180,Tom Lehman,78,43.33,26,60
180,181,181,Brad Elder,76,43.18,38,88
181,182,182,Carl Paulson,84,43.1,50,116
182,183,183,Bradley Hughes,60,43.04,34,79
183,184,184,Eduardo Herrera,59,42.86,30,70
184,185,185,Fulton Allem,64,42.35,36,85
185,186,186,Robin Freeman,79,42.22,38,90
186,187,187,Duffy Waldorf,90,41.77,33,79
187,188,188,Deane Pappas,90,41.44,46,111
188,189,189,Mathew Goggin,64,40.91,27,66
189,190,190,Tommy Tolles,64,40.24,33,82
190,191,191,Matt Peterson,80,39.76,33,83
191,T192,T192,Charles Howell III,118,39.29,44,112
192,T192,T192,Joe Ogilvie,50,39.29,22,56
193,194,194,Jeff Gove,89,38.38,38,99
194,195,195,Brian Bateman,94,38.32,41,107
195,196,196,Steve Jones,71,38.27,31,81
196,197,197,Frank Lickliter II,94,37.5,36,96
197,198,198,Bo Van Pelt,78,35.35,35,99
198,199,199,Dicky Pride,51,34.09,15,44
199,200,200,Brad Lardon,59,32.81,21,64
200,201,201,Chris Smith,103,30.85,29,94
201,202,202,Jason Hill,59,30.3,20,66
