,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Peter Lonard,93,0.526,19,10.0
1,2,2,Tiger Woods,69,0.556,9,5.0
2,3,3,José Coceres,51,0.6,15,9.0
3,4,4,Ben Crane,91,0.636,22,14.0
4,5,5,Michael Clark II,97,0.639,36,23.0
5,6,6,Jim Carter,98,0.654,26,17.0
6,7,7,Franklin Langham,72,0.6559999999999999,32,21.0
7,T8,T8,Len Mattiace,106,0.667,36,24.0
8,T8,T8,José María Olazábal,71,0.667,36,24.0
9,10,10,Bob Estes,93,0.684,19,13.0
10,T11,T11,Tom Byrum,77,0.688,32,22.0
11,T11,T11,Steve Stricker,68,0.688,16,11.0
12,13,13,Phil Tataurangi,88,0.69,29,20.0
13,14,14,Mike Weir,94,0.696,23,16.0
14,15,15,Billy Andrade,100,0.7,30,21.0
15,T16,T16,Luke Donald,106,0.706,17,12.0
16,T16,T16,Joe Durant,87,0.706,17,12.0
17,18,18,Carl Paulson,84,0.71,31,22.0
18,T19,T19,Stephen Ames,89,0.7140000000000001,21,15.0
19,T19,T19,Spike McRoy,69,0.7140000000000001,21,15.0
20,21,21,Fulton Allem,64,0.722,18,13.0
21,22,22,David Duval,78,0.727,22,16.0
22,T23,T23,Carlos Franco,107,0.73,37,27.0
23,T23,T23,Greg Kraft,86,0.73,37,27.0
24,25,25,Gary Nicklaus,66,0.731,26,19.0
25,26,26,Lee Porter,91,0.733,30,22.0
26,T27,T27,Michael Allen,76,0.737,19,14.0
27,T27,T27,Sergio Garcia,79,0.737,19,14.0
28,29,29,Mike Sposa,111,0.738,42,31.0
29,30,30,Hal Sutton,74,0.7390000000000001,23,17.0
30,31,31,Bob Tway,103,0.741,27,20.0
31,32,32,Brett Quigley,93,0.75,48,36.0
32,33,33,Chris Riley,104,0.757,37,28.0
33,34,34,Steve Lowery,98,0.759,29,22.0
34,T35,T35,Matt Kuchar,82,0.76,25,19.0
35,T35,T35,Michael Long,71,0.76,25,19.0
36,T35,T35,Craig Parry,69,0.76,25,19.0
37,T35,T35,Joey Sindelar,104,0.76,25,19.0
38,39,39,David Toms,106,0.762,21,16.0
39,T40,T40,Briny Baird,110,0.765,34,26.0
40,T40,T40,John Cook,85,0.765,17,13.0
41,42,42,Mark Brooks,97,0.767,30,23.0
42,43,43,Nick Price,69,0.769,13,10.0
43,44,44,Fred Funk,106,0.774,31,24.0
44,45,45,Brad Elder,76,0.778,27,21.0
45,46,46,Paul Azinger,69,0.7829999999999999,23,18.0
46,47,47,Chris Smith,103,0.7859999999999999,28,22.0
47,48,48,Brian Henninger,66,0.7879999999999999,33,26.0
48,T49,T49,Donnie Hammond,60,0.792,24,19.0
49,T49,T49,Bob May,91,0.792,24,19.0
50,51,51,Stewart Cink,92,0.794,34,27.0
51,T52,T52,Craig Barlow,62,0.8,30,24.0
52,T52,T52,Peter Jacobsen,67,0.8,20,16.0
53,T52,T52,Jerry Kelly,99,0.8,20,16.0
54,T52,T52,Kirk Triplett,84,0.8,20,16.0
