,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Brad Faxon,93,83.02,44,53
1,2,2,Ernie Els,68,79.49,31,39
2,3,3,Bryce Molder,65,78.43,40,51
3,4,4,Peter Jacobsen,67,76.6,36,47
4,5,5,Miguel Angel Jiménez,60,75.76,25,33
5,6,6,Michael Muehr,73,75.56,34,45
6,7,7,Rod Pampling,98,75.36,52,69
7,T8,T8,Scott Hoch,71,75.0,27,36
8,T8,T8,Jeff Sluman,118,75.0,60,80
9,T8,T8,Richard Zokol,53,75.0,24,32
10,11,11,Skip Kendall,103,74.36,58,78
11,12,12,Nick Price,69,73.58,39,53
12,13,13,David Frost,90,73.53,50,68
13,14,14,Jim Carter,98,73.24,52,71
14,15,15,Mike Sposa,111,73.03,65,89
15,16,16,Joel Edwards,101,72.97,54,74
16,17,17,Scott Simpson,61,72.92,35,48
17,18,18,Phil Mickelson,97,72.73,56,77
18,19,19,José María Olazábal,71,72.55,37,51
19,20,20,Jerry Kelly,99,72.46,50,69
20,21,21,Jim Furyk,88,71.74,33,46
21,22,22,Jay Williamson,91,71.64,48,67
22,T23,T23,Stewart Cink,92,71.43,35,49
23,T23,T23,Dan Forsman,83,71.43,45,63
24,T23,T23,Scott McCarron,106,71.43,50,70
25,26,26,David Gossett,95,70.93,61,86
26,27,27,Cameron Beckman,87,70.69,41,58
27,28,28,Mark O'Meara,68,70.59,24,34
28,29,29,Craig Barlow,62,70.37,38,54
29,30,30,Grant Waite,98,70.27,52,74
30,31,31,Brian Gay,117,70.15,47,67
31,32,32,Pat Bates,94,70.13,54,77
32,T33,T33,Robert Allenby,96,70.0,42,60
33,T33,T33,Tim Herron,102,70.0,49,70
34,T33,T33,Dennis Paulson,89,70.0,49,70
35,36,36,Billy Mayfair,99,69.7,46,66
36,37,37,Stephen Gangluff,75,69.64,39,56
37,38,38,Carl Paulson,84,69.57,48,69
38,39,39,Bernhard Langer,55,69.44,25,36
39,40,40,Andrew Magee,91,69.35,43,62
40,T41,T41,Glen Hnatiuk,95,69.12,47,68
41,T41,T41,Bob May,91,69.12,47,68
42,43,43,Davis Love III,92,69.01,49,71
43,44,44,Mike Hulbert,55,68.75,22,32
44,45,45,Bob Burns,99,68.67,57,83
45,46,46,Luke Donald,106,68.57,48,70
46,47,47,Retief Goosen,56,68.29,28,41
47,48,48,Neal Lancaster,101,68.06,49,72
48,49,49,Peter Lonard,93,68.0,34,50
49,50,50,Stephen Ames,89,67.86,38,56
50,51,51,Craig Perks,91,67.8,40,59
51,52,52,Matt Gogel,79,67.69,44,65
52,53,53,Shaun Micheel,100,67.61,48,71
53,54,54,Carlos Franco,107,67.57,50,74
54,55,55,Paul Azinger,69,67.35,33,49
55,56,56,Tim Petrovic,92,67.24,39,58
56,57,57,John Riegger,88,67.21,41,61
57,58,58,David Morland IV,58,67.19,43,64
58,59,59,Scott Verplank,93,67.16,45,67
59,60,60,Tom Scherrer,98,67.12,49,73
60,61,61,Mark Brooks,97,67.09,53,79
61,T62,T62,Tom Byrum,77,66.67,34,51
62,T62,T62,Tim Clark,76,66.67,34,51
63,T62,T62,Steve Pate,64,66.67,26,39
64,T62,T62,Steve Stricker,68,66.67,26,39
65,T62,T62,Esteban Toledo,106,66.67,54,81
66,67,67,Stuart Appleby,97,66.1,39,59
