,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,José María Olazábal,71,64.89,61,94,13.0
1,2,2,Brett Quigley,93,63.13,101,160,29.0
2,3,3,Bryce Molder,65,61.26,68,111,36.0
3,4,4,Brian Watts,58,60.75,65,107,23.0
4,5,5,Davis Love III,92,60.45,81,134,16.0
5,6,6,Miguel Angel Jiménez,60,59.81,64,107,20.0
6,7,7,Len Mattiace,106,59.24,93,157,37.0
7,8,8,Pat Perez,89,59.15,97,164,49.0
8,T9,T9,Shigeki Maruyama,87,59.06,88,149,47.0
9,T9,T9,Scott McCarron,106,59.06,101,171,49.0
10,11,11,Brian Gay,117,58.64,112,191,51.0
11,12,12,Joel Edwards,101,58.62,85,145,26.0
12,13,13,Tripp Isenhour,68,58.25,60,103,30.0
13,14,14,Paul Azinger,69,57.97,80,138,32.0
14,15,15,Tiger Woods,69,57.95,51,88,9.0
15,16,16,Brad Faxon,93,57.76,93,161,48.0
16,17,17,Rory Sabbatini,69,57.45,54,94,19.0
17,18,18,Cameron Beckman,87,57.36,74,129,32.0
18,19,19,Richard Zokol,53,57.29,55,96,36.0
19,20,20,Ernie Els,68,57.28,59,103,26.0
20,21,21,José Coceres,51,56.9,66,116,40.0
21,22,22,Jeff Sluman,118,56.8,96,169,36.0
22,23,23,John Riegger,88,56.64,64,113,29.0
23,24,24,Dudley Hart,88,56.49,87,154,39.0
24,25,25,Retief Goosen,56,56.47,48,85,18.0
25,T26,T26,Jay Haas,83,56.35,71,126,36.0
26,T26,T26,Nick Price,69,56.35,71,126,31.0
27,28,28,David Peoples,105,56.21,86,153,42.0
28,29,29,K.J. Choi,93,56.02,93,166,46.0
29,30,30,Steve Flesch,110,55.96,108,193,43.0
30,31,31,Steve Elkington,82,55.8,77,138,37.0
31,T32,T32,Mark Calcavecchia,84,55.56,65,117,36.0
32,T32,T32,Greg Chalmers,94,55.56,85,153,39.0
33,34,34,Matt Gogel,79,55.22,74,134,53.0
34,35,35,Craig Perks,91,55.19,85,154,44.0
35,36,36,Woody Austin,102,55.14,102,185,59.0
36,37,37,Geoff Ogilvy,90,55.06,98,178,48.0
37,38,38,Craig Parry,69,54.93,78,142,38.0
38,39,39,Billy Andrade,100,54.88,90,164,40.0
39,40,40,Fred Funk,106,54.82,91,166,40.0
40,41,41,John Huston,99,54.78,86,157,39.0
41,T42,T42,Bernhard Langer,55,54.76,46,84,25.0
42,T42,T42,Kirk Triplett,84,54.76,69,126,32.0
43,44,44,Skip Kendall,103,54.72,116,212,67.0
44,45,45,Phil Mickelson,97,54.65,94,172,38.0
