,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Ernie Els,68,90.91,10,11
1,2,2,José María Olazábal,71,84.21,16,19
2,3,3,Richard Zokol,53,80.0,4,5
3,4,4,Boo Weekley,57,78.57,11,14
4,5,5,Steve Pate,64,77.78,7,9
5,6,6,Peter Jacobsen,67,76.92,10,13
6,7,7,Davis Love III,92,76.0,19,25
7,T8,T8,Bryce Molder,65,75.0,15,20
8,T8,T8,Michael Muehr,73,75.0,9,12
9,T8,T8,Craig Perks,91,75.0,18,24
10,11,11,Brian Gay,117,74.19,23,31
11,12,12,Luke Donald,106,73.91,17,23
12,13,13,Jeff Sluman,118,72.97,27,37
13,T14,T14,Tommy Armour III,82,72.73,8,11
14,T14,T14,Russ Cochran,68,72.73,16,22
15,T14,T14,Tiger Woods,69,72.73,8,11
16,17,17,Tim Herron,102,72.41,21,29
17,18,18,Bob May,91,72.0,18,25
18,19,19,Retief Goosen,56,70.59,12,17
19,20,20,Mike Sposa,111,70.27,26,37
20,21,21,Dan Forsman,83,70.0,14,20
21,22,22,Tom Lehman,78,69.23,9,13
22,23,23,Stuart Appleby,97,68.97,20,29
23,24,24,Bernhard Langer,55,68.75,11,16
24,T25,T25,Stewart Cink,92,68.42,13,19
25,T25,T25,Skip Kendall,103,68.42,26,38
26,T27,T27,Cameron Beckman,87,68.18,15,22
27,T27,T27,Brad Faxon,93,68.18,15,22
28,T27,T27,Gary Nicklaus,66,68.18,15,22
29,T27,T27,Pat Perez,89,68.18,15,22
30,T31,T31,Justin Leonard,97,68.0,17,25
31,T31,T31,Rod Pampling,98,68.0,17,25
32,33,33,Bob Burns,99,67.74,21,31
33,T34,T34,Tom Byrum,77,66.67,16,24
34,T34,T34,Matt Gogel,79,66.67,14,21
35,T34,T34,Brian Watts,58,66.67,12,18
36,37,37,Edward Fryatt,94,65.63,21,32
37,T38,T38,Joel Edwards,101,65.52,19,29
38,T38,T38,Matt Kuchar,82,65.52,19,29
39,40,40,David Peoples,105,65.38,17,26
40,41,41,Greg Chalmers,94,65.0,13,20
41,42,42,Shigeki Maruyama,87,64.71,11,17
42,43,43,Peter Lonard,93,64.52,20,31
43,T44,T44,Mark Brooks,97,64.0,16,25
44,T44,T44,Grant Waite,98,64.0,16,25
45,46,46,Dennis Paulson,89,63.89,23,36
46,T47,T47,K.J. Choi,93,63.64,21,33
47,T47,T47,Scott Hoch,71,63.64,7,11
48,T47,T47,Mike Hulbert,55,63.64,7,11
49,T47,T47,Miguel Angel Jiménez,60,63.64,7,11
50,T47,T47,Franklin Langham,72,63.64,14,22
51,T47,T47,Scott McCarron,106,63.64,21,33
52,53,53,Mike Weir,94,63.33,19,30
53,T54,T54,Paul Azinger,69,63.16,12,19
54,T54,T54,Nick Price,69,63.16,12,19
55,T54,T54,Scott Simpson,61,63.16,12,19
56,57,57,Shaun Micheel,100,62.96,17,27
57,T58,T58,David Frost,90,62.5,15,24
58,T58,T58,Stephen Gangluff,75,62.5,10,16
59,T58,T58,Scott Verplank,93,62.5,15,24
60,61,61,Jeff Maggert,83,61.9,13,21
61,T62,T62,Jerry Kelly,99,61.54,16,26
62,T62,T62,Brett Quigley,93,61.54,16,26
63,T64,T64,David Duval,78,61.11,11,18
64,T64,T64,Billy Mayfair,99,61.11,11,18
65,T64,T64,Vijay Singh,102,61.11,22,36
66,T64,T64,Kirk Triplett,84,61.11,11,18
67,68,68,Jim Carter,98,60.87,14,23
68,T69,T69,Scott Dunlap,74,60.71,17,28
69,T69,T69,Esteban Toledo,106,60.71,17,28
70,71,71,Kenneth Staton,104,60.61,20,33
71,72,72,David Gossett,95,60.53,23,38
72,T73,T73,Steve Flesch,110,60.0,21,35
73,T73,T73,Eduardo Herrera,59,60.0,12,20
74,T73,T73,Glen Hnatiuk,95,60.0,18,30
75,T73,T73,Steve Lowery,98,60.0,21,35
76,T73,T73,Rocco Mediate,79,60.0,12,20
77,78,78,Billy Andrade,100,59.38,19,32
78,79,79,Len Mattiace,106,59.26,16,27
79,T80,T80,Andrew Magee,91,59.09,13,22
80,T80,T80,David Toms,106,59.09,13,22
81,82,82,John Cook,85,58.82,10,17
82,T83,T83,Harrison Frazar,88,58.62,17,29
83,T83,T83,Craig Parry,69,58.62,17,29
84,T85,T85,Robert Allenby,96,58.33,14,24
85,T85,T85,Woody Austin,102,58.33,21,36
86,T85,T85,Craig Barlow,62,58.33,14,24
87,T85,T85,Joe Durant,87,58.33,7,12
88,T89,T89,Paul Gow,99,58.06,18,31
89,T89,T89,Chris Riley,104,58.06,18,31
90,T91,T91,Donnie Hammond,60,57.89,11,19
91,T91,T91,Kevin Sutherland,96,57.89,11,19
92,93,93,Bob Estes,93,57.69,15,26
93,94,94,Pat Bates,94,57.58,19,33
94,T95,T95,José Coceres,51,57.14,12,21
95,T95,T95,Jim Furyk,88,57.14,8,14
96,T95,T95,Neal Lancaster,101,57.14,12,21
97,98,98,Geoff Ogilvy,90,56.67,17,30
98,T99,T99,Chad Campbell,111,56.25,18,32
99,T99,T99,Michael Long,71,56.25,9,16
100,T101,T101,Notah Begay III,76,55.56,10,18
101,T101,T101,Pete Jordan,78,55.56,15,27
102,T101,T101,Hidemichi Tanaka,104,55.56,10,18
103,T104,T104,Jay Haas,83,55.0,11,20
104,T104,T104,Bob Heintz,68,55.0,11,20
105,T106,T106,Lee Janzen,101,54.55,12,22
106,T106,T106,Craig Stadler,72,54.55,12,22
107,T108,T108,Jeff Brehaut,87,54.17,13,24
108,T108,T108,Jonathan Kaye,83,54.17,13,24
109,T110,T110,Briny Baird,110,53.85,14,26
110,T110,T110,Tim Clark,76,53.85,7,13
111,T110,T110,Dudley Hart,88,53.85,14,26
112,T113,T113,Ben Crane,91,53.33,16,30
113,T113,T113,Ian Leggatt,97,53.33,16,30
114,115,115,Rich Beem,99,53.13,17,32
115,T116,T116,"David Berganio, Jr.",80,52.94,9,17
116,T116,T116,Tom Pernice Jr.,101,52.94,18,34
117,T116,T116,Phil Tataurangi,88,52.94,9,17
118,T119,T119,Steve Elkington,82,52.63,10,19
