,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Craig Perks,91,"6' 3""",257.41700000000003,41,70
1,2,2,Davis Love III,92,"6' 5""",250.167,39,31
2,3,3,Dennis Paulson,89,"6' 6""",325.75,50,112
3,4,4,Craig Barlow,62,"6' 10""",267.16700000000003,39,114
4,T5,T5,Jerry Kelly,99,"6' 11""",284.16700000000003,41,6
5,T5,T5,Scott Verplank,93,"6' 11""",255.167,37,61
6,7,7,John Cook,85,"7' 0""",217.333,31,102
7,8,8,Tom Pernice Jr.,101,"7' 3""",276.75,38,105
8,T9,T9,Scott Dunlap,74,"7' 4""",307.66700000000003,42,198
9,T9,T9,Neal Lancaster,101,"7' 4""",277.91700000000003,38,38
10,11,11,Bob Burns,99,"7' 6""",307.0,41,19
11,T12,T12,Brad Faxon,93,"7' 7""",251.417,33,50
12,T12,T12,Sergio Garcia,79,"7' 7""",342.25,45,134
13,T14,T14,Michael Clark II,97,"7' 9""",325.91700000000003,42,113
14,T14,T14,Franklin Langham,72,"7' 9""",303.83299999999997,39,147
15,T14,T14,José María Olazábal,71,"7' 9""",240.25,31,23
16,17,17,Skip Kendall,103,"7' 10""",448.0,57,16
17,18,18,Vijay Singh,102,"7' 11""",449.083,57,25
18,T19,T19,K.J. Choi,93,"8' 1""",395.667,49,90
19,T19,T19,Dudley Hart,88,"8' 1""",381.583,47,87
20,T19,T19,Shigeki Maruyama,87,"8' 1""",249.667,31,85
21,T19,T19,David Peoples,105,"8' 1""",381.583,47,42
22,T23,T23,Steve Elkington,82,"8' 2""",344.667,42,52
23,T23,T23,Billy Mayfair,99,"8' 2""",262.5,32,57
24,T23,T23,Michael Muehr,73,"8' 2""",146.917,18,163
25,T26,T26,Robert Allenby,96,"8' 3""",380.5,46,104
26,T26,T26,J.P. Hayes,78,"8' 3""",255.75,31,64
27,T26,T26,Phil Mickelson,97,"8' 3""",455.75,55,47
28,T29,T29,David Gossett,95,"8' 4""",398.25,48,67
29,T29,T29,Nick Price,69,"8' 4""",282.33299999999997,34,4
30,T31,T31,Stuart Appleby,97,"8' 6""",448.833,53,129
31,T31,T31,Tommy Armour III,82,"8' 6""",246.167,29,184
32,T31,T31,Chris DiMarco,111,"8' 6""",381.75,45,20
33,T31,T31,Brian Watts,58,"8' 6""",290.16700000000003,34,83
34,35,35,Jay Haas,83,"8' 7""",284.25,33,17
35,T36,T36,Cameron Beckman,87,"8' 8""",304.66700000000003,35,36
36,T36,T36,Greg Chalmers,94,"8' 8""",330.167,38,170
37,T36,T36,Heath Slocum,96,"8' 8""",379.583,44,116
38,T36,T36,Jeff Sluman,118,"8' 8""",478.833,55,30
39,T40,T40,Dan Forsman,83,"8' 9""",307.41700000000003,35,24
40,T40,T40,Tom Lehman,78,"8' 9""",192.917,22,169
41,T40,T40,John Riegger,88,"8' 9""",280.08299999999997,32,49
42,T43,T43,Mark Brooks,97,"8' 10""",398.167,45,96
43,T43,T43,Ernie Els,68,"8' 10""",229.25,26,29
44,T43,T43,Brian Henninger,66,"8' 10""",212.667,24,154
45,T46,T46,Glen Hnatiuk,95,"8' 11""",527.8330000000001,59,8
46,T46,T46,Rory Sabbatini,69,"8' 11""",187.583,21,83
47,T48,T48,"David Berganio, Jr.",80,"9' 0""",304.91700000000003,34,143
48,T48,T48,Matt Kuchar,82,"9' 0""",340.75,38,54
49,T48,T48,Ian Leggatt,97,"9' 0""",394.25,44,153
50,T48,T48,Steve Lowery,98,"9' 0""",450.667,50,144
51,T48,T48,Geoff Ogilvy,90,"9' 0""",432.167,48,155
52,T48,T48,Pat Perez,89,"9' 0""",377.667,42,46
53,T48,T48,Brett Quigley,93,"9' 0""",440.5,49,125
54,55,55,Len Mattiace,106,"9' 1""",373.167,41,9
55,T56,T56,Tim Herron,102,"9' 2""",441.167,48,45
56,T56,T56,Justin Leonard,97,"9' 2""",376.833,41,37
57,T56,T56,Mike Weir,94,"9' 2""",484.167,53,152
58,T59,T59,Paul Azinger,69,"9' 3""",287.75,31,125
59,T59,T59,Bryce Molder,65,"9' 3""",314.66700000000003,34,151
60,T61,T61,Michael Allen,76,"9' 4""",242.0,26,145
61,T61,T61,Jess Daley,76,"9' 4""",336.333,36,94
62,T61,T61,John Huston,99,"9' 4""",354.167,38,35
63,T61,T61,Steve Stricker,68,"9' 4""",289.0,31,92
64,T65,T65,Steve Flesch,110,"9' 5""",536.5830000000001,57,119
65,T65,T65,Robert Gamez,69,"9' 5""",300.5,32,121
