,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,José Coceres,51,53.33,8,15
1,2,2,Peter Lonard,93,47.37,9,19
2,3,3,Tom Lehman,78,45.45,5,11
3,T4,T4,Michael Clark II,97,44.44,16,36
4,T4,T4,Tiger Woods,69,44.44,4,9
5,T6,T6,Franklin Langham,72,43.75,14,32
6,T6,T6,Steve Stricker,68,43.75,7,16
7,8,8,Lee Porter,91,43.33,13,30
8,9,9,Spike McRoy,69,42.86,9,21
9,10,10,Jess Daley,76,42.31,11,26
10,11,11,Michael Allen,76,42.11,8,19
11,12,12,Len Mattiace,106,41.67,15,36
12,13,13,Ben Crane,91,40.91,9,22
13,T14,T14,Craig Barlow,62,40.0,12,30
14,T14,T14,Peter Jacobsen,67,40.0,8,20
15,T14,T14,Michael Long,71,40.0,10,25
16,T17,T17,Tim Clark,76,39.13,9,23
17,T17,T17,Hal Sutton,74,39.13,9,23
18,19,19,José María Olazábal,71,38.89,14,36
19,20,20,Carl Paulson,84,38.71,12,31
20,21,21,Gary Nicklaus,66,38.46,10,26
21,22,22,Briny Baird,110,38.24,13,34
22,23,23,David Toms,106,38.1,8,21
23,24,24,Phil Tataurangi,88,37.93,11,29
24,T25,T25,Charles Howell III,118,37.5,6,16
25,T25,T25,Bob May,91,37.5,9,24
26,T27,T27,Steve Flesch,110,37.04,10,27
27,T27,T27,Brandt Jobe,94,37.04,10,27
28,29,29,Bob Estes,93,36.84,7,19
29,T30,T30,Billy Andrade,100,36.67,11,30
30,T30,T30,Mark Brooks,97,36.67,11,30
31,32,32,Rory Sabbatini,69,36.36,8,22
32,33,33,Mike Sposa,111,35.71,15,42
33,34,34,Andrew Magee,91,35.48,11,31
34,35,35,Brett Quigley,93,35.42,17,48
35,T36,T36,John Cook,85,35.29,6,17
36,T36,T36,Luke Donald,106,35.29,6,17
37,T38,T38,Greg Kraft,86,35.14,13,37
38,T38,T38,Chris Riley,104,35.14,13,37
39,T40,T40,Jerry Kelly,99,35.0,7,20
40,T40,T40,Scott Verplank,93,35.0,7,20
41,T42,T42,Paul Azinger,69,34.78,8,23
42,T42,T42,Mike Weir,94,34.78,8,23
43,T44,T44,Jim Carter,98,34.62,9,26
