,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Jonathan Byrd,96,"6' 0""",71.75,12,93
1,2,2,Retief Goosen,56,"6' 2""",67.833,11,58
2,3,3,Mark O'Meara,68,"7' 0""",42.083,6,82
3,4,4,Ernie Els,68,"8' 3""",82.417,10,29
4,5,5,Frank Lickliter II,94,"8' 5""",126.833,15,171
5,6,6,Kirk Triplett,84,"8' 7""",42.917,5,48
6,7,7,Tripp Isenhour,68,"8' 10""",184.667,21,134
7,T8,T8,Luke Donald,106,"8' 11""",98.0,11,80
8,T8,T8,John Huston,99,"8' 11""",106.667,12,35
9,10,10,Chad Campbell,111,"9' 0""",188.667,21,88
10,T11,T11,Sergio Garcia,79,"9' 1""",82.083,9,134
11,T11,T11,Brian Gay,117,"9' 1""",136.5,15,33
12,T13,T13,Miguel Angel Jiménez,60,"9' 2""",91.333,10,106
13,T13,T13,Steve Lowery,98,"9' 2""",164.667,18,144
14,T15,T15,Stuart Appleby,97,"9' 6""",152.167,16,129
15,T15,T15,Corey Pavin,78,"9' 6""",76.167,8,115
16,T15,T15,Rory Sabbatini,69,"9' 6""",75.833,8,83
17,T15,T15,Jeff Sluman,118,"9' 6""",228.5,24,30
18,T19,T19,Jeff Gove,89,"9' 8""",202.75,21,133
19,T19,T19,Franklin Langham,72,"9' 8""",173.667,18,147
20,T19,T19,Steve Stricker,68,"9' 8""",87.333,9,92
21,T22,T22,Steve Flesch,110,"9' 10""",157.167,16,119
22,T22,T22,Peter Jacobsen,67,"9' 10""",127.417,13,26
23,T24,T24,Woody Austin,102,"10' 0""",209.417,21,118
24,T24,T24,Michael Clark II,97,"10' 0""",230.5,23,113
25,T24,T24,Rod Pampling,98,"10' 0""",220.333,22,11
26,T24,T24,Phil Tataurangi,88,"10' 0""",119.833,12,131
27,T28,T28,Paul Azinger,69,"10' 1""",91.083,9,125
28,T28,T28,Chris Riley,104,"10' 1""",170.75,17,2
29,T30,T30,David Frost,90,"10' 2""",243.583,24,88
30,T30,T30,Paul Gow,99,"10' 2""",173.167,17,167
31,T30,T30,David Morland IV,58,"10' 2""",111.667,11,100
32,33,33,Jess Daley,76,"10' 3""",102.333,10,94
33,T34,T34,Michael Long,71,"10' 4""",176.25,17,175
34,T34,T34,Geoff Ogilvy,90,"10' 4""",216.333,21,155
35,36,36,Dennis Paulson,89,"10' 5""",155.75,15,112
36,T37,T37,Bart Bryant,69,"10' 6""",146.917,14,94
37,T37,T37,Kenny Perry,98,"10' 6""",231.25,22,99
38,T37,T37,Paul Stankowski,100,"10' 6""",168.25,16,174
39,40,40,Scott Dunlap,74,"10' 7""",95.583,9,198
40,T41,T41,Jim Furyk,88,"10' 8""",106.667,10,7
41,T41,T41,Skip Kendall,103,"10' 8""",159.917,15,16
42,T41,T41,Billy Mayfair,99,"10' 8""",170.25,16,57
43,T41,T41,Garrett Willis,80,"10' 8""",117.5,11,193
44,T45,T45,Craig Barlow,62,"10' 9""",128.667,12,114
45,T45,T45,Joe Durant,87,"10' 9""",85.75,8,86
46,T45,T45,Jerry Kelly,99,"10' 9""",139.25,13,6
47,T48,T48,Michael Allen,76,"10' 10""",119.583,11,145
48,T48,T48,Fred Couples,64,"10' 10""",118.833,11,60
49,T50,T50,Tim Herron,102,"10' 11""",142.167,13,45
50,T50,T50,Glen Hnatiuk,95,"10' 11""",142.417,13,8
51,T52,T52,Bob May,91,"11' 0""",165.25,15,56
52,T52,T52,David Peoples,105,"11' 0""",209.5,19,42
53,54,54,Mark Brooks,97,"11' 1""",188.917,17,96
54,T55,T55,Mike Sposa,111,"11' 2""",222.917,20,13
55,T55,T55,Bob Tway,103,"11' 2""",223.75,20,31
56,57,57,Scott Simpson,61,"11' 3""",67.25,6,117
57,T58,T58,Pat Bates,94,"11' 5""",171.75,15,68
58,T58,T58,Tom Byrum,77,"11' 5""",137.417,12,3
59,60,60,Carl Paulson,84,"11' 6""",161.0,14,186
60,T61,T61,Mark Calcavecchia,84,"11' 7""",161.917,14,176
61,T61,T61,Matt Kuchar,82,"11' 7""",150.417,13,54
62,T61,T61,Ian Leggatt,97,"11' 7""",162.583,14,153
63,T61,T61,Lee Porter,91,"11' 7""",231.333,20,73
64,T61,T61,Duffy Waldorf,90,"11' 7""",197.167,17,77
65,T66,T66,Chris DiMarco,111,"11' 8""",197.667,17,20
66,T66,T66,Jay Haas,83,"11' 8""",151.917,13,17
67,T66,T66,David Toms,106,"11' 8""",210.167,18,51
68,69,69,Tom Scherrer,98,"11' 9""",129.417,11,130
69,T70,T70,Jason Hill,59,"11' 10""",82.833,7,200
