,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Ernie Els,68,-.087,69,-6.00
1,2,2,Tiger Woods,69,-.048,62,-3.00
2,T3,T3,Justin Leonard,97,-.009,117,-1.00
3,T3,T3,Tommy Tolles,64,-.009,108,-1.00
4,5,5,Andrew Magee,91,-.007,139,-1.00
5,T6,T6,Retief Goosen,56,E,66,E
6,T6,T6,Jay Haas,83,E,157,E
7,8,8,Davis Love III,92,+.009,115,+1.00
8,9,9,Steve Pate,64,+.013,79,+1.00
9,10,10,Bob Tway,103,+.018,168,+3.00
10,11,11,Nick Price,69,+.023,86,+2.00
11,T12,T12,Joe Ogilvie,50,+.026,77,+2.00
12,T12,T12,Chris Riley,104,+.026,154,+4.00
13,14,14,Steve Stricker,68,+.028,71,+2.00
14,15,15,Jerry Kelly,99,+.032,157,+5.00
15,T16,T16,Bryce Molder,65,+.033,91,+3.00
16,T16,T16,Rod Pampling,98,+.033,152,+5.00
17,T18,T18,Kevin Sutherland,96,+.036,111,+4.00
18,T18,T18,Jay Williamson,91,+.036,169,+6.00
19,20,20,Harrison Frazar,88,+.037,108,+4.00
20,21,21,Robert Damron,85,+.038,132,+5.00
21,22,22,Mike Sposa,111,+.039,180,+7.00
22,23,23,Skip Kendall,103,+.041,170,+7.00
23,T24,T24,Joel Edwards,101,+.043,161,+7.00
24,T24,T24,Jeff Gove,89,+.043,138,+6.00
25,T24,T24,Matt Kuchar,82,+.043,116,+5.00
26,T24,T24,Bernhard Langer,55,+.043,69,+3.00
27,T24,T24,Kirk Triplett,84,+.043,115,+5.00
28,29,29,Brandt Jobe,94,+.044,137,+6.00
29,30,30,Loren Roberts,93,+.045,134,+6.00
30,31,31,José María Olazábal,71,+.046,87,+4.00
31,T32,T32,Olin Browne,107,+.047,192,+9.00
32,T32,T32,Bob Burns,99,+.047,171,+8.00
33,T34,T34,Bart Bryant,69,+.048,104,+5.00
34,T34,T34,Scott Hoch,71,+.048,125,+6.00
35,T36,T36,Brad Elder,76,+.049,102,+5.00
36,T36,T36,David Frost,90,+.049,143,+7.00
37,T38,T38,Matt Gogel,79,+.050,120,+6.00
38,T38,T38,Glen Hnatiuk,95,+.050,180,+9.00
39,T38,T38,Scott McCarron,106,+.050,120,+6.00
40,41,41,Fred Couples,64,+.051,117,+6.00
41,42,42,Brandel Chamblee,85,+.052,153,+8.00
42,43,43,Ian Leggatt,97,+.053,133,+7.00
43,T44,T44,Stewart Cink,92,+.055,110,+6.00
44,T44,T44,Greg Kraft,86,+.055,146,+8.00
45,46,46,Brad Faxon,93,+.056,107,+6.00
46,47,47,Glen Day,107,+.057,176,+10.00
47,48,48,Phil Mickelson,97,+.059,118,+7.00
48,49,49,Scott Verplank,93,+.060,116,+7.00
49,50,50,Jim Carter,98,+.061,179,+11.00
50,51,51,Brian Gay,117,+.062,194,+12.00
51,T52,T52,Russ Cochran,68,+.063,111,+7.00
52,T52,T52,J.L. Lewis,98,+.063,144,+9.00
53,54,54,Corey Pavin,78,+.065,124,+8.00
54,55,55,Shigeki Maruyama,87,+.066,122,+8.00
55,56,56,Frank Nobilo,94,+.068,162,+11.00
56,57,57,Esteban Toledo,106,+.069,174,+12.00
57,T58,T58,Cameron Beckman,87,+.072,138,+10.00
58,T58,T58,Chris DiMarco,111,+.072,139,+10.00
59,T58,T58,Edward Fryatt,94,+.072,153,+11.00
60,61,61,Ben Crane,91,+.073,165,+12.00
61,T62,T62,Paul Claxton,83,+.074,136,+10.00
62,T62,T62,Stephen Gangluff,75,+.074,136,+10.00
63,T62,T62,Franklin Langham,72,+.074,108,+8.00
64,T65,T65,Tom Byrum,77,+.075,120,+9.00
65,T65,T65,Pat Perez,89,+.075,146,+11.00
66,T67,T67,Michael Allen,76,+.076,118,+9.00
67,T67,T67,Pat Bates,94,+.076,158,+12.00
68,T67,T67,John Riegger,88,+.076,118,+9.00
69,T70,T70,Jay Don Blake,107,+.077,194,+15.00
70,T70,T70,Geoff Ogilvy,90,+.077,130,+10.00
71,T70,T70,Jesper Parnevik,85,+.077,91,+7.00
72,T73,T73,Per-Ulrik Johansson,87,+.078,154,+12.00
73,T73,T73,Garrett Willis,80,+.078,115,+9.00
74,T75,T75,Jonathan Kaye,83,+.079,126,+10.00
75,T75,T75,Michael Muehr,73,+.079,126,+10.00
76,T75,T75,Grant Waite,98,+.079,165,+13.00
77,78,78,David Morland IV,58,+.080,88,+7.00
78,T79,T79,Mark Brooks,97,+.082,171,+14.00
79,T79,T79,Dan Forsman,83,+.082,134,+11.00
80,T81,T81,Chad Campbell,111,+.083,169,+14.00
81,T81,T81,Lee Porter,91,+.083,145,+12.00
82,83,83,Robert Allenby,96,+.085,130,+11.00
83,T84,T84,Stephen Ames,89,+.086,163,+14.00
84,T84,T84,Paul Azinger,69,+.086,81,+7.00
85,T84,T84,Paul Stankowski,100,+.086,175,+15.00
