,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Bernhard Langer,55,"4' 1""",0.14800000000000002,3,40
1,2,2,Steve Stricker,68,"4' 4""",0.47200000000000003,9,92
2,3,3,Joe Durant,87,"4' 6""",0.977,18,86
3,4,4,Jess Daley,76,"4' 10""",1.495,26,94
4,T5,T5,Donnie Hammond,60,"5' 6""",0.9209999999999999,14,142
5,T5,T5,Tim Herron,102,"5' 6""",1.055,16,45
6,7,7,Rod Pampling,98,"5' 10""",1.8259999999999998,26,11
7,T8,T8,Tim Clark,76,"6' 0""",1.514,21,66
8,T8,T8,Luke Donald,106,"6' 0""",1.364,19,80
9,T8,T8,Tripp Isenhour,68,"6' 0""",2.0140000000000002,28,134
10,T11,T11,Stuart Appleby,97,"6' 2""",1.7069999999999999,23,129
11,T11,T11,Neal Lancaster,101,"6' 2""",1.923,26,38
12,T11,T11,Jeff Sluman,118,"6' 2""",2.145,29,30
13,14,14,Phil Tataurangi,88,"6' 4""",1.528,20,131
14,T15,T15,Woody Austin,102,"6' 5""",2.235,29,118
15,T15,T15,Jim Carter,98,"6' 5""",1.929,25,15
16,T15,T15,Kevin Sutherland,96,"6' 5""",0.924,12,110
17,T15,T15,Scott Verplank,93,"6' 5""",2.144,28,61
18,T19,T19,John Cook,85,"6' 7""",0.868,11,102
19,T19,T19,Glen Hnatiuk,95,"6' 7""",2.208,28,8
20,T19,T19,Frank Lickliter II,94,"6' 7""",1.9669999999999999,25,171
21,T22,T22,Greg Chalmers,94,"6' 8""",1.609,20,170
22,T22,T22,Per-Ulrik Johansson,87,"6' 8""",1.2770000000000001,16,43
